,what,does,the,ten,commandments,ask,of,the,christians,?
luther,0.2134782373905182,0.14081993699073792,0.1759674996137619,0.15128806233406067,0.2768189609050751,0.1694738268852234,0.1719115972518921,0.1759674996137619,0.30765244364738464,0.1732746809720993
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,0.0769851952791214,0.028551464900374413,0.024097878485918045,-0.03817026689648628,-0.01540423184633255,0.09842957556247711,-0.023395681753754616
teaching,0.27416905760765076,0.20767050981521606,0.2182690054178238,0.27031755447387695,0.29332834482192993,0.22210130095481873,0.2911611497402191,0.2182690054178238,0.34218692779541016,0.20424684882164001
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2743614614009857,0.23104912042617798,0.18911920487880707,1.0,0.733189046382904,0.25621283054351807,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.3256247341632843,0.3037950396537781,0.21926461160182953,0.733189046382904,1.0,0.24734680354595184,0.22068053483963013
ten,0.1616830825805664,0.1422448456287384,0.3256247341632843,0.9999999403953552,0.4070856273174286,0.1780213862657547,0.2743614614009857,0.3256247341632843,0.1400195062160492,0.14471080899238586
commandments,0.3296407163143158,0.25933200120925903,0.3037950396537781,0.4070856273174286,1.0,0.26717841625213623,0.23104912042617798,0.3037950396537781,0.4477251172065735,0.25463607907295227
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.23681947588920593,0.26035192608833313,0.2689289450645447,0.4946078956127167,0.4933079481124878,0.255241334438324,0.31091248989105225
therefore,0.4125064015388489,0.44649532437324524,0.4141571819782257,0.1424340158700943,0.2828723192214966,0.33379045128822327,0.4106575846672058,0.4141571819782257,0.27862581610679626,0.3325358033180237
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.23681947588920593,0.26035192608833313,0.2689289450645447,0.4946078956127167,0.4933079481124878,0.255241334438324,0.31091248989105225
has,0.20338068902492523,0.42885294556617737,0.4177538752555847,0.2776471972465515,0.206122025847435,0.16447526216506958,0.3909035325050354,0.4177538752555847,0.15006181597709656,0.15994466841220856
clear,0.4239453375339508,0.33093103766441345,0.3209454417228699,0.13523533940315247,0.21418997645378113,0.23028700053691864,0.25915294885635376,0.3209454417228699,0.1316274255514145,0.2738020122051239
eschatological,0.34498268365859985,0.2124352902173996,0.3048737943172455,0.15745963156223297,0.35842379927635193,0.19483937323093414,0.3523278832435608,0.3048737943172455,0.3206382691860199,0.21590782701969147
