,who,explored,ohio,territory,in,1750,?
in,0.2792111933231354,0.2683154344558716,0.2508675754070282,0.2756796181201935,1.0,0.10977212339639664,0.20430970191955566
1750,0.13346917927265167,0.13338404893875122,0.20969846844673157,0.20408903062343597,0.10977212339639664,1.0000001192092896,0.19459713995456696
christopher,0.28159621357917786,0.3226911723613739,0.20288491249084473,0.09785615652799606,0.19567829370498657,0.1264973133802414,0.09195942431688309
gist,0.35114672780036926,0.25939249992370605,0.17050792276859283,0.07031114399433136,0.21559862792491913,0.14311063289642334,0.1868244707584381
",",0.3365725874900818,0.24453206360340118,0.21788300573825836,0.2454550564289093,0.5201468467712402,0.20480866730213165,0.31091248989105225
acting,0.23510612547397614,0.12028047442436218,0.11129628866910934,0.12445683032274246,0.250032514333725,0.1654319167137146,0.15597198903560638
on,0.2340552806854248,0.22454401850700378,0.16643011569976807,0.15374188125133514,0.46853652596473694,0.06964590400457382,0.2714994251728058
behalf,0.358695387840271,0.15855881571769714,0.10273899883031845,0.33473309874534607,0.22399160265922546,0.1782708466053009,0.15256446599960327
of,0.2827862501144409,0.21908967196941376,0.1960361748933792,0.27564212679862976,0.5696388483047485,0.11412445455789566,0.1826142966747284
both,0.31663915514945984,0.2197439968585968,0.23753534257411957,0.2594517469406128,0.3960166871547699,0.07052035629749298,0.19455738365650177
virginia,0.1459708958864212,0.1302851140499115,0.43450677394866943,0.2408205270767212,0.2449580281972885,0.13084524869918823,0.18036006391048431
and,0.41279885172843933,0.2829740047454834,0.2680337131023407,0.278890460729599,0.4954058527946472,0.10561483353376389,0.20544172823429108
the,0.3733934462070465,0.28095129132270813,0.24653035402297974,0.3000710904598236,0.6662389636039734,0.0790301039814949,0.22068053483963013
company,0.2383776307106018,0.1613951027393341,0.19065408408641815,0.1902555227279663,0.22141718864440918,0.0288606658577919,0.12195809185504913
",",0.3365725874900818,0.24453206360340118,0.21788300573825836,0.2454550564289093,0.5201468467712402,0.20480866730213165,0.31091248989105225
explored,0.2616152763366699,0.9999998807907104,0.1611308604478836,0.2694166600704193,0.2683154344558716,0.13338404893875122,0.08649857342243195
the,0.3733934462070465,0.28095129132270813,0.24653035402297974,0.3000710904598236,0.6662389636039734,0.0790301039814949,0.22068053483963013
ohio,0.13413026928901672,0.1611308604478836,0.9999999403953552,0.24326719343662262,0.2508675754070282,0.20969846844673157,0.10064033418893814
territory,0.247842475771904,0.2694166600704193,0.24326719343662262,1.0,0.2756796181201935,0.20408903062343597,0.09435105323791504
and,0.41279885172843933,0.2829740047454834,0.2680337131023407,0.278890460729599,0.4954058527946472,0.10561483353376389,0.20544172823429108
opened,0.1488369107246399,0.20804078876972198,0.19676432013511658,0.16302837431430817,0.2972770035266876,0.11154189705848694,0.1934700310230255
negotiations,0.18127410113811493,0.19387595355510712,0.1740429848432541,0.26297110319137573,0.29555243253707886,0.2329350858926773,0.12190581113100052
with,0.3282766342163086,0.17890623211860657,0.19753271341323853,0.2105223536491394,0.4080928862094879,0.10133104771375656,0.2433311939239502
the,0.3733934462070465,0.28095129132270813,0.24653035402297974,0.3000710904598236,0.6662389636039734,0.0790301039814949,0.22068053483963013
indian,0.27032554149627686,0.2292214334011078,0.20760329067707062,0.28727516531944275,0.17715758085250854,0.1262463927268982,0.09909533709287643
tribes,0.2694885730743408,0.23341207206249237,0.1258435994386673,0.3332762122154236,0.19281157851219177,0.16976380348205566,0.08824794739484787
at,0.22096660733222961,0.1490078717470169,0.1809408962726593,0.1516614854335785,0.4374977946281433,0.12912297248840332,0.21978627145290375
logstown,0.13339637219905853,0.1964465230703354,0.45122194290161133,0.21758483350276947,0.2698831558227539,0.26932376623153687,0.2342851161956787
.,0.3541337847709656,0.2483534812927246,0.2659587562084198,0.2527329623699188,0.5591574311256409,0.15725427865982056,0.4130953550338745
