,what,country,uses,the,bowl,of,hygieia,as,a,symbol,of,pharmacy,?
pharmacy,0.21638189256191254,0.08258776366710663,0.15159177780151367,0.1938311904668808,0.1213110089302063,0.18226979672908783,0.24655024707317352,0.16661235690116882,0.21975059807300568,0.11009613424539566,0.18226979672908783,1.0,0.1355620175600052
organizations,0.20689024031162262,0.3071417212486267,0.2476024627685547,0.2850687503814697,0.0861106812953949,0.24586479365825653,0.2468487173318863,0.26520437002182007,0.21523034572601318,0.16955456137657166,0.24586479365825653,0.20054841041564941,0.22215601801872253
often,0.3849453330039978,0.2158219814300537,0.33319950103759766,0.38004449009895325,0.22371302545070648,0.3351972997188568,0.25905004143714905,0.405699223279953,0.3930865228176117,0.23218637704849243,0.3351972997188568,0.16183310747146606,0.23748154938220978
use,0.3453877568244934,0.21032948791980743,0.6821471452713013,0.34342584013938904,0.13564810156822205,0.2750902473926544,0.2227659970521927,0.3453201949596405,0.30793872475624084,0.2879782021045685,0.2750902473926544,0.20220540463924408,0.32795652747154236
other,0.341873437166214,0.28020480275154114,0.2774812877178192,0.44152235984802246,0.12835361063480377,0.38583824038505554,0.3017732501029968,0.42805421352386475,0.2806335389614105,0.2017587274312973,0.38583824038505554,0.18628889322280884,0.24682199954986572
symbols,0.2427739053964615,0.10686195641756058,0.3486440181732178,0.22359615564346313,0.15711131691932678,0.276145339012146,0.1692136824131012,0.23502181470394135,0.2283145785331726,0.7318593859672546,0.276145339012146,0.0870528593659401,0.16658984124660492
",",0.3087472915649414,0.27878350019454956,0.28387847542762756,0.4933079481124878,0.1810409277677536,0.4946078956127167,0.2829899489879608,0.48816442489624023,0.427140474319458,0.20107677578926086,0.4946078956127167,0.19815339148044586,0.31091248989105225
such,0.23989605903625488,0.1774929165840149,0.29044583439826965,0.3575236201286316,0.14886315166950226,0.3209529519081116,0.21746516227722168,0.6207084655761719,0.2706976532936096,0.18879850208759308,0.3209529519081116,0.11890393495559692,0.17851735651493073
as,0.31749409437179565,0.2241005152463913,0.25049033761024475,0.48381632566452026,0.14539222419261932,0.3886612355709076,0.23317942023277283,1.0,0.39550232887268066,0.23925897479057312,0.3886612355709076,0.16661235690116882,0.27043893933296204
the,0.42745697498321533,0.30432501435279846,0.2830192744731903,1.0,0.21576224267482758,0.733189046382904,0.2843107581138611,0.48381632566452026,0.5829201340675354,0.22023849189281464,0.733189046382904,0.1938311904668808,0.22068053483963013
bowl,0.15942467749118805,0.13514302670955658,0.04118752107024193,0.21576224267482758,1.0,0.2243070751428604,0.1531495749950409,0.14539222419261932,0.19533146917819977,0.14025859534740448,0.2243070751428604,0.1213110089302063,0.21118052303791046
of,0.33290785551071167,0.28866857290267944,0.2738003432750702,0.733189046382904,0.2243070751428604,1.0,0.3085230886936188,0.3886612355709076,0.5052502155303955,0.25313764810562134,1.0,0.18226979672908783,0.1826142966747284
hygieia,0.2557341456413269,0.20990686118602753,0.14651626348495483,0.2843107581138611,0.1531495749950409,0.3085230886936188,1.0,0.23317942023277283,0.27099838852882385,0.1747651994228363,0.3085230886936188,0.24655024707317352,0.24140006303787231
