,what,allows,the,adaptive,immune,system,to,react,faster,and,more,strongly,each,subsequent,time,a,pathogen,is,encountered,?
this,0.5489566326141357,0.33537277579307556,0.6274310946464539,0.32852840423583984,0.2550543546676636,0.3294329345226288,0.5759071707725525,0.3022118806838989,0.3514423072338104,0.42353692650794983,0.5430014133453369,0.4143577814102173,0.4582836329936981,0.29201561212539673,0.43249568343162537,0.5422310829162598,0.3304620087146759,0.480927973985672,0.27084699273109436,0.3155723512172699
improved,0.2572605311870575,0.2275359332561493,0.21394658088684082,0.30588120222091675,0.24617357552051544,0.2610759437084198,0.22972281277179718,0.22313466668128967,0.3630051612854004,0.2351309210062027,0.35819318890571594,0.25199323892593384,0.19885151088237762,0.16554470360279083,0.2534775733947754,0.2623547911643982,0.22267429530620575,0.13577689230442047,0.25291144847869873,0.22755856812000275
response,0.3532308340072632,0.256269633769989,0.28909924626350403,0.3731633722782135,0.43541768193244934,0.2933112382888794,0.277526319026947,0.3475128412246704,0.28818267583847046,0.21754570305347443,0.3111054003238678,0.33481505513191223,0.22566114366054535,0.22015132009983063,0.21404069662094116,0.25924429297447205,0.35348427295684814,0.21022158861160278,0.33316490054130554,0.2007838636636734
is,0.28837618231773376,0.2976554334163666,0.5823672413825989,0.22713550925254822,0.2092347890138626,0.2282046526670456,0.42745086550712585,0.16626903414726257,0.17344902455806732,0.3859752118587494,0.2946030795574188,0.26355767250061035,0.2954041659832001,0.1758444607257843,0.25187405943870544,0.658733606338501,0.1968173384666443,1.0,0.2139289230108261,0.22961433231830597
then,0.4072686731815338,0.25424882769584656,0.4297412931919098,0.17477473616600037,0.15461865067481995,0.19562329351902008,0.5203860402107239,0.17552512884140015,0.29456454515457153,0.4372139573097229,0.2772486209869385,0.23596903681755066,0.3370605707168579,0.2158372849225998,0.3735695481300354,0.3970017731189728,0.16959071159362793,0.24618037045001984,0.19245339930057526,0.2884598970413208
retained,0.13867077231407166,0.2212468385696411,0.2996930480003357,0.2272583544254303,0.13497844338417053,0.1602206975221634,0.23284712433815002,0.13632743060588837,0.09850666671991348,0.2964893579483032,0.19622696936130524,0.24036312103271484,0.21445029973983765,0.2150396853685379,0.21125897765159607,0.23202241957187653,0.13341787457466125,0.19355665147304535,0.31037479639053345,0.0590956024825573
after,0.21973377466201782,0.1881314069032669,0.4565047025680542,0.18860435485839844,0.15239761769771576,0.1537032574415207,0.37890323996543884,0.12809593975543976,0.18553350865840912,0.3765919506549835,0.2585527002811432,0.13479703664779663,0.21156184375286102,0.24754752218723297,0.40345117449760437,0.3831600844860077,0.19195015728473663,0.2835143506526947,0.2960519790649414,0.16608688235282898
the,0.42745697498321533,0.2995605766773224,1.0,0.25968632102012634,0.21364226937294006,0.3233085572719574,0.535392165184021,0.17793594300746918,0.25383174419403076,0.5171257257461548,0.39758381247520447,0.2760447859764099,0.470844566822052,0.2562725245952606,0.43061500787734985,0.5829201340675354,0.21664372086524963,0.5823672413825989,0.27817660570144653,0.22068053483963013
pathogen,0.2550991475582123,0.26585403084754944,0.21664372086524963,0.4467320442199707,0.5720921158790588,0.2914358079433441,0.25253331661224365,0.4263814687728882,0.3291790783405304,0.16291935741901398,0.27328240871429443,0.21759121119976044,0.24459956586360931,0.2385099232196808,0.19501811265945435,0.22937901318073273,0.9999999403953552,0.1968173384666443,0.323825865983963,0.1893778294324875
has,0.20338068902492523,0.28137344121932983,0.4177538752555847,0.15266548097133636,0.14773638546466827,0.17706717550754547,0.3619994819164276,0.13815975189208984,0.201188325881958,0.43716782331466675,0.3442428410053253,0.2545773684978485,0.32155683636665344,0.14943504333496094,0.25164222717285156,0.4670248031616211,0.12431754916906357,0.5668748617172241,0.1727924644947052,0.15994466841220856
