,which,countries,became,dependent,on,us,'s,security,assurance,to,threats,?
the,0.6521818041801453,0.33290645480155945,0.36325156688690186,0.23169851303100586,0.5107308030128479,0.25727739930152893,-0.01540423184633255,0.2683938145637512,0.22782479226589203,0.535392165184021,0.25565651059150696,0.22068053483963013
ussr,0.15631438791751862,0.3363366723060608,0.2645612359046936,0.12775802612304688,0.1656971573829651,0.26010969281196594,0.08307108283042908,0.2330043613910675,0.22444461286067963,0.18314313888549805,0.16284678876399994,0.0990586206316948
's,0.03856118768453598,0.04551587626338005,0.0067522358149290085,-0.03893132507801056,0.0026888418942689896,0.032960113137960434,0.9999999403953552,-0.05038785561919212,0.0444621816277504,0.03782717138528824,0.0829792246222496,-0.023395681753754616
invasion,0.25346121191978455,0.2605768144130707,0.24553288519382477,0.12743666768074036,0.1942347139120102,0.18124361336231232,-0.029328476637601852,0.20029066503047943,0.13511714339256287,0.2535645365715027,0.33130645751953125,0.18923960626125336
of,0.5011631846427917,0.2800094783306122,0.3638904094696045,0.27231869101524353,0.3966929316520691,0.23568789660930634,-0.03817026689648628,0.26905277371406555,0.289249986410141,0.41548454761505127,0.23818033933639526,0.1826142966747284
afghanistan,0.18384934961795807,0.31327372789382935,0.16503269970417023,0.12302054464817047,0.14500628411769867,0.17131318151950836,-0.012016630731523037,0.28047922253608704,0.12376139312982559,0.20390678942203522,0.2619399130344391,0.1478135734796524
was,0.2830964922904968,0.24139733612537384,0.6575068235397339,0.13589100539684296,0.3909217119216919,0.19898231327533722,0.008974763564765453,0.17761321365833282,0.20694021880626678,0.3636345863342285,0.2023864984512329,0.18412111699581146
only,0.5654799342155457,0.2710125148296356,0.2669161558151245,0.303695410490036,0.38586410880088806,0.25581082701683044,0.08984304964542389,0.22262974083423615,0.28433188796043396,0.5096819996833801,0.28411027789115906,0.2767370045185089
one,0.510688066482544,0.3113413453102112,0.3227209746837616,0.2400788515806198,0.3601475656032562,0.24666564166545868,0.06913424283266068,0.19539734721183777,0.24504946172237396,0.4025384783744812,0.24495062232017517,0.2673267424106598
sign,0.19895142316818237,0.18369333446025848,0.13235250115394592,0.10353071987628937,0.20838233828544617,0.1870710700750351,-0.018721353262662888,0.1411362588405609,0.20365020632743835,0.25379011034965515,0.18641681969165802,0.21454890072345734
of,0.5011631846427917,0.2800094783306122,0.3638904094696045,0.27231869101524353,0.3966929316520691,0.23568789660930634,-0.03817026689648628,0.26905277371406555,0.289249986410141,0.41548454761505127,0.23818033933639526,0.1826142966747284
insecurity,0.29594770073890686,0.29961565136909485,0.10544038563966751,0.2549445629119873,0.25957661867141724,0.22243498265743256,-0.015296838246285915,0.8698610663414001,0.4303826689720154,0.295711487531662,0.4401800036430359,0.21826902031898499
in,0.4840516746044159,0.3027990758419037,0.31047213077545166,0.21619132161140442,0.46853652596473694,0.19746538996696472,-0.037580832839012146,0.18173593282699585,0.17030911147594452,0.45010748505592346,0.23218269646167755,0.20430970191955566
the,0.6521818041801453,0.33290645480155945,0.36325156688690186,0.23169851303100586,0.5107308030128479,0.25727739930152893,-0.01540423184633255,0.2683938145637512,0.22782479226589203,0.535392165184021,0.25565651059150696,0.22068053483963013
region,0.2328231930732727,0.3022323548793793,0.15544679760932922,0.18861635029315948,0.17006917297840118,0.15098236501216888,-0.058744437992572784,0.0911923423409462,0.08270306140184402,0.24118299782276154,0.07745733857154846,0.13441751897335052
",",0.3658004403114319,0.2966555655002594,0.2798398435115814,0.18615542352199554,0.49057599902153015,0.3120202422142029,-0.0016132977325469255,0.21305516362190247,0.23956094682216644,0.44245919585227966,0.234571173787117,0.31091248989105225
