,what,type/genre,of,tv,show,is,doctor,who,?
doctor,0.20870667695999146,0.17270487546920776,0.16895952820777893,0.23672568798065186,0.2094513326883316,0.19875872135162354,0.9999999403953552,0.3504868149757385,0.1462511420249939
who,0.40942975878715515,0.1899481564760208,0.2827862501144409,0.20096197724342346,0.2095358669757843,0.24293622374534607,0.3504868149757385,0.9999998807907104,0.26220351457595825
is,0.28837618231773376,0.24466703832149506,0.4854315221309662,0.1617223173379898,0.2144283652305603,1.0,0.19875872135162354,0.24293622374534607,0.22961433231830597
a,0.3320399522781372,0.39978674054145813,0.5052502155303955,0.2169625610113144,0.24886544048786163,0.658733606338501,0.22883038222789764,0.36608949303627014,0.23916715383529663
british,0.19255435466766357,0.2031586617231369,0.23701532185077667,0.1965799331665039,0.23710712790489197,0.19484983384609222,0.19140693545341492,0.2666113078594208,0.09711728990077972
science-fiction,0.2796027362346649,0.36277055740356445,0.2931134104728699,0.3027689456939697,0.2517901062965393,0.3197912871837616,0.39818131923675537,0.24990907311439514,0.22927473485469818
television,0.19838058948516846,0.25294893980026245,0.21995750069618225,0.7039412260055542,0.5277389287948608,0.21374565362930298,0.31410008668899536,0.2515988349914551,0.16825827956199646
programme,0.1876801699399948,0.234815314412117,0.18707643449306488,0.372183233499527,0.3225559890270233,0.20126456022262573,0.2561369240283966,0.2317163497209549,0.139840766787529
produced,0.1393624097108841,0.1674671471118927,0.18961067497730255,0.19085600972175598,0.2940535843372345,0.25678005814552307,0.12545296549797058,0.12907662987709045,0.1623450517654419
by,0.2455483376979828,0.20366939902305603,0.3646814823150635,0.11470241099596024,0.2779667377471924,0.3899846076965332,0.13681447505950928,0.39727845788002014,0.17966607213020325
the,0.42745697498321533,0.19336505234241486,0.733189046382904,0.20034731924533844,0.319829523563385,0.5823672413825989,0.2820442318916321,0.3733934462070465,0.22068053483963013
bbc,0.20634698867797852,0.19138792157173157,0.1797877550125122,0.45615512132644653,0.33555880188941956,0.19024956226348877,0.32370132207870483,0.2086644321680069,0.20556949079036713
since,0.29783400893211365,0.14799091219902039,0.35513219237327576,0.16888470947742462,0.2719241678714752,0.3567592203617096,0.10913390666246414,0.27765995264053345,0.2876587212085724
1963,-0.01284969411790371,-0.014314590953290462,0.040411919355392456,-0.009961158968508244,-0.014388238079845905,0.07947119325399399,0.008513279259204865,-0.045281361788511276,0.03411978855729103
.,0.3567904531955719,0.28832903504371643,0.5352458953857422,0.27196308970451355,0.3016606271266937,0.4569662809371948,0.22361043095588684,0.3541337847709656,0.4130953550338745
