,who,were,special,guests,for,the,super,bowl,halftime,show,?
the,0.3733934462070465,0.3906462490558624,0.3027077615261078,0.2437257617712021,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.31780552864074707,0.319829523563385,0.22068053483963013
super,0.1819351613521576,0.18743500113487244,0.2675681412220001,0.1047365739941597,0.22938419878482819,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.4056760370731354,0.16737808287143707,0.166326642036438
bowl,0.09189514070749283,0.17085392773151398,0.188632994890213,0.17789126932621002,0.24430087208747864,0.21576224267482758,0.4848237931728363,1.0,0.4822790324687958,0.19135026633739471,0.21118052303791046
50,0.0322180911898613,0.025104328989982605,0.010398488491773605,-0.03739086911082268,0.029183456674218178,0.03602437674999237,0.0833745002746582,0.005446359980851412,0.010851318016648293,0.13040520250797272,0.030512850731611252
halftime,0.19379067420959473,0.3162761330604553,0.2269991636276245,0.2652965188026428,0.31425946950912476,0.31780552864074707,0.4056760370731354,0.4822790324687958,1.0000001192092896,0.3664279878139496,0.21138669550418854
show,0.2095358669757843,0.22895647585391998,0.2602277398109436,0.31590351462364197,0.3141973614692688,0.319829523563385,0.16737808287143707,0.19135026633739471,0.3664279878139496,0.9999999403953552,0.2520138621330261
was,0.3318818509578705,0.590133786201477,0.1585642695426941,0.13093508780002594,0.3863949179649353,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.3564006984233856,0.20142383873462677,0.18412111699581146
headlined,0.15209026634693146,0.2191377729177475,0.1802847981452942,0.3535046875476837,0.24607887864112854,0.2894550859928131,0.18724042177200317,0.1954048126935959,0.4387337267398834,0.2542087435722351,0.26601076126098633
by,0.39727845788002014,0.4406847059726715,0.2578898072242737,0.2057659924030304,0.3248702883720398,0.4408751428127289,0.15233319997787476,0.12992306053638458,0.3021155297756195,0.2779667377471924,0.17966607213020325
the,0.3733934462070465,0.3906462490558624,0.3027077615261078,0.2437257617712021,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.31780552864074707,0.319829523563385,0.22068053483963013
british,0.2666113078594208,0.27742838859558105,0.13444599509239197,0.1934751570224762,0.1970057189464569,0.28973397612571716,0.09609456360340118,0.07435981184244156,0.15968884527683258,0.23710712790489197,0.09711728990077972
rock,0.1515379399061203,0.199516162276268,0.1379963904619217,0.12130880355834961,0.20388811826705933,0.23786304891109467,0.1722574681043625,0.18685930967330933,0.4056971073150635,0.2837616503238678,0.13172835111618042
