,new,ownership,rules,by,the,fcc,in,1985,allowed,broadcasters,to,own,a,maximum,of,how,many,stations,?
due,0.13072119653224945,0.20420272648334503,0.10117612779140472,0.22024279832839966,0.22577603161334991,0.1637754589319229,0.2516716718673706,0.014880383387207985,0.2578810155391693,0.11192657053470612,0.35188060998916626,0.15842534601688385,0.2190696746110916,0.16390246152877808,0.2533245384693146,0.19407185912132263,0.214676633477211,0.160149946808815,0.10954997688531876
to,0.33159172534942627,0.2847251296043396,0.24270765483379364,0.33534231781959534,0.535392165184021,0.24543172121047974,0.45010748505592346,0.0432262159883976,0.42967355251312256,0.2560518682003021,1.0,0.35879063606262207,0.45503583550453186,0.27501562237739563,0.41548454761505127,0.44169697165489197,0.40243685245513916,0.21700026094913483,0.29463258385658264
an,0.19160676002502441,0.19101859629154205,0.19779033958911896,0.2719563841819763,0.4207492768764496,0.1447693258523941,0.2605783939361572,0.005915135145187378,0.17103645205497742,0.18063198029994965,0.3138085603713989,0.1993594467639923,0.44552403688430786,0.20667795836925507,0.32280945777893066,0.2520636022090912,0.2465583086013794,0.14880572259426117,0.19793890416622162
fcc,0.16179049015045166,0.3779434561729431,0.2813902497291565,0.1562936007976532,0.24932202696800232,1.0000001192092896,0.134840726852417,0.09043581038713455,0.2973480224609375,0.4616622030735016,0.24543172121047974,0.26492324471473694,0.1445450782775879,0.24565286934375763,0.16839106380939484,0.24876247346401215,0.2191563844680786,0.3792693614959717,0.1708466112613678
ban,0.18368814885616302,0.292212575674057,0.288904070854187,0.10889872163534164,0.1830999106168747,0.20024648308753967,0.16131305694580078,0.03972477838397026,0.3427397608757019,0.21842031180858612,0.26575782895088196,0.19116070866584778,0.2223033905029297,0.1845177859067917,0.15118597447872162,0.2605138123035431,0.1854625940322876,0.1876770406961441,0.29495060443878174
on,0.31106263399124146,0.2279193252325058,0.1945495307445526,0.33887791633605957,0.5107308030128479,0.2287844568490982,0.46853652596473694,0.055979352444410324,0.28039318323135376,0.2298196256160736,0.41031414270401,0.305448979139328,0.3848365545272827,0.2202894240617752,0.3966929316520691,0.32655060291290283,0.32520127296447754,0.3269573450088501,0.2714994251728058
same-market,0.2025512307882309,0.2752006947994232,0.20849478244781494,0.13386914134025574,0.2574786841869354,0.2948974072933197,0.2983074188232422,0.10443512350320816,0.20898272097110748,0.23878030478954315,0.20307567715644836,0.26491329073905945,0.32567062973976135,0.1429072469472885,0.21902745962142944,0.15500982105731964,0.28481411933898926,0.3483293950557709,0.17624428868293762
ownership,0.2209170162677765,1.0,0.24830687046051025,0.2687806189060211,0.261578768491745,0.3779434561729431,0.22562521696090698,0.20817211270332336,0.2904154658317566,0.26139408349990845,0.2847251296043396,0.41800883412361145,0.2549401819705963,0.18060219287872314,0.2084505259990692,0.19148145616054535,0.2561948001384735,0.24872349202632904,0.19719240069389343
of,0.343457967042923,0.2084505259990692,0.18197891116142273,0.3646814823150635,0.733189046382904,0.16839106380939484,0.5696388483047485,0.01818043366074562,0.2699741721153259,0.21280793845653534,0.41548454761505127,0.3269667625427246,0.5052502155303955,0.23949185013771057,1.0,0.2480744868516922,0.37253960967063904,0.20414425432682037,0.1826142966747284
television,0.25368571281433105,0.18453918397426605,0.1729428470134735,0.23368048667907715,0.24569597840309143,0.2709883153438568,0.2689782977104187,0.023595254868268967,0.1982724815607071,0.48956993222236633,0.1933557242155075,0.23480813205242157,0.22552843391895294,0.12771274149417877,0.21995750069618225,0.20427560806274414,0.23433995246887207,0.3494590222835541,0.16825827956199646
and,0.31402453780174255,0.246654212474823,0.24352850019931793,0.4289871156215668,0.5171257257461548,0.22326773405075073,0.4954058527946472,0.10228481888771057,0.30774351954460144,0.29868799448013306,0.48971283435821533,0.3142828047275543,0.3739250600337982,0.20459675788879395,0.5116966962814331,0.33647966384887695,0.5296266674995422,0.2687023878097534,0.20544172823429108
radio,0.1785462647676468,0.1180034652352333,0.1050766333937645,0.1833777278661728,0.23511973023414612,0.29589203000068665,0.22625693678855896,-0.08597768843173981,0.16654027998447418,0.5067403316497803,0.16918617486953735,0.19725105166435242,0.19488471746444702,0.10633483529090881,0.16079017519950867,0.1959047019481659,0.20007941126823425,0.47360363602638245,0.08763375133275986
stations,0.1508234143257141,0.24872349202632904,0.1386967897415161,0.20435920357704163,0.24762700498104095,0.3792693614959717,0.25864288210868835,0.07261855900287628,0.21436558663845062,0.4112670421600342,0.21700026094913483,0.22520172595977783,0.199105903506279,0.2110622078180313,0.20414425432682037,0.18198855221271515,0.2893238365650177,1.0,0.13192185759544373
