,what,would,have,to,be,increased,regarding,the,lm,and,csm,for,the,last,five,missions,?
nasa,0.21178755164146423,0.17299184203147888,0.1881445348262787,0.21193136274814606,0.22388871014118195,0.09497449547052383,0.1457844078540802,0.19786997139453888,0.34001877903938293,0.12810774147510529,0.4124281108379364,0.17481353878974915,0.19786997139453888,0.10165396332740784,0.09861989319324493,0.38373640179634094,0.1809994876384735
publicized,0.2577330470085144,0.30993205308914185,0.26145631074905396,0.2407313734292984,0.29899805784225464,0.2658592760562897,0.35948386788368225,0.24207065999507904,0.17687129974365234,0.2276802808046341,0.12265465408563614,0.3097778558731079,0.24207065999507904,0.21394462883472443,0.2188185453414917,0.1696508228778839,0.2513439953327179
a,0.3320399522781372,0.398599237203598,0.338716596364975,0.45503583550453186,0.39883795380592346,0.22370080649852753,0.22400012612342834,0.5829201340675354,0.1819782704114914,0.3739250600337982,0.19198624789714813,0.44038116931915283,0.5829201340675354,0.2864423990249634,0.2874281108379364,0.2459585964679718,0.23916715383529663
preliminary,0.3009800612926483,0.2671206593513489,0.20123890042304993,0.23860976099967957,0.22140838205814362,0.20461435616016388,0.30752092599868774,0.3177361786365509,0.16700392961502075,0.20404261350631714,0.27059081196784973,0.21859794855117798,0.3177361786365509,0.2029307633638382,0.23645034432411194,0.25550854206085205,0.1416303664445877
list,0.22366273403167725,0.1953110247850418,0.284357488155365,0.17417719960212708,0.2599433958530426,0.13572989404201508,0.200245663523674,0.2863321602344513,0.05567408353090286,0.23656265437602997,0.10121476650238037,0.254395067691803,0.2863321602344513,0.1965593844652176,0.24639660120010376,0.15603533387184143,0.23630984127521515
of,0.33290785551071167,0.3353942930698395,0.3802283704280853,0.41548454761505127,0.33904364705085754,0.3371390700340271,0.2715161442756653,0.733189046382904,0.15462981164455414,0.5116966962814331,0.15882812440395355,0.4185989499092102,0.733189046382904,0.3052992522716522,0.3980514109134674,0.2598918080329895,0.1826142966747284
eight,0.15383057296276093,0.18951989710330963,0.31264185905456543,0.22227223217487335,0.19129732251167297,0.24296025931835175,0.17353740334510803,0.34254369139671326,0.15766271948814392,0.33608970046043396,0.13831940293312073,0.33149853348731995,0.34254369139671326,0.23178769648075104,0.7194217443466187,0.2043253481388092,0.11634626984596252
more,0.3484537899494171,0.446984201669693,0.49033403396606445,0.47084665298461914,0.5445363521575928,0.3940040171146393,0.295168399810791,0.39758381247520447,0.1867946833372116,0.39880692958831787,0.10157746821641922,0.3891189992427826,0.39758381247520447,0.27220308780670166,0.3175167143344879,0.22517609596252441,0.27894994616508484
planned,0.21141068637371063,0.3900475800037384,0.21476474404335022,0.309917151927948,0.2403009980916977,0.2316484898328781,0.19729313254356384,0.3010992109775543,0.16838818788528442,0.28036394715309143,0.18985262513160706,0.21071262657642365,0.3010992109775543,0.18500067293643951,0.20922903716564178,0.35098007321357727,0.16188396513462067
landing,0.17083740234375,0.22148221731185913,0.18267643451690674,0.27316537499427795,0.15964607894420624,0.15031830966472626,0.05379912257194519,0.24055521190166473,0.2968710660934448,0.1899331510066986,0.2964303493499756,0.23171500861644745,0.24055521190166473,0.09561324119567871,0.16623257100582123,0.3587879240512848,0.11133739352226257
