,rock,units,become,thicker,and,shorten,when,placed,under,this,type,of,compression,.
when,0.21878400444984436,0.1818792074918747,0.4120000898838043,0.3094530403614044,0.4716290831565857,0.259789377450943,0.9999999403953552,0.28346771001815796,0.3172987401485443,0.4959332048892975,0.17292563617229462,0.3757161796092987,0.24529725313186646,0.475719153881073
rock,1.0,0.1478174924850464,0.1476992815732956,0.18748468160629272,0.2808155119419098,0.19593213498592377,0.21878400444984436,0.14766381680965424,0.16216668486595154,0.21980036795139313,0.18739546835422516,0.2653365731239319,0.20403525233268738,0.24835698306560516
units,0.1478174924850464,1.0,0.10836708545684814,0.16862753033638,0.2126137614250183,0.17948532104492188,0.1818792074918747,0.1333906352519989,0.18443112075328827,0.24677670001983643,0.16914549469947815,0.2597769498825073,0.2393258512020111,0.2587635815143585
are,0.2232755869626999,0.2583767771720886,0.31982117891311646,0.2945651412010193,0.48576638102531433,0.26175007224082947,0.29873907566070557,0.2529972493648529,0.2196284979581833,0.35762670636177063,0.24155041575431824,0.39081433415412903,0.2215346246957779,0.3452940285205841
placed,0.14766381680965424,0.1333906352519989,0.1498466581106186,0.27332186698913574,0.26623862981796265,0.19934304058551788,0.28346771001815796,1.0000001192092896,0.2993776798248291,0.34139981865882874,0.21340137720108032,0.2962164878845215,0.1861032396554947,0.2485738843679428
under,0.16216668486595154,0.18443112075328827,0.15131238102912903,0.18905924260616302,0.3005301356315613,0.10963688790798187,0.3172987401485443,0.2993776798248291,0.9999999403953552,0.2380402684211731,0.15308783948421478,0.32766106724739075,0.19962669909000397,0.2901604175567627
horizontal,0.2981966435909271,0.19857224822044373,0.09490016847848892,0.30539852380752563,0.16837529838085175,0.3164587914943695,0.20706616342067719,0.31755170226097107,0.09238699823617935,0.28194594383239746,0.16223342716693878,0.25086116790771484,0.36798781156539917,0.16347718238830566
compression,0.20403525233268738,0.2393258512020111,0.12742209434509277,0.36222246289253235,0.19845055043697357,0.3101918697357178,0.24529725313186646,0.1861032396554947,0.19962669909000397,0.3365766406059265,0.2926974892616272,0.2915203273296356,0.9999998807907104,0.22932106256484985
",",0.2775712311267853,0.20803093910217285,0.29676204919815063,0.26689380407333374,0.6633074283599854,0.25231271982192993,0.36674630641937256,0.2528902292251587,0.24875585734844208,0.4316047728061676,0.1804078221321106,0.4946078956127167,0.19348332285881042,0.6812511086463928
they,0.23386521637439728,0.27152952551841736,0.346346378326416,0.2970940172672272,0.5073080658912659,0.2942633032798767,0.5090266466140747,0.3396890163421631,0.2802797257900238,0.4273154139518738,0.1953689455986023,0.3426007330417633,0.16285455226898193,0.4510921239852905
shorten,0.19593213498592377,0.17948532104492188,0.18644659221172333,0.38392025232315063,0.21634581685066223,1.0,0.259789377450943,0.19934304058551788,0.10963688790798187,0.3376642167568207,0.15839876234531403,0.2298046350479126,0.3101918697357178,0.2393898069858551
and,0.2808155119419098,0.2126137614250183,0.3416603207588196,0.3110915422439575,1.0,0.21634581685066223,0.4716290831565857,0.26623862981796265,0.3005301356315613,0.42353692650794983,0.16898801922798157,0.5116966962814331,0.19845055043697357,0.588965117931366
become,0.1476992815732956,0.10836708545684814,1.0,0.2740747630596161,0.3416603207588196,0.18644659221172333,0.4120000898838043,0.1498466581106186,0.15131238102912903,0.32014283537864685,0.09935444593429565,0.31678006052970886,0.12742209434509277,0.32859939336776733
thicker,0.18748468160629272,0.16862753033638,0.2740747630596161,0.9999998807907104,0.3110915422439575,0.38392025232315063,0.3094530403614044,0.27332186698913574,0.18905924260616302,0.332673579454422,0.2569538354873657,0.2389308512210846,0.36222246289253235,0.26094818115234375
.,0.24835698306560516,0.2587635815143585,0.32859939336776733,0.26094818115234375,0.588965117931366,0.2393898069858551,0.475719153881073,0.2485738843679428,0.2901604175567627,0.500583827495575,0.23195341229438782,0.5352458953857422,0.22932106256484985,1.0000001192092896
