,who,disliked,the,affiliate,program,?
the,0.3733934462070465,0.24369671940803528,1.0,0.2278994768857956,0.22986935079097748,0.22068053483963013
program,0.2097788155078888,0.09766624867916107,0.22986935079097748,0.3088340759277344,1.0,0.1440187245607376
passed,0.18397395312786102,0.2031501829624176,0.3173406720161438,0.06617262214422226,0.14708875119686127,0.12064517289400101
into,0.16956904530525208,0.14609947800636292,0.39493247866630554,0.12660154700279236,0.1555728018283844,0.15662476420402527
history,0.22458811104297638,0.14152199029922485,0.33215048909187317,0.10919403284788132,0.19003461301326752,0.2501974403858185
by,0.39727845788002014,0.25833219289779663,0.4408751428127289,0.06732604652643204,0.19954828917980194,0.17966607213020325
1910,0.14544491469860077,0.15594148635864258,0.2810934782028198,0.14274747669696808,-0.0028928862884640694,0.015472388826310635
.,0.3541337847709656,0.19747883081436157,0.5934505462646484,0.19002677500247955,0.18964338302612305,0.4130953550338745
,who,disliked,the,affiliate,program,?
the,0.3733934462070465,0.24369671940803528,1.0,0.2278994768857956,0.22986935079097748,0.22068053483963013
agreement,0.2349274456501007,0.2578328549861908,0.2490699142217636,0.24760332703590393,0.2011273354291916,0.15830197930335999
provided,0.18789203464984894,0.16329148411750793,0.304488867521286,0.16340371966362,0.260039359331131,0.16893617808818817
that,0.45444270968437195,0.3542478382587433,0.5473989248275757,0.13372857868671417,0.33504533767700195,0.32716336846351624
either,0.2945728600025177,0.12242323160171509,0.3795609474182129,0.20425768196582794,0.17693930864334106,0.31498292088508606
party,0.2427869290113449,0.2320951521396637,0.23779736459255219,0.21510066092014313,0.09877195954322815,0.19031576812267303
could,0.33540013432502747,0.3417547643184662,0.35393214225769043,0.13199132680892944,0.24272935092449188,0.3411986827850342
terminate,0.15707287192344666,0.1766844242811203,0.24870391190052032,0.20259098708629608,0.1854754239320755,0.15546758472919464
the,0.3733934462070465,0.24369671940803528,1.0,0.2278994768857956,0.22986935079097748,0.22068053483963013
affiliation,0.1970202624797821,0.20431266725063324,0.2764122486114502,0.7872601747512817,0.3119378983974457,0.16651040315628052
on,0.2340552806854248,0.15285015106201172,0.5107308030128479,0.24123993515968323,0.23327119648456573,0.2714994251728058
proper,0.2180490493774414,0.1161453053355217,0.3680674135684967,0.15608276426792145,0.21977584064006805,0.2291053831577301
notice,0.20748062431812286,0.15647394955158234,0.2189701795578003,0.16590948402881622,0.18690994381904602,0.32486265897750854
.,0.3541337847709656,0.19747883081436157,0.5934505462646484,0.19002677500247955,0.18964338302612305,0.4130953550338745
