,what,type,of,wages,result,from,jobs,where,there,is,low,supply,but,high,demand,?
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.19376714527606964,0.2767398953437805,0.322764128446579,0.23724274337291718,0.40997210144996643,0.4214206337928772,0.658733606338501,0.24393533170223236,0.2115103155374527,0.44750767946243286,0.22865821421146393,0.2180943340063095,0.23916715383529663
job,0.29268908500671387,0.112645223736763,0.2253132164478302,0.31373345851898193,0.1288304626941681,0.2479586899280548,0.6616148352622986,0.2095899134874344,0.19662681221961975,0.1924818903207779,0.20031337440013885,0.2461424320936203,0.3047976493835449,0.19996054470539093,0.26655060052871704,0.22160480916500092
where,0.4457937180995941,0.2292499989271164,0.38066378235816956,0.14850248396396637,0.2845163941383362,0.3713873624801636,0.22696799039840698,0.9999999403953552,0.5016061663627625,0.3586711287498474,0.17517228424549103,0.2809525430202484,0.49101024866104126,0.26466572284698486,0.24772581458091736,0.24793872237205505
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.2281825989484787,0.2712252736091614,0.2965545952320099,0.27026593685150146,0.5016061663627625,1.0,0.3904260993003845,0.20811671018600464,0.2964252829551697,0.5899304151535034,0.21173454821109772,0.2776997983455658,0.29405656456947327
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.17474032938480377,0.18835392594337463,0.2674213647842407,0.2759162187576294,0.32389864325523376,0.5433560013771057,0.5330929756164551,0.23422758281230927,0.22798548638820648,0.47990062832832336,0.21708175539970398,0.20284822583198547,0.24591213464736938
few,0.2780759632587433,0.11853011697530746,0.2682102620601654,0.21250316500663757,0.1901324987411499,0.30187293887138367,0.2192603498697281,0.30374065041542053,0.4346017837524414,0.22223958373069763,0.2664473354816437,0.26632386445999146,0.4880838990211487,0.18966971337795258,0.24848248064517975,0.2334265559911728
able,0.3404487371444702,0.12916481494903564,0.23883962631225586,0.2165735810995102,0.22006943821907043,0.2139057070016861,0.22906823456287384,0.3460700213909149,0.34470799565315247,0.1493876874446869,0.23766876757144928,0.3382273316383362,0.4427250325679779,0.17804555594921112,0.3361087143421173,0.260649710893631
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.23854075372219086,0.3831445574760437,0.31242018938064575,0.2146802544593811,0.3651050925254822,0.4594070315361023,0.41870999336242676,0.24347376823425293,0.23428037762641907,0.4733969271183014,0.17899541556835175,0.2164728194475174,0.32389625906944275
willing,0.4653003215789795,0.11556436121463776,0.21092340350151062,0.3957147002220154,0.22174078226089478,0.18338380753993988,0.31982898712158203,0.26169851422309875,0.3014701306819916,0.18537743389606476,0.19489943981170654,0.3024064898490906,0.4667879343032837,0.12606142461299896,0.36587849259376526,0.4091795086860657
workers,0.21390831470489502,0.09675069898366928,0.20827822387218475,0.5291796326637268,0.15530286729335785,0.17290110886096954,0.45520082116127014,0.17254844307899475,0.21683305501937866,0.16085883975028992,0.1825234442949295,0.22504031658172607,0.191781148314476,0.14008451998233795,0.2342347502708435,0.1706571877002716
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.12913045287132263,0.20330387353897095,0.25806233286857605,0.1140080988407135,0.1970011591911316,0.22351126372814178,0.35393038392066956,0.19190098345279694,0.15459595620632172,0.26263320446014404,0.20521607995033264,0.09122268855571747,0.40561532974243164
low,0.20743566751480103,0.22739683091640472,0.27171993255615234,0.33431440591812134,0.23149271309375763,0.20724761486053467,0.19815102219581604,0.17517228424549103,0.20811671018600464,0.19289205968379974,1.0000001192092896,0.2498503178358078,0.2870801091194153,0.5862668752670288,0.23611412942409515,0.10658930987119675
supply,0.20549191534519196,0.21450628340244293,0.23476092517375946,0.3687954545021057,0.2392452210187912,0.21366941928863525,0.20151390135288239,0.2809525430202484,0.2964252829551697,0.23221483826637268,0.2498503178358078,0.9999998807907104,0.33536073565483093,0.17784728109836578,0.41816920042037964,0.14298182725906372
