,how,many,interactions,are,all,of,the,universal,forces,based,on,?
all,0.3725806474685669,0.5443700551986694,0.3003256916999817,0.5343062281608582,1.0000001192092896,0.42798417806625366,0.4860881567001343,0.21546116471290588,0.24849732220172882,0.2313152402639389,0.3832052946090698,0.29575422406196594
of,0.2480744868516922,0.37253960967063904,0.24081720411777496,0.39081433415412903,0.42798417806625366,1.0,0.733189046382904,0.20601727068424225,0.3090144991874695,0.3033197224140167,0.3966929316520691,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.24155202507972717,0.40399202704429626,0.4860881567001343,0.733189046382904,1.0,0.2359178364276886,0.3134811818599701,0.29860720038414,0.5107308030128479,0.22068053483963013
forces,0.17453457415103912,0.20333386957645416,0.28184351325035095,0.22039441764354706,0.24849732220172882,0.3090144991874695,0.3134811818599701,0.16474679112434387,1.0,0.1266411393880844,0.220676988363266,0.16984491050243378
in,0.2601168751716614,0.41474202275276184,0.19209250807762146,0.3841303884983063,0.3335905969142914,0.5696388483047485,0.6662389636039734,0.17730140686035156,0.2565164566040039,0.3070422410964966,0.46853652596473694,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.24155202507972717,0.40399202704429626,0.4860881567001343,0.733189046382904,1.0,0.2359178364276886,0.3134811818599701,0.29860720038414,0.5107308030128479,0.22068053483963013
universe,0.25177112221717834,0.2316509634256363,0.32263246178627014,0.22710135579109192,0.28807172179222107,0.2241278737783432,0.23688684403896332,0.42446067929267883,0.2044437974691391,0.20441775023937225,0.13270847499370575,0.22314924001693726
are,0.311818927526474,0.5655534863471985,0.34146612882614136,1.0,0.5343062281608582,0.39081433415412903,0.40399202704429626,0.16299764811992645,0.22039441764354706,0.3002447783946991,0.268924742937088,0.24591213464736938
based,0.29692843556404114,0.29395660758018494,0.23641540110111237,0.3002447783946991,0.2313152402639389,0.3033197224140167,0.29860720038414,0.21819812059402466,0.1266411393880844,1.0000001192092896,0.36055147647857666,0.134929820895195
on,0.32655060291290283,0.32520127296447754,0.272503137588501,0.268924742937088,0.3832052946090698,0.3966929316520691,0.5107308030128479,0.18121983110904694,0.220676988363266,0.36055147647857666,0.9999999403953552,0.2714994251728058
four,0.1955733299255371,0.4139232039451599,0.18762220442295074,0.3568944036960602,0.4096302092075348,0.36293646693229675,0.40344667434692383,0.19584132730960846,0.1420345902442932,0.19116994738578796,0.27816104888916016,0.14532537758350372
fundamental,0.2837165892124176,0.31095248460769653,0.38317248225212097,0.28600409626960754,0.3328903019428253,0.35164782404899597,0.3078918755054474,0.3961026072502136,0.3230728209018707,0.27451443672180176,0.2373352348804474,0.2011919468641281
interactions,0.40222474932670593,0.3225893974304199,1.0000001192092896,0.34146612882614136,0.3003256916999817,0.24081720411777496,0.24155202507972717,0.2716400623321533,0.28184351325035095,0.23641540110111237,0.272503137588501,0.21664206683635712
.,0.3287222981452942,0.3974229395389557,0.23886001110076904,0.3452940285205841,0.43406882882118225,0.5352458953857422,0.5934505462646484,0.17210373282432556,0.21802116930484772,0.29699069261550903,0.49257001280784607,0.4130953550338745
