,what,language,did,the,court,of,justice,accept,to,be,required,to,teach,in,a,dublin,college,in,groner,v,minister,for,education,?
in,0.30808621644973755,0.23268210887908936,0.2593238651752472,0.6662389636039734,0.2793687880039215,0.5696388483047485,0.2678598463535309,0.15314407646656036,0.45010748505592346,0.3481820821762085,0.20162324607372284,0.45010748505592346,0.23312166333198547,1.0,0.539380669593811,0.21641160547733307,0.2160365730524063,1.0,0.2653065025806427,0.15216681361198425,0.19794908165931702,0.4322226941585541,0.2654339671134949,0.20430970191955566
groener,0.19077053666114807,0.13076689839363098,0.17884297668933868,0.2137400060892105,0.18719537556171417,0.16299965977668762,0.2608610689640045,0.20121067762374878,0.2023262083530426,0.14337989687919617,0.10137034952640533,0.2023262083530426,0.12057790905237198,0.18676605820655823,0.23707574605941772,0.20793455839157104,0.10219308733940125,0.18676605820655823,0.6534286737442017,0.20549334585666656,0.35013073682785034,0.18340153992176056,0.13981428742408752,0.1657143384218216
v,0.16628342866897583,0.12802474200725555,0.17618848383426666,0.18580520153045654,0.31226083636283875,0.1655031144618988,0.22317616641521454,0.10872937738895416,0.2109750658273697,0.11805149912834167,0.1638973355293274,0.2109750658273697,0.08637715876102448,0.15216681361198425,0.21861357986927032,0.07723592966794968,0.12849757075309753,0.15216681361198425,0.14759457111358643,1.0,0.12119829654693604,0.13933385908603668,0.1469959020614624,0.28677162528038025
minister,0.1705908179283142,0.16457651555538177,0.16385287046432495,0.19297581911087036,0.2382465898990631,0.23343199491500854,0.36621832847595215,0.1858471930027008,0.17637476325035095,0.14974933862686157,0.15109877288341522,0.17637476325035095,0.1281174123287201,0.19794908165931702,0.1532600224018097,0.18722039461135864,0.20240236818790436,0.19794908165931702,0.31903210282325745,0.12119829654693604,0.9999998807907104,0.1931433081626892,0.29576095938682556,0.10825661569833755
for,0.3017193675041199,0.23522019386291504,0.318512886762619,0.4739971458911896,0.21894486248493195,0.4185989499092102,0.22499679028987885,0.28655874729156494,0.4451248347759247,0.3801851272583008,0.33989444375038147,0.4451248347759247,0.31015744805336,0.4322226941585541,0.44038116931915283,0.16098549962043762,0.22815082967281342,0.4322226941585541,0.24271346628665924,0.13933385908603668,0.1931433081626892,0.9999999403953552,0.27265021204948425,0.264628142118454
education,0.19940856099128723,0.30624115467071533,0.19762296974658966,0.23982903361320496,0.3019661605358124,0.3015166223049164,0.3291785418987274,0.26845264434814453,0.2626708149909973,0.19451211392879486,0.2273806780576706,0.2626708149909973,0.45552507042884827,0.2654339671134949,0.21779850125312805,0.15165916085243225,0.47556623816490173,0.2654339671134949,0.1804496794939041,0.1469959020614624,0.29576095938682556,0.27265021204948425,1.0,0.18067774176597595
the,0.42745697498321533,0.30198320746421814,0.34736719727516174,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.22203093767166138,0.535392165184021,0.4248143136501312,0.27848219871520996,0.535392165184021,0.1966347098350525,0.6662389636039734,0.5829201340675354,0.23325616121292114,0.19751401245594025,0.6662389636039734,0.2578822076320648,0.18580520153045654,0.19297581911087036,0.4739971458911896,0.23982903361320496,0.22068053483963013
court,0.23440583050251007,0.11787710338830948,0.23020441830158234,0.2812081575393677,1.0,0.28835242986679077,0.5483176112174988,0.1575557440519333,0.24824365973472595,0.20228137075901031,0.16947077214717865,0.24824365973472595,0.18707337975502014,0.2793687880039215,0.23624834418296814,0.15284129977226257,0.25096186995506287,0.2793687880039215,0.32615289092063904,0.31226083636283875,0.2382465898990631,0.21894486248493195,0.3019661605358124,0.17100423574447632
of,0.33290785551071167,0.25272229313850403,0.2513895630836487,0.733189046382904,0.28835242986679077,1.0,0.2658293545246124,0.2346213310956955,0.41548454761505127,0.33904364705085754,0.26183071732521057,0.41548454761505127,0.2383975088596344,0.5696388483047485,0.5052502155303955,0.20849336683750153,0.2384195327758789,0.5696388483047485,0.18053442239761353,0.1655031144618988,0.23343199491500854,0.4185989499092102,0.3015166223049164,0.1826142966747284
justice,0.21462921798229218,0.1431909203529358,0.10621706396341324,0.23470892012119293,0.5483176112174988,0.2658293545246124,1.0,0.15583842992782593,0.19197677075862885,0.1579141616821289,0.13875971734523773,0.19197677075862885,0.16576538980007172,0.2678598463535309,0.20230674743652344,0.12460288405418396,0.1721280813217163,0.2678598463535309,0.34117045998573303,0.22317616641521454,0.36621832847595215,0.22499679028987885,0.3291785418987274,0.19269752502441406
