,who,were,two,of,kublai,'s,chinese,advisers,?
chinese,0.2538459002971649,0.22925853729248047,0.13984279334545135,0.24275560677051544,0.38022753596305847,0.01673142798244953,1.0000001192092896,0.17996011674404144,0.20843194425106049
advisers,0.363739937543869,0.3016510307788849,0.15499262511730194,0.30367258191108704,0.28882285952568054,-0.03932001441717148,0.17996011674404144,0.9999998807907104,0.2111213058233261
such,0.2594927251338959,0.2970055043697357,0.29377371072769165,0.3209529519081116,0.11516454070806503,0.05073437839746475,0.18698301911354065,0.24953997135162354,0.17851735651493073
as,0.3923053741455078,0.3025437891483307,0.3029302954673767,0.3886612355709076,0.1864137202501297,-0.05775856226682663,0.2490641176700592,0.3516536355018616,0.27043893933296204
liu,0.2551114857196808,0.24047952890396118,0.15112346410751343,0.2247287780046463,0.4026867747306824,0.003594015259295702,0.5445868372917175,0.21061967313289642,0.18724565207958221
bingzhong,0.22451439499855042,0.17105160653591156,0.1936008185148239,0.20889990031719208,0.46586811542510986,0.06876638531684875,0.5841783285140991,0.18282414972782135,0.23144091665744781
and,0.41279885172843933,0.42175528407096863,0.4671151638031006,0.5116966962814331,0.25078991055488586,0.06895173341035843,0.25892454385757446,0.30884289741516113,0.20544172823429108
yao,0.2108939290046692,0.17120471596717834,0.21047483384609222,0.17274460196495056,0.4501819312572479,0.011433129198849201,0.531268835067749,0.11838426440954208,0.1676032692193985
shu,0.20072925090789795,0.14118386805057526,0.09670408070087433,0.16444404423236847,0.43000009655952454,-0.04938569664955139,0.43598631024360657,0.16046035289764404,0.14095842838287354
gave,0.22712452709674835,0.32821545004844666,0.21643073856830597,0.3650403320789337,0.21620409190654755,0.0414002351462841,0.13145826756954193,0.2983703017234802,0.1910865753889084
strong,0.2281126081943512,0.17177429795265198,0.25671061873435974,0.2524286210536957,0.1488853543996811,0.08512471616268158,0.15528787672519684,0.14982634782791138,0.11990999430418015
influence,0.2847938537597656,0.22627855837345123,0.14262370765209198,0.3608979284763336,0.261863112449646,0.0246872678399086,0.1803998202085495,0.31785663962364197,0.14200882613658905
to,0.42656609416007996,0.31913647055625916,0.3343428373336792,0.41548454761505127,0.2918815314769745,0.03782717138528824,0.17416036128997803,0.32779040932655334,0.29463258385658264
kublai,0.2874084413051605,0.24264763295650482,0.21745821833610535,0.231930211186409,0.9999999403953552,-0.017352506518363953,0.38022753596305847,0.28882285952568054,0.14562560617923737
's,0.05599616840481758,0.007088581565767527,0.038143858313560486,-0.03817026689648628,-0.017352506518363953,0.9999999403953552,0.01673142798244953,-0.03932001441717148,-0.023395681753754616
early,0.23985694348812103,0.39198037981987,0.27826380729675293,0.30937549471855164,0.26278945803642273,0.03384959325194359,0.2017909288406372,0.21636007726192474,0.15272949635982513
court,0.24532970786094666,0.19469791650772095,0.1356481909751892,0.28835242986679077,0.2575893700122833,-0.0831713154911995,0.1944306492805481,0.30824652314186096,0.17100423574447632
",",0.3365725874900818,0.36755475401878357,0.35859420895576477,0.4946078956127167,0.2569756805896759,-0.0016132977325469255,0.2697280943393707,0.2620716094970703,0.31091248989105225
and,0.41279885172843933,0.42175528407096863,0.4671151638031006,0.5116966962814331,0.25078991055488586,0.06895173341035843,0.25892454385757446,0.30884289741516113,0.20544172823429108
the,0.3733934462070465,0.3906462490558624,0.43858039379119873,0.733189046382904,0.32886171340942383,-0.01540423184633255,0.2785343527793884,0.3060134947299957,0.22068053483963013
central,0.14618510007858276,0.16558948159217834,0.14650863409042358,0.3415789008140564,0.18112976849079132,-0.03171226754784584,0.1833096593618393,0.14066766202449799,0.14787602424621582
government,0.27194860577583313,0.27806493639945984,0.21421611309051514,0.3475167155265808,0.3054119348526001,0.00033092309604398906,0.28498339653015137,0.4173264503479004,0.18851417303085327
administration,0.2072920948266983,0.19474460184574127,0.13665807247161865,0.3326551914215088,0.1919659525156021,-0.05724326893687248,0.15051263570785522,0.4550607204437256,0.14283715188503265
was,0.3318818509578705,0.590133786201477,0.27166637778282166,0.4069072902202606,0.3139400780200958,0.008974763564765453,0.21259073913097382,0.28467538952827454,0.18412111699581146
established,0.20118318498134613,0.19600653648376465,0.17465682327747345,0.2735237777233124,0.19660919904708862,-0.05163693428039551,0.13413093984127045,0.22378697991371155,0.15917523205280304
within,0.18261831998825073,0.19996105134487152,0.29626569151878357,0.39594778418540955,0.13183988630771637,-0.01527355331927538,0.1398407518863678,0.19567862153053284,0.1870293766260147
the,0.3733934462070465,0.3906462490558624,0.43858039379119873,0.733189046382904,0.32886171340942383,-0.01540423184633255,0.2785343527793884,0.3060134947299957,0.22068053483963013
first,0.39065709710121155,0.3285558819770813,0.3794230818748474,0.3536086082458496,0.23981280624866486,-0.014458609744906425,0.24327513575553894,0.18990850448608398,0.18701928853988647
decade,0.16926808655261993,0.2353067249059677,0.18418395519256592,0.15614621341228485,0.17274393141269684,-0.05015040934085846,0.2106853425502777,0.16957706212997437,0.11237446963787079
of,0.2827862501144409,0.34038281440734863,0.37726253271102905,1.0,0.231930211186409,-0.03817026689648628,0.24275560677051544,0.30367258191108704,0.1826142966747284
kublai,0.2874084413051605,0.24264763295650482,0.21745821833610535,0.231930211186409,0.9999999403953552,-0.017352506518363953,0.38022753596305847,0.28882285952568054,0.14562560617923737
's,0.05599616840481758,0.007088581565767527,0.038143858313560486,-0.03817026689648628,-0.017352506518363953,0.9999999403953552,0.01673142798244953,-0.03932001441717148,-0.023395681753754616
reign,0.21089372038841248,0.26631855964660645,0.1834327131509781,0.2783183157444,0.40084463357925415,-0.0300701055675745,0.198555126786232,0.24813999235630035,0.16399922966957092
.,0.3541337847709656,0.3378238379955292,0.3524959683418274,0.5352458953857422,0.2311694622039795,-0.003708066651597619,0.25441038608551025,0.25230130553245544,0.4130953550338745
