,who,was,the,president,of,abc,television,in,1976,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.18811661005020142,0.5696388483047485,0.1697147786617279,0.2689782977104187,1.0,0.05630391836166382,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,1.0,0.24330610036849976,0.733189046382904,0.2068762183189392,0.24569597840309143,0.6662389636039734,0.05905425176024437,0.22068053483963013
spring,0.12822824716567993,0.19448593258857727,0.316989928483963,0.12931112945079803,0.2455621361732483,0.0986001268029213,0.07145608216524124,0.3244975805282593,0.08810842037200928,0.06767474114894867
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.21610750257968903,1.0,0.14607268571853638,0.21995750069618225,0.5696388483047485,0.04266154393553734,0.1826142966747284
1975,0.2054152637720108,0.25630512833595276,0.3418796956539154,0.09126456081867218,0.30364495515823364,0.23127016425132751,0.16789181530475616,0.31352153420448303,0.19783587753772736,0.19593262672424316
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.26552814245224,0.4946078956127167,0.2097204476594925,0.27995240688323975,0.5201468467712402,0.1272497922182083,0.31091248989105225
fred,0.26111191511154175,0.2530221939086914,0.19441957771778107,0.10605549812316895,0.1626928746700287,0.1448458433151245,0.23929718136787415,0.2077977955341339,0.1450582593679428,0.20597071945667267
pierce,0.18739789724349976,0.24250786006450653,0.2549101412296295,0.27869096398353577,0.2293238788843155,0.17887553572654724,0.2149917483329773,0.23887629806995392,0.2018771767616272,0.16230438649654388
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.26552814245224,0.4946078956127167,0.2097204476594925,0.27995240688323975,0.5201468467712402,0.1272497922182083,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.24330610036849976,0.733189046382904,0.2068762183189392,0.24569597840309143,0.6662389636039734,0.05905425176024437,0.22068053483963013
newly,0.2577650249004364,0.39056387543678284,0.35828328132629395,0.1738269031047821,0.28144341707229614,0.07287124544382095,0.13311994075775146,0.3222779333591461,-0.0039218817837536335,0.08549588173627853
appointed,0.3215055465698242,0.33569878339767456,0.2626524269580841,0.4252060055732727,0.3280673027038574,0.14275935292243958,0.15870347619056702,0.23088723421096802,0.029832173138856888,0.13895352184772491
president,0.22565458714962006,0.2505730390548706,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.20593604445457458,0.20052161812782288,0.18811661005020142,0.013705714605748653,0.14148259162902832
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.21610750257968903,1.0,0.14607268571853638,0.21995750069618225,0.5696388483047485,0.04266154393553734,0.1826142966747284
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.20593604445457458,0.14607268571853638,1.0000001192092896,0.46871840953826904,0.1697147786617279,0.11633700132369995,0.19065172970294952
television,0.2515988349914551,0.2516675293445587,0.24569597840309143,0.20052161812782288,0.21995750069618225,0.46871840953826904,1.0000001192092896,0.2689782977104187,0.17458967864513397,0.16825827956199646
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.26552814245224,0.4946078956127167,0.2097204476594925,0.27995240688323975,0.5201468467712402,0.1272497922182083,0.31091248989105225
convinced,0.40940889716148376,0.2775607705116272,0.19541987776756287,0.16370809078216553,0.21614253520965576,0.10358169674873352,0.1723799854516983,0.20838475227355957,0.274356871843338,0.27685287594795227
fred,0.26111191511154175,0.2530221939086914,0.19441957771778107,0.10605549812316895,0.1626928746700287,0.1448458433151245,0.23929718136787415,0.2077977955341339,0.1450582593679428,0.20597071945667267
silverman,0.26496466994285583,0.2888243496417999,0.26917606592178345,0.2051730901002884,0.18321707844734192,0.3792729079723358,0.40184369683265686,0.22236987948417664,0.28382498025894165,0.1868271827697754
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.21247753500938416,0.41548454761505127,0.1762417107820511,0.1933557242155075,0.45010748505592346,0.1282438188791275,0.29463258385658264
become,0.36563706398010254,0.3147440552711487,0.31731709837913513,0.1769486367702484,0.31678006052970886,0.06849972158670425,0.16106165945529938,0.23238378763198853,0.12613613903522491,0.19511328637599945
the,0.3733934462070465,0.48711544275283813,1.0,0.24330610036849976,0.733189046382904,0.2068762183189392,0.24569597840309143,0.6662389636039734,0.05905425176024437,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.49448907375335693,0.2690713107585907,0.3536086082458496,0.2403600513935089,0.2787016034126282,0.4127444326877594,0.09694885462522507,0.18701928853988647
president,0.22565458714962006,0.2505730390548706,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.20593604445457458,0.20052161812782288,0.18811661005020142,0.013705714605748653,0.14148259162902832
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.23286236822605133,0.5116966962814331,0.16453155875205994,0.29514092206954956,0.4954058527946472,0.11493992060422897,0.20544172823429108
director,0.19509299099445343,0.30621418356895447,0.19949141144752502,0.33019742369651794,0.14731334149837494,0.14591073989868164,0.33871763944625854,0.19124983251094818,0.04438630864024162,0.09360282123088837
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.21610750257968903,1.0,0.14607268571853638,0.21995750069618225,0.5696388483047485,0.04266154393553734,0.1826142966747284
programming,0.17227613925933838,0.15892314910888672,0.17869283258914948,0.1268446147441864,0.14286333322525024,0.3165910840034485,0.34514227509498596,0.17145347595214844,0.06282027810811996,0.22249025106430054
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.21610750257968903,1.0,0.14607268571853638,0.21995750069618225,0.5696388483047485,0.04266154393553734,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.24330610036849976,0.733189046382904,0.2068762183189392,0.24569597840309143,0.6662389636039734,0.05905425176024437,0.22068053483963013
independent,0.19686606526374817,0.2497003674507141,0.2927691638469696,0.2855921983718872,0.30508819222450256,0.12964418530464172,0.2328476905822754,0.2794609069824219,0.07353511452674866,0.11902587860822678
television,0.2515988349914551,0.2516675293445587,0.24569597840309143,0.20052161812782288,0.21995750069618225,0.46871840953826904,1.0000001192092896,0.2689782977104187,0.17458967864513397,0.16825827956199646
production,0.11406747996807098,0.20499728620052338,0.2657334506511688,0.14009293913841248,0.1928233802318573,0.23261262476444244,0.2539292275905609,0.22079120576381683,0.02835622802376747,0.19318072497844696
subsidiary,0.16087688505649567,0.2168111354112625,0.2279236614704132,0.29819992184638977,0.20548413693904877,0.21595405042171478,0.2365117222070694,0.2031269520521164,0.04659082740545273,0.12890306115150452
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.20593604445457458,0.14607268571853638,1.0000001192092896,0.46871840953826904,0.1697147786617279,0.11633700132369995,0.19065172970294952
entertainment,0.18041250109672546,0.21684704720973969,0.19077853858470917,0.18838873505592346,0.1392667293548584,0.28069135546684265,0.37605300545692444,0.20493005216121674,0.10794337093830109,0.11855241656303406
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.26552814245224,0.4946078956127167,0.2097204476594925,0.27995240688323975,0.5201468467712402,0.1272497922182083,0.31091248989105225
created,0.25695955753326416,0.3592788577079773,0.3539263904094696,0.20584838092327118,0.32043445110321045,0.1528254598379135,0.20606790482997894,0.2843434810638428,0.0627836138010025,0.21177415549755096
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.14635725319385529,0.4249346852302551,0.12159302085638046,0.19486135244369507,0.4274188280105591,0.03996613249182701,0.19969791173934937
the,0.3733934462070465,0.48711544275283813,1.0,0.24330610036849976,0.733189046382904,0.2068762183189392,0.24569597840309143,0.6662389636039734,0.05905425176024437,0.22068053483963013
network,0.16999904811382294,0.1994880586862564,0.27187061309814453,0.14929509162902832,0.21800683438777924,0.4295894205570221,0.4371747076511383,0.19496823847293854,-0.02823466807603836,0.17853789031505585
's,0.05599616840481758,0.008974763564765453,-0.01540423184633255,-0.08566092699766159,-0.03817026689648628,0.06670809537172318,0.11021530628204346,-0.037580832839012146,0.004158622119575739,-0.023395681753754616
namesake,0.26457616686820984,0.3226000964641571,0.28544923663139343,0.27104637026786804,0.30541589856147766,0.25488340854644775,0.26439785957336426,0.28584688901901245,0.1532646119594574,0.14372511208057404
programming,0.17227613925933838,0.15892314910888672,0.17869283258914948,0.1268446147441864,0.14286333322525024,0.3165910840034485,0.34514227509498596,0.17145347595214844,0.06282027810811996,0.22249025106430054
division,0.14196254312992096,0.2174251824617386,0.26203617453575134,0.1618221253156662,0.23579144477844238,0.24142871797084808,0.18900638818740845,0.2658538520336151,-0.07621067762374878,0.08900629729032516
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.26255303621292114,0.5352458953857422,0.2567209303379059,0.2806251645088196,0.5591574311256409,0.06453319638967514,0.4130953550338745
