,what,compounds,can,be,masked,with,the,molecules,of,the,host,cell,in,order,for,a,virus,to,evade,detection,?
masking,0.3971707224845886,0.24653266370296478,0.36815014481544495,0.3070733845233917,0.5474216938018799,0.2893505096435547,0.32500189542770386,0.2956940829753876,0.28116583824157715,0.32500189542770386,0.20636382699012756,0.21470890939235687,0.22770987451076508,0.2176056206226349,0.3438502550125122,0.3400430381298065,0.23358577489852905,0.3765384256839752,0.3671628534793854,0.37750953435897827,0.2895812690258026
antigens,0.1918221414089203,0.4447833001613617,0.36901190876960754,0.25183171033859253,0.2522794008255005,0.24492989480495453,0.2716159522533417,0.5595588684082031,0.2752571105957031,0.2716159522533417,0.30681878328323364,0.46047890186309814,0.18266505002975464,0.21247915923595428,0.2331809103488922,0.27554184198379517,0.5007731914520264,0.2549254596233368,0.3517906069755554,0.39944544434547424,0.21072189509868622
with,0.2464839518070221,0.23910129070281982,0.3572797477245331,0.36101722717285156,0.21148750185966492,0.9999999403953552,0.4223487675189972,0.2543012797832489,0.41827285289764404,0.4223487675189972,0.14191342890262604,0.21242906153202057,0.4080928862094879,0.16471563279628754,0.39140474796295166,0.3783375024795532,0.13785628974437714,0.4239959120750427,0.16734161972999573,0.21527643501758575,0.2433311939239502
host,0.12779991328716278,0.14872245490550995,0.1460023820400238,0.15821070969104767,0.17386166751384735,0.14191342890262604,0.26909032464027405,0.20226626098155975,0.1709926575422287,0.26909032464027405,1.0000001192092896,0.23582066595554352,0.21661671996116638,0.11461999267339706,0.2458597868680954,0.1733594834804535,0.28802552819252014,0.18300798535346985,0.22287672758102417,0.17701192200183868,0.1021634042263031
molecules,0.2143162339925766,0.5890191197395325,0.376198410987854,0.307099312543869,0.18718381226062775,0.2543012797832489,0.2374771386384964,0.9999999403953552,0.24428431689739227,0.2374771386384964,0.20226626098155975,0.45167991518974304,0.2197362184524536,0.2070329636335373,0.20138822495937347,0.23147501051425934,0.31761258840560913,0.2749134600162506,0.2630162835121155,0.33208635449409485,0.17409995198249817
is,0.28837618231773376,0.2659003734588623,0.44256699085235596,0.4819129705429077,0.16043584048748016,0.3250955045223236,0.5823672413825989,0.20481984317302704,0.4854315221309662,0.5823672413825989,0.18300022184848785,0.15086454153060913,0.5394441485404968,0.19403748214244843,0.43268078565597534,0.658733606338501,0.18618540465831757,0.42745086550712585,0.18614031374454498,0.2382459044456482,0.22961433231830597
another,0.4190070629119873,0.24306152760982513,0.3920363187789917,0.42243969440460205,0.2917728126049042,0.359900563955307,0.5019711852073669,0.25562334060668945,0.38147079944610596,0.5019711852073669,0.2187771052122116,0.2031998187303543,0.3397690951824188,0.1893433779478073,0.36770403385162354,0.6191956996917725,0.22307918965816498,0.48769932985305786,0.32133054733276367,0.2837056815624237,0.295511931180954
common,0.19989867508411407,0.33767759799957275,0.37593990564346313,0.2283303439617157,0.17798805236816406,0.26739466190338135,0.2705984115600586,0.204071506857872,0.2949881851673126,0.2705984115600586,0.08553723990917206,0.11310375481843948,0.23149342834949493,0.17416052520275116,0.25494384765625,0.29638534784317017,0.2969112694263458,0.21109338104724884,0.15899935364723206,0.2281792014837265,0.20434872806072235
strategy,0.25034767389297485,0.18758894503116608,0.2449137568473816,0.2264213114976883,0.14284875988960266,0.19335609674453735,0.2895500361919403,0.1742333173751831,0.27697277069091797,0.2895500361919403,0.17340923845767975,0.16079437732696533,0.2451205551624298,0.20102013647556305,0.30354321002960205,0.2418394386768341,0.17876270413398743,0.27855414152145386,0.2699953317642212,0.21384482085704803,0.22400954365730286
for,0.3017193675041199,0.27966490387916565,0.35690054297447205,0.3801851272583008,0.18799175322055817,0.39140474796295166,0.4739971458911896,0.20138822495937347,0.4185989499092102,0.4739971458911896,0.2458597868680954,0.1766597181558609,0.4322226941585541,0.16561681032180786,0.9999999403953552,0.44038116931915283,0.17482690513134003,0.4451248347759247,0.26362666487693787,0.3036819398403168,0.264628142118454
avoiding,0.2860614061355591,0.24883303046226501,0.4103772044181824,0.37689247727394104,0.1385478675365448,0.2898522615432739,0.25605273246765137,0.24819448590278625,0.19775328040122986,0.25605273246765137,0.17665822803974152,0.19287030398845673,0.2393052726984024,0.15236325562000275,0.3465760350227356,0.287608802318573,0.16717125475406647,0.3099222779273987,0.31879326701164246,0.38356760144233704,0.2956450283527374
detection,0.24060435593128204,0.2937651574611664,0.30623942613601685,0.27726683020591736,0.23254640400409698,0.21527643501758575,0.2605621814727783,0.33208635449409485,0.19974349439144135,0.2605621814727783,0.17701192200183868,0.26288068294525146,0.19120651483535767,0.16482870280742645,0.3036819398403168,0.31918326020240784,0.3149147033691406,0.2794506251811981,0.384567528963089,1.0000001192092896,0.21945825219154358
by,0.2455483376979828,0.21271248161792755,0.29642900824546814,0.43158695101737976,0.22499965131282806,0.39731505513191223,0.4408751428127289,0.22475433349609375,0.3646814823150635,0.4408751428127289,0.17084096372127533,0.1892392784357071,0.370934396982193,0.17732734978199005,0.3248702883720398,0.32094135880470276,0.18439868092536926,0.33534231781959534,0.21426893770694733,0.250760018825531,0.17966607213020325
the,0.42745697498321533,0.18294313549995422,0.312528520822525,0.4248143136501312,0.22706204652786255,0.4223487675189972,1.0,0.2374771386384964,0.733189046382904,1.0,0.26909032464027405,0.15822452306747437,0.6662389636039734,0.3284194767475128,0.4739971458911896,0.5829201340675354,0.2104095071554184,0.535392165184021,0.22844162583351135,0.2605621814727783,0.22068053483963013
immune,0.2410416603088379,0.2899646759033203,0.2696937620639801,0.24360142648220062,0.16152046620845795,0.20084229111671448,0.21364226937294006,0.3475925624370575,0.16620753705501556,0.21364226937294006,0.2923450171947479,0.39050236344337463,0.14682820439338684,0.2435891181230545,0.1448224037885666,0.20466765761375427,0.4677067697048187,0.2541976273059845,0.30998075008392334,0.3384602665901184,0.16080476343631744
system,0.23557309806346893,0.2148088663816452,0.25937724113464355,0.24878063797950745,0.04212653636932373,0.14296101033687592,0.3233085572719574,0.26136019825935364,0.25597915053367615,0.3233085572719574,0.18655748665332794,0.19477003812789917,0.21978288888931274,0.21271277964115143,0.2630598843097687,0.2589043080806732,0.17962491512298584,0.26662686467170715,0.24957753717899323,0.31033092737197876,0.15556083619594574
.,0.3567904531955719,0.23886778950691223,0.35783761739730835,0.4383580684661865,0.18304261565208435,0.4446153938770294,0.5934505462646484,0.25748172402381897,0.5352458953857422,0.5934505462646484,0.20596550405025482,0.2801848351955414,0.5591574311256409,0.20712141692638397,0.4726039469242096,0.50484299659729,0.20257869362831116,0.4645031690597534,0.25801149010658264,0.19631296396255493,0.4130953550338745
