,what,development,did,luther,'s,hymns,translations,influence,?
his,0.26976513862609863,0.1527053862810135,0.3546801507472992,0.27093374729156494,0.047556519508361816,0.20449216663837433,0.18205730617046356,0.36487501859664917,0.18075084686279297
hymns,0.17175553739070892,0.08340037614107132,0.1506377011537552,0.30894896388053894,0.018269306048750877,1.0000001192092896,0.3886016309261322,0.15144005417823792,0.17695237696170807
influenced,0.22395093739032745,0.29672983288764954,0.22115233540534973,0.16982164978981018,-0.0006173446890898049,0.28045570850372314,0.2925586700439453,0.8065833449363708,0.1310873031616211
the,0.42745697498321533,0.3362044394016266,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.1660911738872528,0.26224538683891296,0.3039984107017517,0.22068053483963013
development,0.19014155864715576,0.9999998807907104,0.16852836310863495,0.07174760848283768,0.004789014346897602,0.08340037614107132,0.19385139644145966,0.35900959372520447,0.1211358830332756
of,0.33290785551071167,0.28700894117355347,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.23365463316440582,0.19379711151123047,0.3608979284763336,0.1826142966747284
singing,0.25204721093177795,0.13502894341945648,0.22265850007534027,0.22998973727226257,0.04094643145799637,0.4160231053829193,0.21394291520118713,0.16490180790424347,0.16125191748142242
in,0.30808621644973755,0.2550492286682129,0.2593238651752472,0.20523880422115326,-0.037580832839012146,0.1669730842113495,0.18116287887096405,0.26119694113731384,0.20430970191955566
churches,0.17877253890037537,0.1789528727531433,0.21651899814605713,0.36007383465766907,0.048431213945150375,0.4448130130767822,0.28246814012527466,0.2443859577178955,0.19824735820293427
.,0.3567904531955719,0.2822875380516052,0.35288307070732117,0.24907569587230682,-0.003708066651597619,0.18507489562034607,0.2550353705883026,0.2734014391899109,0.4130953550338745
