,what,three,stadiums,did,the,nfl,decide,between,for,the,game,?
the,0.42745697498321533,0.43452659249305725,0.2981659770011902,0.34736719727516174,1.0,0.15305201709270477,0.35331496596336365,0.39067012071609497,0.4739971458911896,1.0,0.285271555185318,0.22068053483963013
league,0.16616638004779816,0.23011934757232666,0.3553653061389923,0.17557655274868011,0.2724147439002991,0.3908804953098297,0.1355261355638504,0.1895967423915863,0.26433616876602173,0.2724147439002991,0.3045117259025574,0.15941482782363892
eventually,0.28470873832702637,0.19079269468784332,0.15084201097488403,0.36719876527786255,0.42022404074668884,0.1503177285194397,0.3069629669189453,0.24317391216754913,0.3156387209892273,0.42022404074668884,0.1878781020641327,0.13642115890979767
narrowed,0.25415581464767456,0.27250081300735474,0.1864033192396164,0.22170419991016388,0.3612460196018219,0.1329333484172821,0.21717458963394165,0.2879234850406647,0.20887522399425507,0.3612460196018219,0.14822186529636383,0.1559450924396515
the,0.42745697498321533,0.43452659249305725,0.2981659770011902,0.34736719727516174,1.0,0.15305201709270477,0.35331496596336365,0.39067012071609497,0.4739971458911896,1.0,0.285271555185318,0.22068053483963013
bids,0.11914563924074173,0.18087023496627808,0.29939231276512146,0.2074536234140396,0.2717687487602234,0.2699456810951233,0.3036181628704071,0.22198189795017242,0.23067942261695862,0.2717687487602234,0.22358253598213196,0.13915638625621796
to,0.455847829580307,0.3043823838233948,0.2585475742816925,0.4452643394470215,0.535392165184021,0.1526731252670288,0.4438391625881195,0.3639189600944519,0.4451248347759247,0.535392165184021,0.2540906071662903,0.29463258385658264
three,0.24888746440410614,1.0,0.17519593238830566,0.2043166607618332,0.43452659249305725,0.13591039180755615,0.25581079721450806,0.3260507881641388,0.3032672107219696,0.43452659249305725,0.24410177767276764,0.20928427577018738
sites,0.23563508689403534,0.12784890830516815,0.34491220116615295,0.12723024189472198,0.2751152217388153,0.04983314499258995,0.10350353270769119,0.19626381993293762,0.23407870531082153,0.2751152217388153,0.17813581228256226,0.20032718777656555
:,-0.12022944539785385,0.07388566434383392,-0.009449796751141548,-0.05305134505033493,-0.03403344005346298,0.07629633694887161,-0.0043869707733392715,-0.06276274472475052,-0.02522280067205429,-0.03403344005346298,0.06087861210107803,-0.07156077772378922
new,0.2130378633737564,0.22607795894145966,0.19259852170944214,0.227974995970726,0.3845241069793701,0.13000497221946716,0.2118077129125595,0.20217913389205933,0.2700757384300232,0.3845241069793701,0.20104768872261047,0.14782847464084625
orleans,0.14538788795471191,0.16503027081489563,0.16413062810897827,0.2159711718559265,0.22309443354606628,0.2959001958370209,0.1679634302854538,0.08140160143375397,0.2517727017402649,0.22309443354606628,0.23644712567329407,0.13097690045833588
',0.3245812654495239,0.2094462364912033,0.20584174990653992,0.25488927960395813,0.474788099527359,0.15978126227855682,0.2423020303249359,0.19309189915657043,0.31184524297714233,0.474788099527359,0.18312206864356995,0.330942302942276
mercedes-benz,0.15212507545948029,0.17604891955852509,0.1781071424484253,0.17896567285060883,0.19218237698078156,0.2083553969860077,0.14881037175655365,0.1565891057252884,0.2308574914932251,0.19218237698078156,0.18651510775089264,0.20224438607692719
superdome,0.13333910703659058,0.1492527276277542,0.3600609600543976,0.1895790696144104,0.24818874895572662,0.32680395245552063,0.10861014574766159,0.09239868819713593,0.23544606566429138,0.24818874895572662,0.33533909916877747,0.10737294703722
",",0.3087472915649414,0.3347506821155548,0.25088661909103394,0.3015086054801941,0.4933079481124878,0.18939071893692017,0.24334396421909332,0.27714940905570984,0.4464869201183319,0.4933079481124878,0.2653886377811432,0.31091248989105225
miami,0.1000966876745224,0.21556203067302704,0.2244156002998352,0.20621727406978607,0.19180938601493835,0.3456147313117981,0.12626492977142334,0.09903670102357864,0.19339090585708618,0.19180938601493835,0.1846352368593216,0.14054250717163086
's,0.02692362666130066,0.03946888819336891,0.08834433555603027,0.05069678649306297,-0.01540423184633255,0.01630374602973461,0.032991811633110046,0.006096371449530125,-0.07241261005401611,-0.01540423184633255,0.07448072731494904,-0.023395681753754616
sun,0.207769975066185,0.20166932046413422,0.15025073289871216,0.18525613844394684,0.258540540933609,0.10639001429080963,0.12025227397680283,0.15412220358848572,0.1499021351337433,0.258540540933609,0.21376028656959534,0.1497713327407837
life,0.24693015217781067,0.20328527688980103,0.11206826567649841,0.22298283874988556,0.23528170585632324,0.10647299885749817,0.22890493273735046,0.1008724719285965,0.244698166847229,0.23528170585632324,0.17010155320167542,0.21677987277507782
stadium,0.12456028908491135,0.10102047026157379,0.8583540916442871,0.14029206335544586,0.21145665645599365,0.28547149896621704,0.11547497659921646,0.17722496390342712,0.18393352627754211,0.21145665645599365,0.27498841285705566,0.07579939067363739
",",0.3087472915649414,0.3347506821155548,0.25088661909103394,0.3015086054801941,0.4933079481124878,0.18939071893692017,0.24334396421909332,0.27714940905570984,0.4464869201183319,0.4933079481124878,0.2653886377811432,0.31091248989105225
and,0.31309178471565247,0.3826501965522766,0.2271653711795807,0.34479495882987976,0.5171257257461548,0.2080700695514679,0.2803935110569,0.40645647048950195,0.5064792633056641,0.5171257257461548,0.25192898511886597,0.20544172823429108
the,0.42745697498321533,0.43452659249305725,0.2981659770011902,0.34736719727516174,1.0,0.15305201709270477,0.35331496596336365,0.39067012071609497,0.4739971458911896,1.0,0.285271555185318,0.22068053483963013
san,0.19375550746917725,0.16826774179935455,0.1947794407606125,0.1785750538110733,0.2858080565929413,0.225969135761261,0.14086878299713135,0.11711590737104416,0.21004900336265564,0.2858080565929413,0.16546206176280975,0.10952327400445938
