,what,are,rhodoplasts,',phycobilin,pigments,combined,into,?
rhodoplasts,0.22360283136367798,0.3716924488544464,1.0,0.1187048926949501,0.5387589335441589,0.5700727701187134,0.1271812915802002,0.22728104889392853,0.16657331585884094
have,0.39808809757232666,0.6577680706977844,0.3329751193523407,0.2580406367778778,0.3934108316898346,0.3120930790901184,0.24778592586517334,0.3038242757320404,0.32991164922714233
a,0.3320399522781372,0.265255331993103,0.29162561893463135,0.48837921023368835,0.3058028221130371,0.2051146775484085,0.2649520933628082,0.3461161255836487,0.23916715383529663
double,0.16209302842617035,0.20160768926143646,0.24686428904533386,0.16768375039100647,0.22857053577899933,0.1638772338628769,0.23705200850963593,0.11962532252073288,0.10017921775579453
membrane,0.1647152304649353,0.30309247970581055,0.5680972933769226,0.1341494619846344,0.4604666829109192,0.4843866229057312,0.15487277507781982,0.2605206370353699,0.18908235430717468
with,0.2464839518070221,0.38996943831443787,0.22610095143318176,0.2546919286251068,0.2936914265155792,0.2362319380044937,0.340704083442688,0.2912435233592987,0.2433311939239502
an,0.2821882665157318,0.1556541919708252,0.18987444043159485,0.36139753460884094,0.24132932722568512,0.19343145191669464,0.21513040363788605,0.2105669528245926,0.19793890416622162
intermembrane,0.16235193610191345,0.3323628604412079,0.6052520275115967,0.17391647398471832,0.496233731508255,0.5104214549064636,0.23198601603507996,0.26222169399261475,0.16901689767837524
space,0.20525942742824554,0.18112362921237946,0.2130206674337387,0.19663506746292114,0.21966791152954102,0.21627071499824524,0.1576930731534958,0.21390677988529205,0.1885536164045334
and,0.31309178471565247,0.48576638102531433,0.27579745650291443,0.3053182065486908,0.3052736818790436,0.241367369890213,0.3240981996059418,0.36597734689712524,0.20544172823429108
phycobilin,0.23367923498153687,0.3598766624927521,0.5387589335441589,0.2996087372303009,1.0,0.44187435507774353,0.2484726905822754,0.2350177764892578,0.18560703098773956
pigments,0.2220182567834854,0.31982728838920593,0.5700727701187134,0.10187828540802002,0.44187435507774353,1.0,0.19609762728214264,0.24103516340255737,0.16673754155635834
organized,0.19144229590892792,0.17944547533988953,0.17766378819942474,0.21602801978588104,0.2820869982242584,0.12893399596214294,0.24821099638938904,0.30585014820098877,0.10524328798055649
into,0.2180619090795517,0.2930682599544525,0.22728104889392853,0.19036275148391724,0.2350177764892578,0.24103516340255737,0.3851754665374756,1.0,0.15662476420402527
phycobilisomes,0.28512340784072876,0.44534581899642944,0.6977576613426208,0.19694431126117706,0.7991253733634949,0.5994999408721924,0.2579490542411804,0.29317763447761536,0.2205180823802948
on,0.34226128458976746,0.268924742937088,0.2659139633178711,0.30823177099227905,0.23108893632888794,0.20180539786815643,0.1816592961549759,0.30585673451423645,0.2714994251728058
the,0.42745697498321533,0.40399202704429626,0.27994847297668457,0.474788099527359,0.39398157596588135,0.21569067239761353,0.3713363707065582,0.39493247866630554,0.22068053483963013
thylakoid,0.20312407612800598,0.3156659007072449,0.6087945103645325,0.1445702612400055,0.5028626322746277,0.492222398519516,0.14339962601661682,0.23499679565429688,0.19202344119548798
membranes,0.18834297358989716,0.36286166310310364,0.607594907283783,0.1446240395307541,0.5048397183418274,0.55217045545578,0.1740793138742447,0.2679902911186218,0.20524227619171143
",",0.3087472915649414,0.4062570035457611,0.26724764704704285,0.5178600549697876,0.3365109860897064,0.21592141687870026,0.31732821464538574,0.2826121151447296,0.31091248989105225
preventing,0.28585943579673767,0.2720321714878082,0.23587389290332794,0.1590561866760254,0.2686936557292938,0.22220708429813385,0.21719121932983398,0.2702479064464569,0.25842657685279846
their,0.35142919421195984,0.46887820959091187,0.29577550292015076,0.20297467708587646,0.3524647653102875,0.28102996945381165,0.26687800884246826,0.24211956560611725,0.1898253709077835
thylakoids,0.18655724823474884,0.4048384726047516,0.6397964954376221,0.12306351959705353,0.554127037525177,0.5236333012580872,0.17338906228542328,0.24706116318702698,0.17522360384464264
from,0.2737620174884796,0.2674213647842407,0.2771468758583069,0.20019984245300293,0.2824923098087311,0.23996908962726593,0.20714597404003143,0.3410196900367737,0.19969791173934937
stacking,0.3167809844017029,0.34092995524406433,0.2277696132659912,0.1878204047679901,0.21642950177192688,0.2155054360628128,0.22676654160022736,0.23491263389587402,0.23273475468158722
.,0.3567904531955719,0.3452940285205841,0.2685990631580353,0.4806240200996399,0.3898443579673767,0.2387707382440567,0.2813032567501068,0.26250120997428894,0.4130953550338745
