,what,has,the,increase,of,prices,caused,?
the,0.42745697498321533,0.4177538752555847,1.0,0.32049667835235596,0.733189046382904,0.24549299478530884,0.24990202486515045,0.22068053483963013
commercialisation,0.24759316444396973,0.3014000952243805,0.3184216618537903,0.2788812518119812,0.2593328356742859,0.3377562165260315,0.14801302552223206,0.15418346226215363
of,0.33290785551071167,0.3909035325050354,0.733189046382904,0.3156060576438904,1.0,0.168605774641037,0.29665443301200867,0.1826142966747284
the,0.42745697498321533,0.4177538752555847,1.0,0.32049667835235596,0.733189046382904,0.24549299478530884,0.24990202486515045,0.22068053483963013
pigeon,0.11418946832418442,0.09552459418773651,0.22880862653255463,0.07531095296144485,0.1669227033853531,0.15373848378658295,0.12280892580747604,0.18346887826919556
pea,0.2200482338666916,0.11033330857753754,0.2454538345336914,0.05520615726709366,0.18910668790340424,0.19496048986911774,0.11373946070671082,0.17694024741649628
is,0.28837618231773376,0.5668748617172241,0.5823672413825989,0.18273088335990906,0.4854315221309662,0.1964217573404312,0.16288428008556366,0.22961433231830597
now,0.4903225302696228,0.3383018970489502,0.38266420364379883,0.14728526771068573,0.29182544350624084,0.20611603558063507,0.13282258808612823,0.29641881585121155
enabling,0.23356246948242188,0.16436049342155457,0.3081590533256531,0.35629311203956604,0.25293025374412537,0.20122794806957245,0.190278559923172,0.15352444350719452
some,0.4491020441055298,0.3587830364704132,0.4566698372364044,0.3226219415664673,0.4300730526447296,0.28229397535324097,0.2864207625389099,0.2562315762042999
farmers,0.1917133629322052,0.1676076203584671,0.25515636801719666,0.2827211916446686,0.22498635947704315,0.4011997580528259,0.2015385776758194,0.15014515817165375
to,0.455847829580307,0.3619994819164276,0.535392165184021,0.3378143310546875,0.41548454761505127,0.3313114047050476,0.2414499819278717,0.29463258385658264
buy,0.27250197529792786,0.16643758118152618,0.19276557862758636,0.24136361479759216,0.13856850564479828,0.5146908164024353,0.13535334169864655,0.19142918288707733
assets,0.2038845717906952,0.16991093754768372,0.19560842216014862,0.31586119532585144,0.19511719048023224,0.43971455097198486,0.22127585113048553,0.1990663707256317
",",0.3087472915649414,0.3734780251979828,0.4933079481124878,0.20005576312541962,0.4946078956127167,0.24323208630084991,0.2600580155849457,0.31091248989105225
ranging,0.20860125124454498,0.1980721354484558,0.23484160006046295,0.28516533970832825,0.3282402753829956,0.25480523705482483,0.2268824428319931,0.09338733553886414
from,0.2737620174884796,0.2621968984603882,0.40150508284568787,0.20796631276607513,0.4249346852302551,0.21742145717144012,0.29811105132102966,0.19969791173934937
mobile,0.20647284388542175,0.15722301602363586,0.22962960600852966,0.15697547793388367,0.2162146419286728,0.14826594293117523,0.15521280467510223,0.15319456160068512
phones,0.2660907506942749,0.14476794004440308,0.19289788603782654,0.2203630656003952,0.16734394431114197,0.2884969115257263,0.20163916051387787,0.19077634811401367
to,0.455847829580307,0.3619994819164276,0.535392165184021,0.3378143310546875,0.41548454761505127,0.3313114047050476,0.2414499819278717,0.29463258385658264
productive,0.3203616142272949,0.2321605384349823,0.22455596923828125,0.3171637952327728,0.19651472568511963,0.3235810101032257,0.20677550137043,0.30353474617004395
land,0.23411516845226288,0.20803382992744446,0.28587454557418823,0.15850301086902618,0.3057127296924591,0.2221723198890686,0.15155933797359467,0.1432059109210968
and,0.31309178471565247,0.43716782331466675,0.5171257257461548,0.2751924991607666,0.5116966962814331,0.2769239842891693,0.2892237603664398,0.20544172823429108
livestock,0.2413923740386963,0.1386965662240982,0.23593823611736298,0.23477724194526672,0.22532570362091064,0.38693541288375854,0.2519161105155945,0.18863795697689056
",",0.3087472915649414,0.3734780251979828,0.4933079481124878,0.20005576312541962,0.4946078956127167,0.24323208630084991,0.2600580155849457,0.31091248989105225
and,0.31309178471565247,0.43716782331466675,0.5171257257461548,0.2751924991607666,0.5116966962814331,0.2769239842891693,0.2892237603664398,0.20544172823429108
is,0.28837618231773376,0.5668748617172241,0.5823672413825989,0.18273088335990906,0.4854315221309662,0.1964217573404312,0.16288428008556366,0.22961433231830597
opening,0.18146683275699615,0.1872546672821045,0.37298497557640076,0.22783517837524414,0.2651100158691406,0.12586583197116852,0.13134287297725677,0.16502447426319122
pathways,0.23830075562000275,0.19490499794483185,0.2579576373100281,0.38494712114334106,0.24391688406467438,0.21242497861385345,0.31258341670036316,0.17890726029872894
for,0.3017193675041199,0.450642853975296,0.4739971458911896,0.26647913455963135,0.4185989499092102,0.2769668698310852,0.1862620860338211,0.264628142118454
them,0.4994642734527588,0.22823691368103027,0.4788833558559418,0.29120808839797974,0.34503093361854553,0.2966707944869995,0.23084309697151184,0.35435691475868225
to,0.455847829580307,0.3619994819164276,0.535392165184021,0.3378143310546875,0.41548454761505127,0.3313114047050476,0.2414499819278717,0.29463258385658264
move,0.30861297249794006,0.21533089876174927,0.29817628860473633,0.27608513832092285,0.19058799743652344,0.11827094852924347,0.20051923394203186,0.24440962076187134
out,0.3633197546005249,0.30727511644363403,0.39404502511024475,0.31970974802970886,0.34176841378211975,0.21950015425682068,0.255919873714447,0.22020699083805084
of,0.33290785551071167,0.3909035325050354,0.733189046382904,0.3156060576438904,1.0,0.168605774641037,0.29665443301200867,0.1826142966747284
poverty,0.20925714075565338,0.13780371844768524,0.20494918525218964,0.29445958137512207,0.2334604412317276,0.2978300154209137,0.2720078229904175,0.16537553071975708
.,0.3567904531955719,0.4105546176433563,0.5934505462646484,0.24619564414024353,0.5352458953857422,0.208346426486969,0.2413787543773651,0.4130953550338745
