,in,south,africa,",",along,with,privately,governed,schools,",",what,schools,are,classified,as,independent,?
the,0.6662389636039734,0.3129390776157379,0.2903064787387848,0.4933079481124878,0.39495137333869934,0.4223487675189972,0.22518745064735413,0.3389590084552765,0.22905772924423218,0.4933079481124878,0.42745697498321533,0.22905772924423218,0.40399202704429626,0.24516408145427704,0.48381632566452026,0.2927691638469696,0.22068053483963013
south,0.33642083406448364,1.0000001192092896,0.5442710518836975,0.3256652057170868,0.29224321246147156,0.15469324588775635,0.1640017181634903,0.26389336585998535,0.2044089287519455,0.3256652057170868,0.15388517081737518,0.2044089287519455,0.21281804144382477,0.14379647374153137,0.21022742986679077,0.19521404802799225,0.12336621433496475
african,0.2008972465991974,0.45805707573890686,0.6826803088188171,0.25119030475616455,0.1348453313112259,0.149913489818573,0.14909541606903076,0.1287996768951416,0.16710834205150604,0.25119030475616455,0.11136822402477264,0.16710834205150604,0.20821034908294678,0.21412840485572815,0.23027671873569489,0.14545753598213196,0.11862778663635254
schools,0.2632134258747101,0.2044089287519455,0.17304439842700958,0.2760516405105591,0.19221381843090057,0.13740696012973785,0.3279704749584198,0.26262614130973816,1.0,0.2760516405105591,0.1820785105228424,1.0,0.30816179513931274,0.19251182675361633,0.21233005821704865,0.22231550514698029,0.18349280953407288
act,0.22050046920776367,0.10690037906169891,0.1713143140077591,0.1787904053926468,0.11168698966503143,0.18591532111167908,0.1526455581188202,0.28664612770080566,0.14299996197223663,0.1787904053926468,0.2622668445110321,0.14299996197223663,0.22266654670238495,0.16774624586105347,0.2497578263282776,0.16096672415733337,0.1482519507408142
of,0.5696388483047485,0.33382371068000793,0.2694264054298401,0.4946078956127167,0.34889817237854004,0.41827285289764404,0.14411099255084991,0.4198022782802582,0.265506386756897,0.4946078956127167,0.33290785551071167,0.265506386756897,0.39081433415412903,0.1888706386089325,0.3886612355709076,0.30508819222450256,0.1826142966747284
1996,0.07233931124210358,0.10360674560070038,0.08692650496959686,0.20095814764499664,-0.006592209916561842,0.0518411286175251,0.16750432550907135,0.19879838824272156,0.16285528242588043,0.20095814764499664,0.1822642683982849,0.16285528242588043,-0.035723693668842316,-0.053146470338106155,0.0785534605383873,0.18394502997398376,0.18022380769252777
recognises,0.2609596252441406,0.20980887115001678,0.21956489980220795,0.25469160079956055,0.18002338707447052,0.22037416696548462,0.20782139897346497,0.4380427896976471,0.20685650408267975,0.25469160079956055,0.26039788126945496,0.20685650408267975,0.2922688126564026,0.274264395236969,0.31735461950302124,0.36523473262786865,0.23097087442874908
two,0.36463531851768494,0.2434704750776291,0.2214287370443344,0.35859420895576477,0.3377816379070282,0.4333336651325226,0.2571866810321808,0.23004046082496643,0.2389073520898819,0.35859420895576477,0.23363454639911652,0.2389073520898819,0.46276170015335083,0.232509046792984,0.3029302954673767,0.20671334862709045,0.19645625352859497
categories,0.1837518811225891,0.1633131504058838,0.19204175472259521,0.2938539683818817,0.1389833688735962,0.18762165307998657,0.09703812748193741,0.21735307574272156,0.22869977355003357,0.2938539683818817,0.27071893215179443,0.22869977355003357,0.34090813994407654,0.327347069978714,0.18829888105392456,0.150941863656044,0.3382010757923126
of,0.5696388483047485,0.33382371068000793,0.2694264054298401,0.4946078956127167,0.34889817237854004,0.41827285289764404,0.14411099255084991,0.4198022782802582,0.265506386756897,0.4946078956127167,0.33290785551071167,0.265506386756897,0.39081433415412903,0.1888706386089325,0.3886612355709076,0.30508819222450256,0.1826142966747284
