,who,moved,his,court,from,kraków,to,warsaw,in,1596,?
due,0.1198829784989357,0.1513989269733429,0.2196607142686844,0.16161353886127472,0.2898779809474945,0.1336044818162918,0.35188060998916626,0.17273680865764618,0.2516716718673706,0.13427354395389557,0.10954997688531876
to,0.42656609416007996,0.2918468713760376,0.3715193271636963,0.24824365973472595,0.4069952368736267,0.15587858855724335,1.0,0.1953994333744049,0.45010748505592346,0.10059106349945068,0.29463258385658264
its,0.1326070874929428,0.22440315783023834,0.37344956398010254,0.11312483251094818,0.32706040143966675,0.1900167316198349,0.3691340684890747,0.19152112305164337,0.3793783485889435,0.06426243484020233,0.15103481709957123
central,0.14618510007858276,0.2292374074459076,0.12756633758544922,0.1356222778558731,0.2553580701351166,0.20710845291614532,0.21511952579021454,0.19905970990657806,0.30844059586524963,0.03208675980567932,0.14787602424621582
location,0.10714887082576752,0.2708742618560791,0.1553061157464981,0.11979392170906067,0.3039056956768036,0.1629820019006729,0.2590580880641937,0.08546178042888641,0.3397608697414398,0.03144163638353348,0.15759775042533875
between,0.20718061923980713,0.205595463514328,0.15603972971439362,0.1520005613565445,0.3269653618335724,0.1375492960214615,0.3639189600944519,0.15869276225566864,0.41100412607192993,0.1000201404094696,0.12887074053287506
the,0.3733934462070465,0.32031023502349854,0.4394008219242096,0.2812081575393677,0.40150508284568787,0.19051972031593323,0.535392165184021,0.23137180507183075,0.6662389636039734,0.008924320340156555,0.22068053483963013
polish–lithuanian,0.24721649289131165,0.19869466125965118,0.22689089179039001,0.1954527646303177,0.2720740735530853,0.5312356948852539,0.1712946891784668,0.5739424228668213,0.25090235471725464,0.10219987481832504,0.1877656877040863
commonwealth,0.15654827654361725,0.1854589879512787,0.16365839540958405,0.22739897668361664,0.22597156465053558,0.2528427541255951,0.27652594447135925,0.2659563720226288,0.2471591830253601,0.17589600384235382,0.13252873718738556
's,0.05599616840481758,-0.05324588716030121,0.047556519508361816,-0.0831713154911995,-0.01936490088701248,0.012986389920115471,0.03782717138528824,0.02839025668799877,-0.037580832839012146,0.11602454632520676,-0.023395681753754616
capitals,0.21203447878360748,0.27601680159568787,0.12606710195541382,0.2511034607887268,0.13992099463939667,0.14274081587791443,0.2196456789970398,0.18681874871253967,0.2831413745880127,0.08689753711223602,0.11594223231077194
of,0.2827862501144409,0.22242598235607147,0.38364991545677185,0.28835242986679077,0.4249346852302551,0.20613795518875122,0.41548454761505127,0.19253842532634735,0.5696388483047485,0.0572606697678566,0.1826142966747284
