,in,the,year,2000,how,many,square,kilometres,of,the,amazon,forest,had,been,lost,?
between,0.41100412607192993,0.39067012071609497,0.18525539338588715,-0.17346101999282837,0.2747800648212433,0.29423660039901733,0.14560289680957794,0.274911493062973,0.3737983703613281,0.39067012071609497,0.12149064987897873,0.11686556786298752,0.28245165944099426,0.16697090864181519,0.23925216495990753,0.12887074053287506
1991,0.0019440409960225224,0.002508036559447646,0.04858509823679924,0.00346093880943954,0.0894000455737114,0.06983742117881775,-0.053379472345113754,-0.10377875715494156,-0.004689669236540794,0.002508036559447646,-0.0911702811717987,-0.06829819083213806,0.1272028535604477,0.07682372629642487,0.09184408187866211,0.175977423787117
and,0.4954058527946472,0.5171257257461548,0.2506658732891083,-0.004737076815217733,0.33647966384887695,0.5296266674995422,0.18014872074127197,0.21372832357883453,0.5116966962814331,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.3872550129890442,0.3424558639526367,0.25558507442474365,0.20544172823429108
2000,-0.0435720756649971,-0.015081177465617657,0.00622312817722559,1.0,-0.07386910915374756,-0.06041426211595535,-0.1823805421590805,-0.3158727288246155,0.010344067588448524,-0.015081177465617657,-0.11082176119089127,-0.11802282184362411,0.0061747063882648945,-0.06873314082622528,-0.01696111634373665,-0.0824366956949234
",",0.5201468467712402,0.4933079481124878,0.28560417890548706,-0.03465369716286659,0.22659391164779663,0.40610817074775696,0.2723195254802704,0.22707565128803253,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.35487717390060425,0.34873589873313904,0.26788443326950073,0.31091248989105225
the,0.6662389636039734,1.0,0.3609684407711029,-0.015081177465617657,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.26219841837882996,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.3875846862792969,0.3563927710056305,0.3376973867416382,0.22068053483963013
total,0.27667245268821716,0.27068960666656494,0.19080977141857147,-0.13763748109340668,0.22199897468090057,0.2912171483039856,0.2837706208229065,0.25759822130203247,0.29045331478118896,0.27068960666656494,0.11719238758087158,0.09396842867136002,0.24812166392803192,0.2522866129875183,0.2193073332309723,0.14396025240421295
area,0.33632898330688477,0.37834644317626953,0.1947406381368637,-0.22986151278018951,0.17030490934848785,0.2414858043193817,0.40021806955337524,0.4390702545642853,0.3409860134124756,0.37834644317626953,0.15915891528129578,0.31643155217170715,0.24870362877845764,0.25130510330200195,0.19217315316200256,0.12640461325645447
of,0.5696388483047485,0.733189046382904,0.2578314542770386,0.010344067588448524,0.2480744868516922,0.37253960967063904,0.2585134208202362,0.2594377398490906,1.0,0.733189046382904,0.20143137872219086,0.2309139519929886,0.37755560874938965,0.31685134768486023,0.2878951132297516,0.1826142966747284
forest,0.24136987328529358,0.24134553968906403,0.207904651761055,-0.11802282184362411,0.07947511225938797,0.19294719398021698,0.17481233179569244,0.2226104736328125,0.2309139519929886,0.24134553968906403,0.26471444964408875,1.0000001192092896,0.14042310416698456,0.16233566403388977,0.22218307852745056,0.1214437186717987
lost,0.3167656362056732,0.3376973867416382,0.15647779405117035,-0.01696111634373665,0.15881673991680145,0.2272789478302002,0.07841049879789352,0.1300925463438034,0.2878951132297516,0.3376973867416382,0.10585277527570724,0.22218307852745056,0.3702373504638672,0.25195053219795227,0.9999998807907104,0.15261413156986237
in,1.0,0.6662389636039734,0.3359307050704956,-0.0435720756649971,0.2601168751716614,0.41474202275276184,0.2193731665611267,0.2448771744966507,0.5696388483047485,0.6662389636039734,0.12227833271026611,0.24136987328529358,0.385026752948761,0.3515113592147827,0.3167656362056732,0.20430970191955566
the,0.6662389636039734,1.0,0.3609684407711029,-0.015081177465617657,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.26219841837882996,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.3875846862792969,0.3563927710056305,0.3376973867416382,0.22068053483963013
amazon,0.12227833271026611,0.260541707277298,0.1589571088552475,-0.11082176119089127,0.16216763854026794,0.22591036558151245,0.20306317508220673,0.16782523691654205,0.20143137872219086,0.260541707277298,1.0000001192092896,0.26471444964408875,0.171722412109375,0.13283225893974304,0.10585277527570724,0.18144656717777252
rose,0.24995949864387512,0.28326278924942017,0.18637050688266754,0.040554508566856384,0.1042250394821167,0.1889946460723877,0.19246987998485565,0.0946202278137207,0.2557028830051422,0.28326278924942017,0.14034469425678253,0.1457551270723343,0.19258339703083038,0.1537894904613495,0.22237767279148102,0.11847885698080063
from,0.4274188280105591,0.40150508284568787,0.2101740688085556,0.0688478946685791,0.22939439117908478,0.33099696040153503,0.10668959468603134,0.2276834398508072,0.4249346852302551,0.40150508284568787,0.08236479759216309,0.15542404353618622,0.3075238764286041,0.27624839544296265,0.257583886384964,0.19969791173934937
"415,000",0.2128148376941681,0.2739603817462921,0.05100248008966446,0.09355656802654266,0.14619684219360352,0.2096606194972992,0.09009664505720139,0.10329355299472809,0.22733664512634277,0.2739603817462921,0.13109560310840607,0.17557257413864136,0.19016215205192566,0.08507417887449265,0.15017522871494293,0.053169235587120056
to,0.45010748505592346,0.535392165184021,0.23523004353046417,-0.05413077399134636,0.44169697165489197,0.40243685245513916,0.17897218465805054,0.24676118791103363,0.41548454761505127,0.535392165184021,0.17033490538597107,0.1971547156572342,0.37984350323677063,0.34945759177207947,0.23270919919013977,0.29463258385658264
"587,000",0.13388024270534515,0.1024371013045311,0.14330849051475525,0.6773068308830261,-0.022615129128098488,-0.029366541653871536,-0.0907551646232605,-0.12982389330863953,0.1440596729516983,0.1024371013045311,-0.04962719604372978,-0.03242548555135727,0.09829201549291611,0.042742740362882614,0.08498872816562653,0.0661781057715416
