,how,much,was,the,apollo,project,estimated,to,have,cost,from,1959,to,1973,",",the,length,of,the,program,?
the,0.33890387415885925,0.35023224353790283,0.48711544275283813,1.0,0.2169172167778015,0.2027820199728012,0.29184040427207947,0.535392165184021,0.40389683842658997,0.23177006840705872,0.40150508284568787,0.06652198731899261,0.535392165184021,-0.22297891974449158,0.4933079481124878,1.0,0.26581600308418274,0.733189046382904,1.0,0.22986935079097748,0.22068053483963013
space,0.1899009644985199,0.22150516510009766,0.14677780866622925,0.24495907127857208,0.3076713979244232,0.28891924023628235,0.16020408272743225,0.22712917625904083,0.22874028980731964,0.22601361572742462,0.14363344013690948,-0.07191459834575653,0.22712917625904083,-0.20205064117908478,0.2285580337047577,0.24495907127857208,0.18336167931556702,0.21300287544727325,0.24495907127857208,0.27222728729248047,0.1885536164045334
review,0.2558031380176544,0.2222612053155899,0.22038598358631134,0.245576411485672,0.17405225336551666,0.2604503333568573,0.09484078735113144,0.22984053194522858,0.22586536407470703,0.166439026594162,0.1490122228860855,0.01682477816939354,0.22984053194522858,-0.14643411338329315,0.32966679334640503,0.245576411485672,0.1286868304014206,0.18473945558071136,0.245576411485672,0.18825377523899078,0.27187594771385193
estimated,0.21406520903110504,0.2984779179096222,0.2472851723432541,0.29184040427207947,0.18501105904579163,0.1527320295572281,1.0000001192092896,0.2046545445919037,0.2658007740974426,0.3361802101135254,0.19972248375415802,0.09158390015363693,0.2046545445919037,-0.21141384541988373,0.2654368579387665,0.29184040427207947,0.2822531461715698,0.30473583936691284,0.29184040427207947,0.15782007575035095,0.18149758875370026
in,0.2601168751716614,0.2725222110748291,0.45514053106307983,0.6662389636039734,0.1461767554283142,0.16277937591075897,0.2508986294269562,0.45010748505592346,0.36843645572662354,0.25200018286705017,0.4274188280105591,0.09894876182079315,0.45010748505592346,-0.18588787317276,0.5201468467712402,0.6662389636039734,0.1989525854587555,0.5696388483047485,0.6662389636039734,0.1994907110929489,0.20430970191955566
2010,0.17927342653274536,0.22107863426208496,0.23825319111347198,0.31722962856292725,0.05994512885808945,0.1267206221818924,0.1080913171172142,0.3413967490196228,0.31863707304000854,0.11057446897029877,0.21823202073574066,-0.0044879913330078125,0.3413967490196228,-0.1028122529387474,0.24006164073944092,0.31722962856292725,-0.02558327093720436,0.26419875025749207,0.31722962856292725,0.10997771471738815,0.21232788264751434
the,0.33890387415885925,0.35023224353790283,0.48711544275283813,1.0,0.2169172167778015,0.2027820199728012,0.29184040427207947,0.535392165184021,0.40389683842658997,0.23177006840705872,0.40150508284568787,0.06652198731899261,0.535392165184021,-0.22297891974449158,0.4933079481124878,1.0,0.26581600308418274,0.733189046382904,1.0,0.22986935079097748,0.22068053483963013
cost,0.26260897517204285,0.35547950863838196,0.23827089369297028,0.23177006840705872,0.12216106802225113,0.25715333223342896,0.3361802101135254,0.2525014281272888,0.30025556683540344,1.0000001192092896,0.12411961704492569,0.09979376941919327,0.2525014281272888,-0.18668289482593536,0.20970560610294342,0.23177006840705872,0.24038895964622498,0.23332229256629944,0.23177006840705872,0.2242118865251541,0.17823095619678497
of,0.2480744868516922,0.2671096920967102,0.4069072902202606,0.733189046382904,0.1786269098520279,0.17578177154064178,0.30473583936691284,0.41548454761505127,0.3802283704280853,0.23332229256629944,0.4249346852302551,0.07401866465806961,0.41548454761505127,-0.15240907669067383,0.4946078956127167,0.733189046382904,0.22847424447536469,1.0,0.733189046382904,0.17376001179218292,0.1826142966747284
apollo,0.13699254393577576,0.19292719662189484,0.2306441366672516,0.2169172167778015,0.9999999403953552,0.27027878165245056,0.18501105904579163,0.23190522193908691,0.14258214831352234,0.12216106802225113,0.14872027933597565,0.030397910624742508,0.23190522193908691,-0.2165769785642624,0.19808128476142883,0.2169172167778015,0.06866154074668884,0.1786269098520279,0.2169172167778015,0.3344622850418091,0.191528782248497
