,how,many,divisions,make,up,the,academics,of,the,university,?
the,0.33890387415885925,0.4335206151008606,0.3125615119934082,0.3146495521068573,0.38423117995262146,1.0,0.17319679260253906,0.733189046382904,1.0,0.263973206281662,0.22068053483963013
college,0.138996884226799,0.20574161410331726,0.18549610674381256,0.1561392843723297,0.1304188072681427,0.19751401245594025,0.34659862518310547,0.2384195327758789,0.19751401245594025,0.6649739742279053,0.11076676845550537
's,-0.026164190843701363,0.01698932610452175,0.029481666162610054,0.09622383862733841,-0.08862818777561188,-0.01540423184633255,0.06872408092021942,-0.03817026689648628,-0.01540423184633255,-0.007441582623869181,-0.023395681753754616
academics,0.2241627722978592,0.35400864481925964,0.19935905933380127,0.20788045227527618,0.15227839350700378,0.17319679260253906,1.0,0.21528516709804535,0.17319679260253906,0.45367032289505005,0.15616270899772644
are,0.311818927526474,0.5655534863471985,0.24858494102954865,0.4522273540496826,0.32151925563812256,0.40399202704429626,0.2568923830986023,0.39081433415412903,0.40399202704429626,0.16609783470630646,0.24591213464736938
divided,0.1862497329711914,0.21604293584823608,0.45567911863327026,0.16360965371131897,0.22385302186012268,0.34601110219955444,0.18317635357379913,0.37450557947158813,0.34601110219955444,0.16553156077861786,0.10190024226903915
into,0.2303972691297531,0.2618265151977539,0.29413294792175293,0.3341430723667145,0.38173696398735046,0.39493247866630554,0.09445983916521072,0.32255905866622925,0.39493247866630554,0.12447744607925415,0.15662476420402527
five,0.20553050935268402,0.41084155440330505,0.2809937000274658,0.1896439492702484,0.25893768668174744,0.41977158188819885,0.15637360513210297,0.3980514109134674,0.41977158188819885,0.2069372981786728,0.18342848122119904
divisions,0.14686065912246704,0.22984808683395386,1.0,0.16707532107830048,0.22600950300693512,0.3125615119934082,0.19935905933380127,0.3138268291950226,0.3125615119934082,0.16864295303821564,0.14903524518013
:,-0.11215605586767197,-0.10786184668540955,-0.018674347549676895,-0.12153898924589157,-0.053053371608257294,-0.03403344005346298,-0.026494646444916725,-0.08807745575904846,-0.03403344005346298,-0.0786300003528595,-0.07156077772378922
the,0.33890387415885925,0.4335206151008606,0.3125615119934082,0.3146495521068573,0.38423117995262146,1.0,0.17319679260253906,0.733189046382904,1.0,0.263973206281662,0.22068053483963013
biological,0.2726335823535919,0.2471419721841812,0.16786059737205505,0.2088378220796585,0.1377854198217392,0.22739484906196594,0.24337100982666016,0.315677285194397,0.22739484906196594,0.2195066660642624,0.15755151212215424
