,what,was,the,uk,governments,benefits,agenchy,checking,in,2012,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2143084555864334,0.2835306227207184,0.20434671640396118,0.272574245929718,0.27957913279533386,0.6662389636039734,0.46885523200035095,0.22068053483963013
daily,0.19118091464042664,0.17373126745224,0.2515474557876587,0.22265180945396423,0.18905001878738403,0.1607431024312973,0.20478278398513794,0.2608672082424164,0.22667531669139862,0.1336335837841034,0.1472100466489792
mail,0.17177505791187286,0.1760828047990799,0.2037639319896698,0.182229146361351,0.20590536296367645,0.17877228558063507,0.15791937708854675,0.28110313415527344,0.18629564344882965,0.14547090232372284,0.16083195805549622
newspaper,0.19692619144916534,0.24013884365558624,0.228145033121109,0.169350728392601,0.21874970197677612,0.04775097966194153,0.20099909603595734,0.20903542637825012,0.24728119373321533,0.1520841270685196,0.12645277380943298
reported,0.16211873292922974,0.2993243634700775,0.24444028735160828,0.15722401440143585,0.23173701763153076,0.13338977098464966,0.1890024095773697,0.18705542385578156,0.25024300813674927,0.25118327140808105,0.16150116920471191
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2261405885219574,0.26927295327186584,0.14132487773895264,0.2802489697933197,0.22784686088562012,1.0,0.3800647258758545,0.20430970191955566
2012,0.2266836017370224,0.2899843454360962,0.46885523200035095,0.12523332238197327,0.23121637105941772,0.15422824025154114,0.30619415640830994,0.10646741837263107,0.3800647258758545,1.0,0.18042556941509247
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.1688336580991745,0.31705090403556824,0.3614796996116638,0.1390848010778427,0.3871781826019287,0.435920387506485,0.32257330417633057,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,1.0,0.2143084555864334,0.2835306227207184,0.20434671640396118,0.272574245929718,0.27957913279533386,0.6662389636039734,0.46885523200035095,0.22068053483963013
uk,0.17163191735744476,0.206756129860878,0.2143084555864334,1.0,0.20034794509410858,0.22192159295082092,0.20445950329303741,0.1856377273797989,0.2261405885219574,0.12523332238197327,0.20222434401512146
government,0.28074538707733154,0.2995857298374176,0.31798112392425537,0.20926889777183533,0.87839275598526,0.26918208599090576,0.2887614071369171,0.17386098206043243,0.3066793978214264,0.2711702883243561,0.18851417303085327
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.0013451746199280024,0.03380228206515312,0.015248570591211319,0.04252311959862709,-0.050658244639635086,-0.037580832839012146,-0.022972648963332176,-0.023395681753754616
benefits,0.26291319727897644,0.09684896469116211,0.20434671640396118,0.22192159295082092,0.36272332072257996,1.0,0.09905804693698883,0.3283296525478363,0.14132487773895264,0.15422824025154114,0.25678688287734985
agency,0.1771060973405838,0.19805613160133362,0.24253644049167633,0.24189265072345734,0.2922575771808624,0.15088532865047455,0.7122970223426819,0.1360498070716858,0.18450471758842468,0.2202560156583786,0.18185843527317047
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.206756129860878,0.25224968791007996,0.09684896469116211,0.22221443057060242,0.10953684151172638,0.45514053106307983,0.2899843454360962,0.18412111699581146
