,how,many,scalar,equations,were,formed,into,a,set,by,james,maxwell,?
the,0.33890387415885925,0.4335206151008606,0.20701980590820312,0.1991964876651764,0.3906462490558624,0.28813210129737854,0.39493247866630554,0.5829201340675354,0.2927955985069275,0.4408751428127289,0.22481533885002136,0.17684456706047058,0.22068053483963013
origin,0.1764616072177887,0.2379787713289261,0.1773592084646225,0.13152384757995605,0.1711108535528183,0.28396254777908325,0.1296977549791336,0.17459014058113098,0.13955019414424896,0.15467306971549988,0.13829326629638672,0.18420565128326416,0.12716172635555267
of,0.2480744868516922,0.37253960967063904,0.2585209012031555,0.186348557472229,0.34038281440734863,0.2871689796447754,0.32255905866622925,0.5052502155303955,0.20671486854553223,0.3646814823150635,0.18323110044002533,0.1715129315853119,0.1826142966747284
electric,0.22688037157058716,0.16117258369922638,0.3254009187221527,0.3011855483055115,0.18160271644592285,0.14457127451896667,0.13592304289340973,0.24061402678489685,0.15309464931488037,0.19581176340579987,0.21320907771587372,0.31220003962516785,0.15674720704555511
and,0.33647966384887695,0.5296266674995422,0.19899652898311615,0.1906200498342514,0.42175528407096863,0.27619341015815735,0.36597734689712524,0.3739250600337982,0.27649927139282227,0.4289871156215668,0.21273121237754822,0.21700043976306915,0.20544172823429108
magnetic,0.26688772439956665,0.17107558250427246,0.44990038871765137,0.42013853788375854,0.1386260688304901,0.12303879857063293,0.13648121058940887,0.19198331236839294,0.12827131152153015,0.16522380709648132,0.2097909152507782,0.3904406428337097,0.10858146101236343
fields,0.21759624779224396,0.23597875237464905,0.2897202968597412,0.3620392084121704,0.13715113699436188,0.08215155452489853,0.13313113152980804,0.1733706295490265,0.15742233395576477,0.1579877883195877,0.15588264167308807,0.323249876499176,0.1411406248807907
would,0.43239715695381165,0.33440667390823364,0.26476892828941345,0.2633883059024811,0.37426912784576416,0.17511478066444397,0.2832599878311157,0.398599237203598,0.2767912447452545,0.28394925594329834,0.1703236997127533,0.16699272394180298,0.37178951501846313
not,0.4869767427444458,0.4369727373123169,0.25237351655960083,0.2815222144126892,0.33318549394607544,0.15396705269813538,0.2764923572540283,0.3791346549987793,0.2197837382555008,0.291808545589447,0.17499138414859772,0.1554599106311798,0.41942933201789856
be,0.4158933162689209,0.3961109519004822,0.31564098596572876,0.3061891198158264,0.4064064621925354,0.14147688448429108,0.3462390601634979,0.39883795380592346,0.19580282270908356,0.43158695101737976,0.08141086995601654,0.11196014285087585,0.3324260413646698
