,how,many,years,does,the,v,&,a,'s,collections,span,?
its,0.22449488937854767,0.3319723308086395,0.17322497069835663,0.33437713980674744,0.559237003326416,0.1524200141429901,0.11429427564144135,0.4424409866333008,0.03202139586210251,0.183885395526886,0.18686553835868835,0.15103481709957123
collection,0.11592676490545273,0.24966391921043396,0.1788054257631302,0.10356780141592026,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.003388406243175268,0.9249221086502075,0.12259792536497116,0.20069393515586853
spans,0.14367008209228516,0.219037726521492,0.2754301428794861,0.18114660680294037,0.3057820200920105,0.10845772922039032,0.1208266168832779,0.2534700930118561,0.046961456537246704,0.1461438536643982,0.6759722232818604,0.13849228620529175
"5,000",0.05325348302721977,0.053693607449531555,0.0707651898264885,0.08856223523616791,0.13800157606601715,0.011023507453501225,0.005994951818138361,0.07319855690002441,-0.12292958796024323,0.022538209334015846,0.01237461157143116,0.031676504760980606
years,0.21949264407157898,0.2731519937515259,1.0,0.11878147721290588,0.2912273406982422,0.15056827664375305,0.0772986188530922,0.23773819208145142,0.05563735216856003,0.24656516313552856,0.24262142181396484,0.1914375126361847
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.3119818866252899,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.3185039758682251,0.17238636314868927,0.1826142966747284
art,0.17110610008239746,0.24921295046806335,0.1524386703968048,0.2125045508146286,0.20297785103321075,0.12526747584342957,0.1891014128923416,0.1329297125339508,-0.0026162867434322834,0.3595452308654785,0.15175732970237732,0.138971745967865
",",0.22659391164779663,0.40610817074775696,0.2589467465877533,0.28617382049560547,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.2696824073791504,0.14359015226364136,0.31091248989105225
from,0.22939439117908478,0.33099696040153503,0.31063511967658997,0.1777622550725937,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,-0.01936490088701248,0.27473148703575134,0.10917722433805466,0.19969791173934937
ancient,0.1506028026342392,0.3276658356189728,0.23157089948654175,0.143720343708992,0.28808021545410156,0.1507517248392105,0.10821932554244995,0.2069382220506668,0.09360567480325699,0.2452867031097412,0.13099728524684906,0.12938068807125092
times,0.2685738503932953,0.303416907787323,0.318488746881485,0.23567602038383484,0.29093852639198303,0.15002888441085815,0.07162550091743469,0.2745400369167328,-0.048017483204603195,0.18604205548763275,0.21641595661640167,0.18880689144134521
to,0.44169697165489197,0.40243685245513916,0.23891852796077728,0.4391997456550598,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.03782717138528824,0.18565168976783752,0.18583011627197266,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.35928019881248474,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.27174001932144165,0.2050493061542511,0.22068053483963013
present,0.17780441045761108,0.14346416294574738,0.2789352238178253,0.19336256384849548,0.2829846143722534,0.15913373231887817,0.0991305410861969,0.14277903735637665,0.010861009359359741,0.14538012444972992,0.15512025356292725,0.21759982407093048
day,0.20268619060516357,0.1936323195695877,0.27979952096939087,0.12629863619804382,0.3062323033809662,0.1327112764120102,0.09481798857450485,0.18630309402942657,0.03448042273521423,0.12468887865543365,0.12174532562494278,0.2141837179660797
",",0.22659391164779663,0.40610817074775696,0.2589467465877533,0.28617382049560547,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.2696824073791504,0.14359015226364136,0.31091248989105225
from,0.22939439117908478,0.33099696040153503,0.31063511967658997,0.1777622550725937,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,-0.01936490088701248,0.27473148703575134,0.10917722433805466,0.19969791173934937
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.35928019881248474,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.27174001932144165,0.2050493061542511,0.22068053483963013
cultures,0.24980498850345612,0.42444664239883423,0.2025657296180725,0.16532805562019348,0.2909663915634155,0.07095468044281006,0.11083927005529404,0.21986372768878937,0.004949934780597687,0.29376569390296936,0.18429651856422424,0.1482744663953781
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.3119818866252899,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.3185039758682251,0.17238636314868927,0.1826142966747284
europe,0.1606675088405609,0.3837028741836548,0.26117831468582153,0.1306854486465454,0.34463706612586975,0.10453177988529205,0.1580963432788849,0.18710176646709442,0.08762212097644806,0.16971082985401154,0.1267203837633133,0.18278923630714417
",",0.22659391164779663,0.40610817074775696,0.2589467465877533,0.28617382049560547,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.2696824073791504,0.14359015226364136,0.31091248989105225
north,0.12114071100950241,0.20274685323238373,0.26820671558380127,0.11500263214111328,0.36298373341560364,0.15953503549098969,0.1503286510705948,0.25008413195610046,0.06196961551904678,0.12600581347942352,0.12335651367902756,0.11829731613397598
america,0.19301444292068481,0.30219417810440063,0.2335117906332016,0.13335242867469788,0.37090015411376953,0.11695870757102966,0.15439684689044952,0.22012436389923096,0.04083184897899628,0.22649435698986053,0.16935378313064575,0.19333907961845398
",",0.22659391164779663,0.40610817074775696,0.2589467465877533,0.28617382049560547,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.2696824073791504,0.14359015226364136,0.31091248989105225
asia,0.15617841482162476,0.3236691951751709,0.19291716814041138,0.1250523328781128,0.2838890850543976,0.060981590300798416,0.12218131124973297,0.14726082980632782,0.10478635132312775,0.1736319363117218,0.1858094036579132,0.1340748518705368
and,0.33647966384887695,0.5296266674995422,0.300204873085022,0.3461615741252899,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.06895173341035843,0.2914140522480011,0.19597582519054413,0.20544172823429108
north,0.12114071100950241,0.20274685323238373,0.26820671558380127,0.11500263214111328,0.36298373341560364,0.15953503549098969,0.1503286510705948,0.25008413195610046,0.06196961551904678,0.12600581347942352,0.12335651367902756,0.11829731613397598
africa,0.1568063348531723,0.285052627325058,0.22885410487651825,0.12769947946071625,0.2903064787387848,0.059770625084638596,0.08740679919719696,0.18140724301338196,0.0768766924738884,0.15281467139720917,0.14312194287776947,0.12926554679870605
.,0.3287222981452942,0.3974229395389557,0.31919315457344055,0.3022993505001068,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,-0.003708066651597619,0.30024775862693787,0.2516559064388275,0.4130953550338745
