,what,did,luther,write,as,an,outline,of,the,new,faith,?
from,0.2737620174884796,0.20248863101005554,0.10716932266950607,0.19640778005123138,0.3251767158508301,0.20876385271549225,0.2055882066488266,0.4249346852302551,0.40150508284568787,0.3360432982444763,0.17307856678962708,0.19969791173934937
1525,0.1285589039325714,0.19781608879566193,0.1513497233390808,0.07031891494989395,0.14367128908634186,0.10229621827602386,0.08319520205259323,0.13786408305168152,0.1667099893093109,0.10528561472892761,0.059548649936914444,0.09607826918363571
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.4184085726737976,0.42092081904411316,0.3138085603713989,0.22504092752933502,0.41548454761505127,0.535392165184021,0.33159172534942627,0.2426898032426834,0.29463258385658264
1529,0.07017510384321213,0.12269923090934753,0.16133925318717957,0.18780925869941711,0.08375700563192368,0.1430935114622116,0.07905898243188858,0.1614161878824234,0.17264190316200256,0.12579995393753052,0.06135568395256996,0.17319193482398987
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.24658997356891632,0.48816442489624023,0.3581022024154663,0.22565853595733643,0.4946078956127167,0.4933079481124878,0.36073189973831177,0.3190833032131195,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.2696007788181305,0.33787044882774353,0.281929612159729,0.17837519943714142,0.38706058263778687,0.4571082592010498,0.2739552855491638,0.23620006442070007,0.2089974731206894
established,0.14869536459445953,0.18989217281341553,0.1317099928855896,0.11785644292831421,0.26194092631340027,0.1547301560640335,0.13437186181545258,0.2735237777233124,0.33092597126960754,0.21703021228313446,0.20401068031787872,0.15917523205280304
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.29025161266326904,0.39550232887268066,0.44552403688430786,0.22886987030506134,0.5052502155303955,0.5829201340675354,0.3214259147644043,0.23009571433067322,0.23916715383529663
supervisory,0.21732665598392487,0.24150541424751282,0.1377347707748413,0.10714247077703476,0.29206690192222595,0.2195734679698944,0.16948556900024414,0.2758643925189972,0.26545441150665283,0.22754062712192535,0.2131405621767044,0.13021598756313324
church,0.1944202184677124,0.16781097650527954,0.379041463136673,0.17554832994937897,0.211966410279274,0.09629998356103897,0.1377493292093277,0.3079429268836975,0.23846197128295898,0.1963353157043457,0.3661857843399048,0.18081501126289368
body,0.2143840193748474,0.17681342363357544,0.09127452969551086,0.1391785591840744,0.24814960360527039,0.22158053517341614,0.245130717754364,0.25063133239746094,0.31682634353637695,0.15883728861808777,0.16082118451595306,0.20136451721191406
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.24658997356891632,0.48816442489624023,0.3581022024154663,0.22565853595733643,0.4946078956127167,0.4933079481124878,0.36073189973831177,0.3190833032131195,0.31091248989105225
laid,0.1648951917886734,0.2033681571483612,0.10750522464513779,0.15562839806079865,0.16216455399990082,0.1406743824481964,0.2504193186759949,0.3146350383758545,0.30588608980178833,0.1446816772222519,0.08240804076194763,0.11215737462043762
down,0.26226112246513367,0.2029697746038437,0.14699994027614594,0.24539338052272797,0.2080715298652649,0.12891331315040588,0.17406800389289856,0.23279321193695068,0.3325848877429962,0.17361775040626526,0.11844934523105621,0.13836295902729034
