,what,have,peridinin-type,chloroplasts,lost,?
the,0.42745697498321533,0.40389683842658997,0.386300653219223,0.23062430322170258,0.3376973867416382,0.22068053483963013
peridinin,0.22104650735855103,0.2291557639837265,0.7857310175895691,0.35932162404060364,0.15283428132534027,0.16034066677093506
chloroplast,0.23505516350269318,0.26476383209228516,0.3598039150238037,0.9777651429176331,0.17385512590408325,0.12532055377960205
is,0.28837618231773376,0.3613572418689728,0.39773768186569214,0.22550933063030243,0.18998044729232788,0.22961433231830597
bounded,0.14650486409664154,0.14747555553913116,0.3753223717212677,0.2257269024848938,0.13786013424396515,0.029345547780394554
by,0.2455483376979828,0.3359639644622803,0.26798388361930847,0.1951972097158432,0.2040068507194519,0.17966607213020325
three,0.24888746440410614,0.3712083399295807,0.27386951446533203,0.24092958867549896,0.203522190451622,0.20928427577018738
membranes,0.18834297358989716,0.3564684987068176,0.3564159870147705,0.6635266542434692,0.10689418762922287,0.20524227619171143
(,0.2411840260028839,0.23072676360607147,0.3837875425815582,0.17324984073638916,0.2212456464767456,0.40561532974243164
occasionally,0.24931581318378448,0.38471198081970215,0.23660148680210114,0.2657855451107025,0.09082984179258347,0.13541953265666962
two,0.23363454639911652,0.4498785734176636,0.25389087200164795,0.2635502219200134,0.21742692589759827,0.19645625352859497
),0.26259949803352356,0.22866283357143402,0.3935919404029846,0.16103236377239227,0.2206464260816574,0.42300865054130554
",",0.3087472915649414,0.3541618287563324,0.3603474497795105,0.20794041454792023,0.26788443326950073,0.31091248989105225
having,0.34064167737960815,0.5942753553390503,0.2396612912416458,0.19972681999206543,0.249540776014328,0.22418256103992462
lost,0.198215052485466,0.2670711576938629,0.1751943677663803,0.1645273119211197,0.9999998807907104,0.15261413156986237
the,0.42745697498321533,0.40389683842658997,0.386300653219223,0.23062430322170258,0.3376973867416382,0.22068053483963013
red,0.16784515976905823,0.2217920422554016,0.2068297564983368,0.26118144392967224,0.13801878690719604,0.1495664119720459
algal,0.19235531985759735,0.31350716948509216,0.357368528842926,0.5980126261711121,0.1376211792230606,0.18147486448287964
endosymbiont,0.25026771426200867,0.39198270440101624,0.41746166348457336,0.7342491149902344,0.13494014739990234,0.2268921285867691
's,0.02692362666130066,-0.02807004563510418,-0.007768602576106787,-0.026035647839307785,-0.04458974674344063,-0.023395681753754616
original,0.24651947617530823,0.26675835251808167,0.22777025401592255,0.2131224274635315,0.3206440508365631,0.17256900668144226
cell,0.19222842156887054,0.21540969610214233,0.2688188850879669,0.5408841967582703,0.07849421352148056,0.2058541625738144
membrane,0.1647152304649353,0.303412526845932,0.33897164463996887,0.6331068873405457,0.07115631550550461,0.18908235430717468
.,0.3567904531955719,0.41614407300949097,0.3568654954433441,0.23868323862552643,0.2800092399120331,0.4130953550338745
