,what,is,the,ability,to,recognize,and,adapt,to,new,specific,pathogens,called,?
jawed,0.13097071647644043,0.16367657482624054,0.20447887480258942,0.1892799735069275,0.12453474849462509,0.15686696767807007,0.2389185130596161,0.2370060682296753,0.12453474849462509,0.07171627134084702,0.15182337164878845,0.37737736105918884,0.21589405834674835,0.19950076937675476
vertebrates,0.21643035113811493,0.22236958146095276,0.3000766634941101,0.29746484756469727,0.18849731981754303,0.1837301105260849,0.2606973946094513,0.29840707778930664,0.18849731981754303,0.1437404453754425,0.25487253069877625,0.5808419585227966,0.19273005425930023,0.19819197058677673
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2049795389175415,0.44245919585227966,0.28637704253196716,0.6633074283599854,0.17452415823936462,0.44245919585227966,0.36073189973831177,0.24305859208106995,0.20320750772953033,0.26549121737480164,0.31091248989105225
including,0.18328791856765747,0.25093933939933777,0.3738902807235718,0.19678479433059692,0.24006329476833344,0.2416723370552063,0.5144438743591309,0.19081152975559235,0.24006329476833344,0.21702982485294342,0.19084350764751434,0.19691164791584015,0.3095756471157074,0.1633303165435791
humans,0.28355827927589417,0.24904371798038483,0.29565489292144775,0.35019105672836304,0.3031579256057739,0.2192293107509613,0.36259907484054565,0.31407278776168823,0.3031579256057739,0.1345720887184143,0.2284885048866272,0.4700360596179962,0.252072274684906,0.20141740143299103
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2049795389175415,0.44245919585227966,0.28637704253196716,0.6633074283599854,0.17452415823936462,0.44245919585227966,0.36073189973831177,0.24305859208106995,0.20320750772953033,0.26549121737480164,0.31091248989105225
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.361406534910202,0.4544740617275238,0.36920636892318726,0.4711785912513733,0.4122489094734192,0.4544740617275238,0.2689777910709381,0.39285340905189514,0.32079455256462097,0.34887513518333435,0.32991164922714233
even,0.40872135758399963,0.28202980756759644,0.37996912002563477,0.3945406675338745,0.46467068791389465,0.3628394603729248,0.4625037908554077,0.28897979855537415,0.46467068791389465,0.20480673015117645,0.2708643078804016,0.3026759922504425,0.2947443127632141,0.30082517862319946
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.324737012386322,0.47084665298461914,0.21779100596904755,0.39880692958831787,0.32083064317703247,0.47084665298461914,0.3023035526275635,0.35314255952835083,0.2787163555622101,0.26791808009147644,0.27894994616508484
sophisticated,0.27283841371536255,0.2176448404788971,0.2107514590024948,0.3574940860271454,0.19578741490840912,0.25894999504089355,0.28369566798210144,0.26021215319633484,0.19578741490840912,0.17926469445228577,0.31277185678482056,0.39304855465888977,0.2807471454143524,0.22235803306102753
