,this,person,proposed,explanations,for,the,origins,of,earthquakes,and,the,formation,of,mountains,",",what,was,his,name,?
drawing,0.2568022608757019,0.1803150624036789,0.19543568789958954,0.19995050132274628,0.2515561580657959,0.2675468325614929,0.14212046563625336,0.3059796988964081,0.1369616687297821,0.2536430060863495,0.2675468325614929,0.20067919790744781,0.3059796988964081,0.09998217970132828,0.2010757476091385,0.2065010517835617,0.1913844794034958,0.2580054998397827,0.10881062597036362,0.11201789230108261
from,0.3469814360141754,0.21919812262058258,0.19478890299797058,0.15817534923553467,0.314039945602417,0.40150508284568787,0.20566615462303162,0.4249346852302551,0.19143253564834595,0.3601827025413513,0.40150508284568787,0.2397208958864212,0.4249346852302551,0.21533413231372833,0.39760664105415344,0.2737620174884796,0.31171464920043945,0.3195365369319916,0.2635002136230469,0.19969791173934937
greek,0.19664427638053894,0.17230205237865448,0.14742451906204224,0.20713180303573608,0.16074992716312408,0.23564283549785614,0.15401239693164825,0.2256247103214264,0.19074179232120514,0.23151937127113342,0.23564283549785614,0.1300400048494339,0.2256247103214264,0.15786729753017426,0.24548614025115967,0.14808377623558044,0.191945880651474,0.14601361751556396,0.26015329360961914,0.11180876195430756
and,0.42353692650794983,0.27333492040634155,0.20594197511672974,0.2937956750392914,0.5064792633056641,0.5171257257461548,0.21966230869293213,0.5116966962814331,0.21013358235359192,1.0,0.5171257257461548,0.22940734028816223,0.5116966962814331,0.2570574879646301,0.6633074283599854,0.31309178471565247,0.3740963041782379,0.4234102666378021,0.21235932409763336,0.20544172823429108
indian,0.16986532509326935,0.13542649149894714,0.15460559725761414,0.10953541100025177,0.17063023149967194,0.23407642543315887,0.2023250311613083,0.24303589761257172,0.1263996660709381,0.24078236520290375,0.23407642543315887,0.1604614555835724,0.24303589761257172,0.13525906205177307,0.2407594621181488,0.18037962913513184,0.23096419870853424,0.13532444834709167,0.12032017856836319,0.09909533709287643
scientific,0.28744566440582275,0.23714478313922882,0.24671635031700134,0.3697337508201599,0.25507164001464844,0.24748262763023376,0.25102850794792175,0.2751598358154297,0.17568691074848175,0.2165914624929428,0.24748262763023376,0.23751673102378845,0.2751598358154297,0.144510880112648,0.2464645951986313,0.18922170996665955,0.17888261377811432,0.21954511106014252,0.2574297785758972,0.16215236485004425
literature,0.20641659200191498,0.22444765269756317,0.10848581045866013,0.2167803794145584,0.22154435515403748,0.2611817419528961,0.2555118203163147,0.25150051712989807,0.17288830876350403,0.24233996868133545,0.2611817419528961,0.14817477762699127,0.25150051712989807,0.20938733220100403,0.2802010178565979,0.22505109012126923,0.22508908808231354,0.25491294264793396,0.18012194335460663,0.2043706774711609
that,0.6909449696540833,0.4460006356239319,0.3023551106452942,0.4207441210746765,0.4137635827064514,0.5473989248275757,0.2644680440425873,0.41498205065727234,0.2691258490085602,0.4731321930885315,0.5473989248275757,0.27378779649734497,0.41498205065727234,0.15560296177864075,0.4137537479400635,0.6297725439071655,0.33670201897621155,0.3173833191394806,0.27224332094192505,0.32716336846351624
were,0.25469228625297546,0.16889125108718872,0.18424774706363678,0.21849994361400604,0.33592689037323,0.3906462490558624,0.18461564183235168,0.34038281440734863,0.24183745682239532,0.42175528407096863,0.3906462490558624,0.20050117373466492,0.34038281440734863,0.16997367143630981,0.36755475401878357,0.22298263013362885,0.590133786201477,0.3142043352127075,0.1580192744731903,0.17890112102031708
not,0.557635486125946,0.3899572491645813,0.2552351951599121,0.387285441160202,0.39280617237091064,0.4310511648654938,0.16308988630771637,0.3307090103626251,0.16603107750415802,0.39099299907684326,0.4310511648654938,0.1889440268278122,0.3307090103626251,0.10755714029073715,0.3769696354866028,0.5449194312095642,0.2888734042644501,0.2710725963115692,0.2188112437725067,0.41942933201789856
