,who,was,the,chairman,and,ceo,of,disney,in,2002,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.19268719851970673,0.4954058527946472,0.13535729050636292,0.5696388483047485,0.18521910905838013,1.0,-0.15852214395999908,0.20430970191955566
september,0.21365830302238464,0.4425655007362366,0.2516939043998718,0.2055528461933136,0.2902049422264099,0.2645360827445984,0.16787530481815338,0.19662262499332428,0.25402772426605225,-0.050096869468688965,0.2665146589279175
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.22044430673122406,0.6633074283599854,0.24176505208015442,0.4946078956127167,0.2132069319486618,0.5201468467712402,-0.08979252725839615,0.31091248989105225
disney,0.21692340075969696,0.22590678930282593,0.24980762600898743,0.13901935517787933,0.23352548480033875,0.2574164569377899,0.19926400482654572,1.0,0.18521910905838013,0.07512518018484116,0.22150784730911255
chairman/ceo,0.17791709303855896,0.2902737259864807,0.23698599636554718,0.9645108580589294,0.22903954982757568,0.6759247183799744,0.24380065500736237,0.13830861449241638,0.22747774422168732,-0.18347115814685822,0.12150019407272339
michael,0.24782328307628632,0.2856155037879944,0.21768254041671753,0.23052872717380524,0.15943403542041779,0.1957114338874817,0.18215155601501465,0.21061043441295624,0.2203132063150406,-0.055158670991659164,0.0667748749256134
eisner,0.2500346302986145,0.3284912705421448,0.29918214678764343,0.3158906102180481,0.2875044047832489,0.35718831419944763,0.2542112171649933,0.43164312839508057,0.2135956734418869,-0.05885659158229828,0.19891394674777985
outlined,0.14977286756038666,0.16625121235847473,0.26685938239097595,0.13839055597782135,0.2659628987312317,0.05832401663064957,0.3017116189002991,0.1415983885526657,0.1979038566350937,-0.08045036345720291,0.29497575759887695
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.12697254121303558,0.3739250600337982,0.12584517896175385,0.5052502155303955,0.21907898783683777,0.539380669593811,-0.04267120361328125,0.23916715383529663
proposed,0.19203443825244904,0.2461901754140854,0.23840250074863434,0.134853795170784,0.20594197511672974,0.06958907097578049,0.26188141107559204,0.10369641333818436,0.2148248553276062,-0.09601867944002151,0.24553193151950836
realignment,0.17716608941555023,0.2500761151313782,0.4268667995929718,0.15273934602737427,0.28347864747047424,0.12599267065525055,0.3004700243473053,0.23327751457691193,0.337922602891922,-0.12239839136600494,0.16036461293697357
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.2167922407388687,0.5116966962814331,0.14724358916282654,1.0,0.19926400482654572,0.5696388483047485,-0.05071645230054855,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.2121211588382721,0.5171257257461548,0.16098161041736603,0.733189046382904,0.24980762600898743,0.6662389636039734,-0.07970229536294937,0.22068053483963013
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.16381487250328064,0.16453155875205994,0.17861904203891754,0.14607268571853638,0.37895750999450684,0.1697147786617279,-0.03166643902659416,0.19065172970294952
broadcast,0.18632595241069794,0.24068336188793182,0.2713715434074402,0.15416112542152405,0.22526025772094727,0.1762693077325821,0.20155203342437744,0.3236337900161743,0.26723843812942505,-0.07764741033315659,0.15760008990764618
network,0.16999904811382294,0.1994880586862564,0.27187061309814453,0.16693653166294098,0.27591994404792786,0.23751571774482727,0.21800683438777924,0.28231924772262573,0.19496823847293854,-0.1037570983171463,0.17853789031505585
day,0.2447325587272644,0.24314451217651367,0.3062323033809662,0.15157447755336761,0.26673999428749084,0.10979265719652176,0.2934032380580902,0.18937917053699493,0.2671984136104584,0.0034501696936786175,0.2141837179660797
parts,0.197968527674675,0.239912748336792,0.4042440354824066,0.10195988416671753,0.3901200294494629,0.10833840072154999,0.3379773199558258,0.12594541907310486,0.3282690644264221,-0.11433294415473938,0.12310896813869476
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.10921347886323929,0.5477725267410278,0.1505270153284073,0.41827285289764404,0.2006005197763443,0.4080928862094879,-0.060713861137628555,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,1.0,0.2121211588382721,0.5171257257461548,0.16098161041736603,0.733189046382904,0.24980762600898743,0.6662389636039734,-0.07970229536294937,0.22068053483963013
similar,0.20777717232704163,0.20839861035346985,0.2963123023509979,0.047714587301015854,0.3316260874271393,0.08695241063833237,0.2911645472049713,0.17092515528202057,0.28091391921043396,-0.04488779231905937,0.23309361934661865
unit,0.10349489003419876,0.16887609660625458,0.24230392277240753,0.10131734609603882,0.19952000677585602,0.06490898877382278,0.26649972796440125,0.10757963359355927,0.21935637295246124,-0.08829060941934586,0.09069886058568954
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.19268719851970673,0.4954058527946472,0.13535729050636292,0.5696388483047485,0.18521910905838013,1.0,-0.15852214395999908,0.20430970191955566
its,0.1326070874929428,0.3518870174884796,0.559237003326416,0.14748159050941467,0.3841775357723236,0.1569967120885849,0.48690423369407654,0.19488584995269775,0.3793783485889435,-0.06254379451274872,0.15103481709957123
cable,0.14792867004871368,0.1861840933561325,0.2599749267101288,0.14165030419826508,0.26685893535614014,0.1905374974012375,0.18660153448581696,0.28921759128570557,0.17584200203418732,-0.11298784613609314,0.13993921875953674
channels,0.13797876238822937,0.11888814717531204,0.27277594804763794,0.1637505143880844,0.2887432873249054,0.1564805805683136,0.17560617625713348,0.31901150941848755,0.19040870666503906,-0.058362144976854324,0.19657258689403534
:,-0.0025186005514115095,0.002802103292196989,-0.03403344005346298,0.06387075036764145,-0.04625999182462692,0.03631289303302765,-0.08807745575904846,-0.061742328107357025,0.020521078258752823,-0.08990692347288132,-0.07156077772378922
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.16381487250328064,0.16453155875205994,0.17861904203891754,0.14607268571853638,0.37895750999450684,0.1697147786617279,-0.03166643902659416,0.19065172970294952
saturday,0.1797115057706833,0.2761712670326233,0.2665596902370453,0.1952299177646637,0.20708025991916656,0.19439995288848877,0.1426050215959549,0.22260957956314087,0.22404831647872925,-0.007158075924962759,0.18917468190193176
mornings,0.11366825550794601,0.2150433361530304,0.2139310985803604,0.0984409898519516,0.2451060712337494,0.18235370516777039,0.15216784179210663,0.2696659564971924,0.23850610852241516,-0.032057683914899826,0.17886678874492645
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.10921347886323929,0.5477725267410278,0.1505270153284073,0.41827285289764404,0.2006005197763443,0.4080928862094879,-0.060713861137628555,0.2433311939239502
disney,0.21692340075969696,0.22590678930282593,0.24980762600898743,0.13901935517787933,0.23352548480033875,0.2574164569377899,0.19926400482654572,1.0,0.18521910905838013,0.07512518018484116,0.22150784730911255
channels,0.13797876238822937,0.11888814717531204,0.27277594804763794,0.1637505143880844,0.2887432873249054,0.1564805805683136,0.17560617625713348,0.31901150941848755,0.19040870666503906,-0.058362144976854324,0.19657258689403534
