,what,process,do,moderate,and,reformist,islamists,work,within,the,boundaries,of,?
moderate,0.21703524887561798,0.22581136226654053,0.19455863535404205,0.9999998807907104,0.2701476216316223,0.3219093382358551,0.3029426038265228,0.1267983466386795,0.23006892204284668,0.20949949324131012,0.1461641937494278,0.22534674406051636,0.14408792555332184
and,0.31309178471565247,0.20204883813858032,0.276123583316803,0.2701476216316223,1.0,0.27251002192497253,0.24194714426994324,0.37551814317703247,0.35049548745155334,0.5171257257461548,0.2913758158683777,0.5116966962814331,0.20544172823429108
reformist,0.13760991394519806,0.19608700275421143,0.09999774396419525,0.3219093382358551,0.27251002192497253,1.0,0.440001517534256,0.19084830582141876,0.23188984394073486,0.24741338193416595,0.29932984709739685,0.26933014392852783,0.11901694536209106
islamists,0.26342982053756714,0.211191788315773,0.26649510860443115,0.3029426038265228,0.24194714426994324,0.440001517534256,1.0000001192092896,0.1456458866596222,0.2018163502216339,0.2982981204986572,0.2237086147069931,0.22912132740020752,0.17165705561637878
who,0.40942975878715515,0.22606876492500305,0.2662210166454315,0.16883650422096252,0.41279885172843933,0.29998114705085754,0.3102952241897583,0.3146236836910248,0.18261831998825073,0.3733934462070465,0.127014622092247,0.2827862501144409,0.26220351457595825
accept,0.40259191393852234,0.2416648268699646,0.3259050250053406,0.24487844109535217,0.25251030921936035,0.3091546893119812,0.27385464310646057,0.27691271901130676,0.1801011562347412,0.22203093767166138,0.15918172895908356,0.2346213310956955,0.2590680420398712
and,0.31309178471565247,0.20204883813858032,0.276123583316803,0.2701476216316223,1.0,0.27251002192497253,0.24194714426994324,0.37551814317703247,0.35049548745155334,0.5171257257461548,0.2913758158683777,0.5116966962814331,0.20544172823429108
work,0.3762225806713104,0.3338690996170044,0.3533625304698944,0.1267983466386795,0.37551814317703247,0.19084830582141876,0.1456458866596222,1.0,0.1872113049030304,0.2704800069332123,0.20899981260299683,0.23473061621189117,0.2621155381202698
within,0.2498195916414261,0.23981508612632751,0.21291908621788025,0.23006892204284668,0.35049548745155334,0.23188984394073486,0.2018163502216339,0.1872113049030304,1.0,0.39827480912208557,0.4119894504547119,0.39594778418540955,0.1870293766260147
the,0.42745697498321533,0.264274537563324,0.30239659547805786,0.20949949324131012,0.5171257257461548,0.24741338193416595,0.2982981204986572,0.2704800069332123,0.39827480912208557,1.0,0.34339386224746704,0.733189046382904,0.22068053483963013
democratic,0.1858556717634201,0.18693757057189941,0.1549958437681198,0.33833494782447815,0.20003819465637207,0.45029550790786743,0.2867084741592407,0.10005228966474533,0.19605706632137299,0.21570740640163422,0.26779913902282715,0.2273487150669098,0.1668088138103485
process,0.3466717302799225,0.9999998807907104,0.25918635725975037,0.22581136226654053,0.20204883813858032,0.19608700275421143,0.211191788315773,0.3338690996170044,0.23981508612632751,0.264274537563324,0.18489128351211548,0.23962904512882233,0.2460896074771881
include,0.1535889357328415,0.060100194066762924,0.27681633830070496,0.10271699726581573,0.3915219306945801,0.08893945813179016,0.16536034643650055,0.214955672621727,0.2677943706512451,0.2951717972755432,0.19369667768478394,0.37431180477142334,0.14925788342952728
parties,0.21181418001651764,0.20097793638706207,0.17614218592643738,0.27977558970451355,0.28593164682388306,0.3674664795398712,0.41085079312324524,0.1362045854330063,0.15095683932304382,0.2535073459148407,0.27826419472694397,0.2394237220287323,0.16949701309204102
like,0.4320242702960968,0.22723829746246338,0.4615015685558319,0.24035599827766418,0.46997135877609253,0.12794917821884155,0.19481322169303894,0.2711057960987091,0.20170725882053375,0.32912567257881165,0.12429270893335342,0.3244853615760803,0.3268813192844391
the,0.42745697498321533,0.264274537563324,0.30239659547805786,0.20949949324131012,0.5171257257461548,0.24741338193416595,0.2982981204986572,0.2704800069332123,0.39827480912208557,1.0,0.34339386224746704,0.733189046382904,0.22068053483963013
tunisian,0.16031129658222198,0.060847207903862,0.08709055930376053,0.21751347184181213,0.22882400453090668,0.2434287667274475,0.4338972270488739,0.12854883074760437,0.03254484012722969,0.16355755925178528,0.04753263667225838,0.13508570194244385,0.14536575973033905
ennahda,0.34930264949798584,0.1407538503408432,0.2718450129032135,0.12259700894355774,0.3293245732784271,0.19155021011829376,0.3447988033294678,0.23645147681236267,0.19272886216640472,0.2805410623550415,0.22692325711250305,0.27059972286224365,0.36475202441215515
movement,0.23934946954250336,0.2334122657775879,0.14219339191913605,0.32347652316093445,0.2837696671485901,0.41054269671440125,0.3753381371498108,0.26338663697242737,0.20748914778232574,0.339571475982666,0.21413516998291016,0.2662941515445709,0.1423349231481552
.,0.3567904531955719,0.23766504228115082,0.3613996207714081,0.3040149509906769,0.588965117931366,0.2506169080734253,0.22075964510440826,0.33121398091316223,0.2984525263309479,0.5934505462646484,0.22948695719242096,0.5352458953857422,0.4130953550338745
