,for,whom,was,the,small,catechism,meant,?
in,0.4322226941585541,0.20012985169887543,0.45514053106307983,0.6662389636039734,0.3722202181816101,0.21601755917072296,0.25344955921173096,0.20430970191955566
1529,0.12755540013313293,0.11008349806070328,0.3086448013782501,0.17264190316200256,-0.012232519686222076,0.12433405220508575,0.07269543409347534,0.17319193482398987
",",0.4464869201183319,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.3083299398422241,0.24122951924800873,0.2770281732082367,0.31091248989105225
he,0.4540175199508667,0.3327956199645996,0.5410010814666748,0.4571082592010498,0.20540137588977814,0.15769653022289276,0.2589528560638428,0.2089974731206894
wrote,0.3117217421531677,0.22136400640010834,0.40092042088508606,0.2426944375038147,0.170358344912529,0.28584668040275574,0.283522367477417,0.19322504103183746
the,0.4739971458911896,0.23752936720848083,0.48711544275283813,1.0,0.39655908942222595,0.23989783227443695,0.34852901101112366,0.22068053483963013
large,0.22967137396335602,0.13505972921848297,0.21717436611652374,0.3828733265399933,0.7174716591835022,0.1455680876970291,0.280170738697052,0.1355665624141693
catechism,0.14362718164920807,0.24065236747264862,0.21933825314044952,0.23989783227443695,0.1314304769039154,0.9999998807907104,0.2493789941072464,0.25135189294815063
",",0.4464869201183319,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.3083299398422241,0.24122951924800873,0.2770281732082367,0.31091248989105225
a,0.44038116931915283,0.21455949544906616,0.4508470594882965,0.5829201340675354,0.41262131929397583,0.1963084191083908,0.3386867940425873,0.23916715383529663
manual,0.2320803701877594,0.048241596668958664,0.07942535728216171,0.17641127109527588,0.19021666049957275,0.26480233669281006,0.2410743087530136,0.2593449652194977
for,0.9999999403953552,0.24361787736415863,0.3863949179649353,0.4739971458911896,0.20376276969909668,0.14362718164920807,0.375589519739151,0.264628142118454
pastors,0.21625728905200958,0.26980406045913696,0.23307035863399506,0.1971966028213501,0.15360204875469208,0.29629746079444885,0.12119060009717941,0.17702129483222961
and,0.5064792633056641,0.3148667514324188,0.3740963041782379,0.5171257257461548,0.35207539796829224,0.19267821311950684,0.3015248775482178,0.20544172823429108
teachers,0.274332195520401,0.2711348235607147,0.18821726739406586,0.22025763988494873,0.17088475823402405,0.2450447827577591,0.14905717968940735,0.19522249698638916
",",0.4464869201183319,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.3083299398422241,0.24122951924800873,0.2770281732082367,0.31091248989105225
as,0.44774648547172546,0.31695985794067383,0.3677520453929901,0.48381632566452026,0.2644537687301636,0.2166789472103119,0.3081777095794678,0.27043893933296204
well,0.46352139115333557,0.2689387798309326,0.3130364418029785,0.42630070447921753,0.33332574367523193,0.1581500917673111,0.30249693989753723,0.24815571308135986
as,0.44774648547172546,0.31695985794067383,0.3677520453929901,0.48381632566452026,0.2644537687301636,0.2166789472103119,0.3081777095794678,0.27043893933296204
a,0.44038116931915283,0.21455949544906616,0.4508470594882965,0.5829201340675354,0.41262131929397583,0.1963084191083908,0.3386867940425873,0.23916715383529663
synopsis,0.18241144716739655,0.03510031849145889,0.10033941268920898,0.21179591119289398,0.19457420706748962,0.3497752249240875,0.10415944457054138,0.25646844506263733
",",0.4464869201183319,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.3083299398422241,0.24122951924800873,0.2770281732082367,0.31091248989105225
the,0.4739971458911896,0.23752936720848083,0.48711544275283813,1.0,0.39655908942222595,0.23989783227443695,0.34852901101112366,0.22068053483963013
small,0.20376276969909668,0.12471918761730194,0.16572418808937073,0.39655908942222595,1.0,0.1314304769039154,0.2418985664844513,0.13914890587329865
catechism,0.14362718164920807,0.24065236747264862,0.21933825314044952,0.23989783227443695,0.1314304769039154,0.9999998807907104,0.2493789941072464,0.25135189294815063
",",0.4464869201183319,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.3083299398422241,0.24122951924800873,0.2770281732082367,0.31091248989105225
to,0.4451248347759247,0.3108522593975067,0.3636345863342285,0.535392165184021,0.3054737150669098,0.1810305118560791,0.38652777671813965,0.29463258385658264
be,0.3801851272583008,0.21567033231258392,0.42228707671165466,0.4248143136501312,0.2888108789920807,0.15582312643527985,0.39838457107543945,0.3324260413646698
memorised,0.24309267103672028,0.2918160557746887,0.2104194313287735,0.2894894778728485,0.15207700431346893,0.1539127379655838,0.3096534013748169,0.15994299948215485
by,0.3248702883720398,0.28481900691986084,0.4752357602119446,0.4408751428127289,0.19286847114562988,0.18735504150390625,0.25393667817115784,0.17966607213020325
the,0.4739971458911896,0.23752936720848083,0.48711544275283813,1.0,0.39655908942222595,0.23989783227443695,0.34852901101112366,0.22068053483963013
people,0.24900002777576447,0.22432920336723328,0.2518421411514282,0.36838498711586,0.28339672088623047,0.1761261522769928,0.29587429761886597,0.23739641904830933
themselves,0.2530568838119507,0.2651185691356659,0.1582118272781372,0.3444426357746124,0.2876181900501251,0.19605743885040283,0.32191118597984314,0.20170879364013672
.,0.4726039469242096,0.26115289330482483,0.40146201848983765,0.5934505462646484,0.3130834400653839,0.22610440850257874,0.26877450942993164,0.4130953550338745
