,what,building,is,the,most,interesting,of,the,late,19th-century,architecture,?
despite,0.1825345903635025,0.14165590703487396,0.2399684339761734,0.3172689974308014,0.304436057806015,0.2181708663702011,0.33505672216415405,0.3172689974308014,0.259707510471344,0.19919778406620026,0.11099414527416229,0.14350546896457672
that,0.6297725439071655,0.2585349678993225,0.3995479643344879,0.5473989248275757,0.4497850239276886,0.4606862962245941,0.41498205065727234,0.5473989248275757,0.2700948715209961,0.2585218846797943,0.21658357977867126,0.32716336846351624
the,0.42745697498321533,0.3159640431404114,0.5823672413825989,1.0,0.47635307908058167,0.28684279322624207,0.733189046382904,1.0,0.31481194496154785,0.33067989349365234,0.24488379061222076,0.22068053483963013
warsaw,0.10373849421739578,0.17944054305553436,0.09741193056106567,0.23137180507183075,0.06817606836557388,0.15884779393672943,0.19253842532634735,0.23137180507183075,0.1162489652633667,0.1916234791278839,0.1518496423959732,0.09769917279481888
university,0.20256435871124268,0.22593633830547333,0.20346471667289734,0.263973206281662,0.19178320467472076,0.1405142992734909,0.30646374821662903,0.263973206281662,0.09552349150180817,0.1988346129655838,0.2614472210407257,0.11887256056070328
of,0.33290785551071167,0.26200541853904724,0.4854315221309662,0.733189046382904,0.4178851246833801,0.27691543102264404,1.0,0.733189046382904,0.21690747141838074,0.2698702812194824,0.2756515443325043,0.1826142966747284
technology,0.1940862536430359,0.2376898229122162,0.20767556130886078,0.21669498085975647,0.213637113571167,0.2188740074634552,0.25238582491874695,0.21669498085975647,0.14408475160598755,0.21691253781318665,0.3558529019355774,0.11564995348453522
building,0.23529528081417084,0.9999998807907104,0.20087163150310516,0.3159640431404114,0.1664457619190216,0.2003973126411438,0.26200541853904724,0.3159640431404114,0.20268011093139648,0.23347605764865875,0.4623510539531708,0.13549931347370148
(,0.2411840260028839,0.17772680521011353,0.35393038392066956,0.33289089798927307,0.20654040575027466,0.14383012056350708,0.35032153129577637,0.33289089798927307,0.20660807192325592,0.15875187516212463,0.15788985788822174,0.40561532974243164
1899–1902,0.09833540767431259,0.05396873503923416,0.15808846056461334,0.13446897268295288,0.21783050894737244,0.3559710383415222,0.15515771508216858,0.13446897268295288,0.030012860894203186,0.21155238151550293,0.18222275376319885,0.07216349989175797
),0.26259949803352356,0.1678667515516281,0.37732169032096863,0.3456730246543884,0.23620007932186127,0.1623568832874298,0.3680361211299896,0.3456730246543884,0.2267116904258728,0.1477140635251999,0.1656959503889084,0.42300865054130554
is,0.28837618231773376,0.20087163150310516,1.0,0.5823672413825989,0.41165053844451904,0.275212824344635,0.4854315221309662,0.5823672413825989,0.20186106860637665,0.20103871822357178,0.19717231392860413,0.22961433231830597
the,0.42745697498321533,0.3159640431404114,0.5823672413825989,1.0,0.47635307908058167,0.28684279322624207,0.733189046382904,1.0,0.31481194496154785,0.33067989349365234,0.24488379061222076,0.22068053483963013
most,0.3219912350177765,0.1664457619190216,0.41165053844451904,0.47635307908058167,1.0,0.36986467242240906,0.4178851246833801,0.47635307908058167,0.28233441710472107,0.34446680545806885,0.23562611639499664,0.2107497900724411
interesting,0.4084731340408325,0.2003973126411438,0.275212824344635,0.28684279322624207,0.36986467242240906,1.0,0.27691543102264404,0.28684279322624207,0.19574744999408722,0.23285534977912903,0.2655516266822815,0.3378506898880005
of,0.33290785551071167,0.26200541853904724,0.4854315221309662,0.733189046382904,0.4178851246833801,0.27691543102264404,1.0,0.733189046382904,0.21690747141838074,0.2698702812194824,0.2756515443325043,0.1826142966747284
the,0.42745697498321533,0.3159640431404114,0.5823672413825989,1.0,0.47635307908058167,0.28684279322624207,0.733189046382904,1.0,0.31481194496154785,0.33067989349365234,0.24488379061222076,0.22068053483963013
late,0.1576872020959854,0.20268011093139648,0.20186106860637665,0.31481194496154785,0.28233441710472107,0.19574744999408722,0.21690747141838074,0.31481194496154785,1.0,0.41743239760398865,0.2386024296283722,0.11339222639799118
19th-century,0.22180381417274475,0.23347605764865875,0.20103871822357178,0.33067989349365234,0.34446680545806885,0.23285534977912903,0.2698702812194824,0.33067989349365234,0.41743239760398865,0.9999999403953552,0.2710185945034027,0.09364749491214752
architecture,0.23286667466163635,0.4623510539531708,0.19717231392860413,0.24488379061222076,0.23562611639499664,0.2655516266822815,0.2756515443325043,0.24488379061222076,0.2386024296283722,0.2710185945034027,1.0,0.14343059062957764
.,0.3567904531955719,0.275610089302063,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.33105719089508057,0.5352458953857422,0.5934505462646484,0.3287466764450073,0.2650764584541321,0.21623484790325165,0.4130953550338745
