,how,does,the,level,of,tuition,in,german,private,schools,compare,to,private,schools,in,other,western,european,countries,?
therefore,0.4215601980686188,0.44649532437324524,0.4141571819782257,0.23252704739570618,0.4106575846672058,0.28681808710098267,0.2696720361709595,0.1617966890335083,0.16752572357654572,0.25964680314064026,0.3378782868385315,0.49267399311065674,0.16752572357654572,0.25964680314064026,0.2696720361709595,0.38610950112342834,0.1353241205215454,0.19489547610282898,0.25914618372917175,0.3325358033180237
",",0.22659391164779663,0.28617382049560547,0.4933079481124878,0.23317520320415497,0.4946078956127167,0.2515327036380768,0.5201468467712402,0.2478695809841156,0.1899166703224182,0.2760516405105591,0.22873489558696747,0.44245919585227966,0.1899166703224182,0.2760516405105591,0.5201468467712402,0.4446498453617096,0.27542921900749207,0.19684812426567078,0.2966555655002594,0.31091248989105225
most,0.311336874961853,0.30044323205947876,0.47635307908058167,0.16153503954410553,0.4178851246833801,0.2268403321504593,0.41416558623313904,0.20125962793827057,0.20440927147865295,0.19526082277297974,0.2631112039089203,0.321603000164032,0.20440927147865295,0.19526082277297974,0.41416558623313904,0.4585079252719879,0.25641313195228577,0.21084468066692352,0.33387476205825806,0.2107497900724411
ersatzschulen,0.29651790857315063,0.23233996331691742,0.29097533226013184,0.2015896886587143,0.2577490508556366,0.26442012190818787,0.2772939205169678,0.5483824014663696,0.22905614972114563,0.2625099718570709,0.26187196373939514,0.25346308946609497,0.22905614972114563,0.2625099718570709,0.2772939205169678,0.24633267521858215,0.2181880921125412,0.2708442509174347,0.2415636032819748,0.3047671318054199
have,0.4370637536048889,0.3709583580493927,0.40389683842658997,0.28482067584991455,0.3802283704280853,0.2730215787887573,0.36843645572662354,0.1590939462184906,0.1496797353029251,0.26828762888908386,0.3803609013557434,0.4544740617275238,0.1496797353029251,0.26828762888908386,0.36843645572662354,0.559082567691803,0.21198882162570953,0.19048169255256653,0.3603367507457733,0.32991164922714233
very,0.4865594804286957,0.3347555100917816,0.34171217679977417,0.18676744401454926,0.34437474608421326,0.2323182374238968,0.3209688663482666,0.16931571066379547,0.13485801219940186,0.18016396462917328,0.28484681248664856,0.3902553617954254,0.13485801219940186,0.18016396462917328,0.3209688663482666,0.37820929288864136,0.12892098724842072,0.16671258211135864,0.2635948657989502,0.20864155888557434
low,0.24991987645626068,0.22342078387737274,0.2544175982475281,0.3417852222919464,0.27171993255615234,0.23264700174331665,0.21458278596401215,0.18454255163669586,0.16192907094955444,0.16106003522872925,0.1750287115573883,0.2700593173503876,0.16192907094955444,0.16106003522872925,0.21458278596401215,0.23681192100048065,0.19953541457653046,0.18972453474998474,0.23098024725914001,0.10658930987119675
tuition,0.22990037500858307,0.23281142115592957,0.22994613647460938,0.3177374005317688,0.28940895199775696,1.0000001192092896,0.24434132874011993,0.1425403654575348,0.3631826937198639,0.4599091112613678,0.27423974871635437,0.28630971908569336,0.3631826937198639,0.4599091112613678,0.24434132874011993,0.27773067355155945,0.14761734008789062,0.19703331589698792,0.31804943084716797,0.2023361474275589
fees,0.20977488160133362,0.23975932598114014,0.22297759354114532,0.23260118067264557,0.15170428156852722,0.6226863265037537,0.17004510760307312,0.14884528517723083,0.3508143424987793,0.38298195600509644,0.2719705402851105,0.27193203568458557,0.3508143424987793,0.38298195600509644,0.17004510760307312,0.24818384647369385,0.10010956227779388,0.22636324167251587,0.35720589756965637,0.18385712802410126
and/or,0.3250136077404022,0.32570740580558777,0.27840298414230347,0.25828975439071655,0.2572663724422455,0.241966113448143,0.1723054200410843,0.15835623443126678,0.1677350401878357,0.19595247507095337,0.26085081696510315,0.32471010088920593,0.1677350401878357,0.19595247507095337,0.1723054200410843,0.33425700664520264,0.030494386330246925,0.16216447949409485,0.240817591547966,0.24081800878047943
