,why,is,the,node,requiered,to,look,up
acceptable,0.38018953800201416,0.23144420981407166,0.22724668681621552,0.21774208545684814,0.330533504486084,0.3074498772621155,0.3119443356990814,0.22133378684520721
values,0.24030326306819916,0.22639602422714233,0.23992402851581573,0.3064793050289154,0.1823655217885971,0.2971996068954468,0.2018285095691681,0.21652624011039734
for,0.3869043290615082,0.43268078565597534,0.4739971458911896,0.0723048746585846,0.27786222100257874,0.4451248347759247,0.2501380443572998,0.342966228723526
service,0.15537907183170319,0.15705204010009766,0.22661015391349792,0.1624012291431427,0.23680393397808075,0.24411341547966003,0.17165754735469818,0.1364591270685196
parameters,0.23846998810768127,0.24490474164485931,0.256218284368515,0.3008173108100891,0.1939304769039154,0.20509178936481476,0.1940351277589798,0.22840791940689087
may,0.25454580783843994,0.322792649269104,0.2694292366504669,0.10903636366128922,0.20400746166706085,0.391582727432251,0.26629209518432617,0.2067306935787201
be,0.4042811989784241,0.4819129705429077,0.4248143136501312,0.22959579527378082,0.31166043877601624,0.4972836375236511,0.40298551321029663,0.27963516116142273
negotiated,0.15665778517723083,0.11444543302059174,0.2594250440597534,0.11211700737476349,0.24883271753787994,0.2966291010379791,0.014311105944216251,0.15763063728809357
.,0.32909876108169556,0.4569662809371948,0.5934505462646484,0.1839085817337036,0.27678021788597107,0.4645031690597534,0.3426704406738281,0.351434588432312
,why,is,the,node,requiered,to,look,up
routing,0.23558096587657928,0.18921449780464172,0.2927027940750122,0.22684098780155182,0.21484318375587463,0.28919777274131775,0.22782525420188904,0.2982061207294464
a,0.2667238116264343,0.658733606338501,0.5829201340675354,0.24396368861198425,0.2981078624725342,0.45503583550453186,0.23710425198078156,0.32523053884506226
packet,0.17345835268497467,0.21452254056930542,0.18130622804164886,0.2892623543739319,0.19557271897792816,0.271213173866272,0.22901016473770142,0.2537858486175537
requires,0.2958528399467468,0.3339230418205261,0.2693159878253937,0.2659538984298706,0.42904937267303467,0.2967781126499176,0.25889357924461365,0.1975197046995163
the,0.30742117762565613,0.5823672413825989,1.0,0.21695494651794434,0.3097134828567505,0.535392165184021,0.2806221544742584,0.38423117995262146
node,0.12176991254091263,0.2219354510307312,0.21695494651794434,1.0,0.17467129230499268,0.18871638178825378,0.15348510444164276,0.09450601786375046
to,0.4100138247013092,0.42745086550712585,0.535392165184021,0.18871638178825378,0.23330621421337128,1.0,0.3370966613292694,0.40375280380249023
look,0.3630121350288391,0.19945533573627472,0.2806221544742584,0.15348510444164276,0.20778025686740875,0.3370966613292694,0.9999999403953552,0.3311653435230255
up,0.25619128346443176,0.2853454053401947,0.38423117995262146,0.09450601786375046,0.20747119188308716,0.40375280380249023,0.3311653435230255,1.0000001192092896
the,0.30742117762565613,0.5823672413825989,1.0,0.21695494651794434,0.3097134828567505,0.535392165184021,0.2806221544742584,0.38423117995262146
connection,0.24053609371185303,0.2946256697177887,0.29966840147972107,0.38629379868507385,0.18939484655857086,0.31829091906547546,0.19349820911884308,0.19311971962451935
id,0.1903514713048935,0.18440809845924377,0.18612393736839294,0.2730743885040283,0.14459529519081116,0.16226576268672943,0.15876446664333344,0.12738841772079468
in,0.23227278888225555,0.5394441485404968,0.6662389636039734,0.08876706659793854,0.27909591794013977,0.45010748505592346,0.16591975092887878,0.3120773434638977
a,0.2667238116264343,0.658733606338501,0.5829201340675354,0.24396368861198425,0.2981078624725342,0.45503583550453186,0.23710425198078156,0.32523053884506226
table,0.18385791778564453,0.2049751877784729,0.22716619074344635,0.2267588973045349,0.13903503119945526,0.1819842904806137,0.18727822601795197,0.22109095752239227
.,0.32909876108169556,0.4569662809371948,0.5934505462646484,0.1839085817337036,0.27678021788597107,0.4645031690597534,0.3426704406738281,0.351434588432312
