,what,is,the,name,of,the,old,north,branch,of,the,rhine,?
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.40150508284568787,0.26649054884910583,0.3180590271949768,0.2018059939146042,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.19969791173934937
wijk,0.09544714540243149,0.13056880235671997,0.1787835955619812,0.14134083688259125,0.18690216541290283,0.1787835955619812,0.19236332178115845,0.2666233479976654,0.16976550221443176,0.18690216541290283,0.1787835955619812,0.47203636169433594,0.15687686204910278
bij,0.16130058467388153,0.19445134699344635,0.1396031379699707,0.22644013166427612,0.13612857460975647,0.1396031379699707,0.15087828040122986,0.20648787915706635,0.22939205169677734,0.13612857460975647,0.1396031379699707,0.27695488929748535,0.18858683109283447
duurstede,0.134284108877182,0.17515909671783447,0.19626659154891968,0.1457720696926117,0.20405352115631104,0.19626659154891968,0.17810267210006714,0.2756999433040619,0.14282718300819397,0.20405352115631104,0.19626659154891968,0.4151337444782257,0.18678875267505646
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.26524028182029724,0.31834840774536133,0.2610839307308197,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.31849798560142517,0.36298373341560364,0.2630956768989563,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
old,0.22117848694324493,0.24332627654075623,0.31849798560142517,0.23472236096858978,0.30522194504737854,0.31849798560142517,1.0000001192092896,0.17959938943386078,0.1266411989927292,0.30522194504737854,0.31849798560142517,0.18212221562862396,0.20577076077461243
north,0.18673177063465118,0.2993389368057251,0.36298373341560364,0.18302021920681,0.3604778051376343,0.36298373341560364,0.17959938943386078,1.0,0.2029252052307129,0.3604778051376343,0.36298373341560364,0.3832572400569916,0.11829731613397598
branch,0.1792319416999817,0.17662303149700165,0.2630956768989563,0.10480526834726334,0.23972897231578827,0.2630956768989563,0.1266411989927292,0.2029252052307129,1.0,0.23972897231578827,0.2630956768989563,0.2070019692182541,0.10474635660648346
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.30522194504737854,0.3604778051376343,0.23972897231578827,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.31849798560142517,0.36298373341560364,0.2630956768989563,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
