,what,was,a,plugs-out,test,done,to,simulate,on,the,lc-34,?
a,0.3320399522781372,0.4508470594882965,1.0,0.3740852177143097,0.2521366477012634,0.2800007462501526,0.45503583550453186,0.29236215353012085,0.3848365545272827,0.5829201340675354,0.17674019932746887,0.23916715383529663
``,0.008517155423760414,-0.012679691426455975,0.07272057235240936,-0.013922053389251232,0.02568148449063301,0.045302920043468475,0.06720756739377975,-0.06327371299266815,-0.03274054825305939,0.029072100296616554,0.19743698835372925,0.0685480609536171
plugs-out,0.3430096209049225,0.22145622968673706,0.3740852177143097,1.0,0.33323168754577637,0.3253589868545532,0.3517318069934845,0.40118879079818726,0.32146087288856506,0.3300256133079529,0.2402367740869522,0.3156822621822357
'',0.08143015950918198,0.04456103965640068,0.04890415817499161,-0.02776794321835041,0.012245665304362774,0.006338078062981367,-0.009905828163027763,0.01330602541565895,0.04238596186041832,0.041273195296525955,0.11068803071975708,0.018684765323996544
test,0.2596650719642639,0.13941486179828644,0.2521366477012634,0.33323168754577637,1.0000001192092896,0.3041326403617859,0.23725658655166626,0.24414066970348358,0.22242271900177002,0.19235259294509888,0.17786447703838348,0.19832737743854523
was,0.22111038863658905,1.0000001192092896,0.4508470594882965,0.22145622968673706,0.13941486179828644,0.23778371512889862,0.3636345863342285,0.16585394740104675,0.3909217119216919,0.48711544275283813,0.2515448033809662,0.18412111699581146
planned,0.21141068637371063,0.3590250015258789,0.23569394648075104,0.24835819005966187,0.20440559089183807,0.34048739075660706,0.309917151927948,0.2751350998878479,0.25307971239089966,0.3010992109775543,0.19365036487579346,0.16188396513462067
for,0.3017193675041199,0.3863949179649353,0.44038116931915283,0.34023532271385193,0.2297848016023636,0.3495391309261322,0.4451248347759247,0.24852363765239716,0.36199691891670227,0.4739971458911896,0.15084625780582428,0.264628142118454
january,0.19257698953151703,0.3933098316192627,0.24193190038204193,0.2005908340215683,0.18430320918560028,0.18008749186992645,0.20270398259162903,0.09560579806566238,0.3576357066631317,0.2467057853937149,0.18498116731643677,0.28608936071395874
",",0.3087472915649414,0.45456063747406006,0.427140474319458,0.30510684847831726,0.17614826560020447,0.32079052925109863,0.44245919585227966,0.1740875393152237,0.49057599902153015,0.4933079481124878,0.1786583513021469,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.56894451379776,0.446105033159256,0.21384328603744507,0.298350989818573,0.5345056653022766,0.36462435126304626,0.4245251417160034,0.6521818041801453,0.21037577092647552,0.25814583897590637
