,what,town,was,actually,granted,to,the,huguenots,on,arrival,?
when,0.4700249433517456,0.21859249472618103,0.37326499819755554,0.47971078753471375,0.20104466378688812,0.5423505902290344,0.5091903209686279,0.21745723485946655,0.37706470489501953,0.3118874728679657,0.22841128706932068
they,0.4431931674480438,0.16457124054431915,0.3300964832305908,0.4149894714355469,0.2001834213733673,0.5452046394348145,0.49925389885902405,0.2739465832710266,0.31295230984687805,0.26514193415641785,0.2753053903579712
arrived,0.25085949897766113,0.22865571081638336,0.363562673330307,0.2581290602684021,0.2575910687446594,0.3039925694465637,0.279670387506485,0.30840736627578735,0.23387931287288666,0.6817073822021484,0.1681029200553894
",",0.3087472915649414,0.27598801255226135,0.45456063747406006,0.34130755066871643,0.2980138957500458,0.44245919585227966,0.4933079481124878,0.23394492268562317,0.49057599902153015,0.20957639813423157,0.31091248989105225
colonial,0.15791663527488708,0.24749404191970825,0.2549057900905609,0.19678238034248352,0.20951010286808014,0.22932834923267365,0.2715741693973541,0.3678382635116577,0.09959574043750763,0.23934480547904968,0.10191229730844498
authorities,0.23251837491989136,0.1704660803079605,0.2960662841796875,0.2227586805820465,0.3347615897655487,0.29137885570526123,0.2784515917301178,0.315226286649704,0.1996127814054489,0.2932261526584625,0.17285770177841187
offered,0.1662205457687378,0.13074913620948792,0.39858749508857727,0.17162220180034637,0.4090879559516907,0.28788384795188904,0.270993173122406,0.20499640703201294,0.2585904598236084,0.24101173877716064,0.22244536876678467
them,0.4994642734527588,0.17502522468566895,0.23709723353385925,0.49237725138664246,0.22712156176567078,0.5916602611541748,0.4788833558559418,0.31168362498283386,0.30083513259887695,0.28574085235595703,0.35435691475868225
instead,0.4104403555393219,0.1701538860797882,0.23083001375198364,0.4380623996257782,0.11921892315149307,0.457004189491272,0.3940567970275879,0.1512186974287033,0.3444349467754364,0.14958928525447845,0.2942638397216797
land,0.23411516845226288,0.26335451006889343,0.23751215636730194,0.2076052725315094,0.2837437689304352,0.2885280251502991,0.28587454557418823,0.2369009107351303,0.2075873464345932,0.24631866812705994,0.1432059109210968
20,-0.036424171179533005,0.05609835311770439,-0.09198236465454102,-0.011600595898926258,0.018299654126167297,-0.018198585137724876,-0.06418957561254501,0.029548032209277153,-0.025147348642349243,0.0742088109254837,0.11360422521829605
miles,0.1893789917230606,0.383907675743103,0.1818082183599472,0.13929086923599243,0.17818701267242432,0.2342754453420639,0.25706055760383606,0.22553189098834991,0.17346006631851196,0.2277810424566269,0.09363767504692078
above,0.32341626286506653,0.1577051877975464,0.11464940011501312,0.26229429244995117,0.15463383495807648,0.30495497584342957,0.33988961577415466,0.10798001289367676,0.3177962899208069,0.14933815598487854,0.2521739900112152
the,0.42745697498321533,0.2974243760108948,0.48711544275283813,0.39964747428894043,0.27588096261024475,0.535392165184021,1.0,0.30745792388916016,0.5107308030128479,0.3051127791404724,0.22068053483963013
falls,0.1882239729166031,0.21902604401111603,0.1706530600786209,0.20934337377548218,0.10314713418483734,0.15835121273994446,0.2708098292350769,0.18261589109897614,0.2028466761112213,0.1431531459093094,0.15918700397014618
of,0.33290785551071167,0.26585668325424194,0.4069072902202606,0.3496170938014984,0.32803481817245483,0.41548454761505127,0.733189046382904,0.27577435970306396,0.3966929316520691,0.2117728888988495,0.1826142966747284
