,what,kind,of,university,is,the,california,institute,of,technology,?
amongst,0.20627230405807495,0.20396047830581665,0.29788947105407715,0.24041008949279785,0.21106897294521332,0.30752041935920715,0.1844179332256317,0.21784603595733643,0.29788947105407715,0.19304601848125458,0.16806721687316895
these,0.4164220690727234,0.30441078543663025,0.42684608697891235,0.1403891146183014,0.2498808652162552,0.49086877703666687,0.15675662457942963,0.1637376993894577,0.42684608697891235,0.19118890166282654,0.2571668326854706
include,0.1535889357328415,0.21321992576122284,0.37431180477142334,0.09942364692687988,0.28863582015037537,0.2951717972755432,0.16449452936649323,0.14161749184131622,0.37431180477142334,0.14464029669761658,0.14925788342952728
5,0.09269922226667404,0.1124374270439148,0.1043979674577713,0.07209640741348267,0.009449449367821217,0.09255307912826538,0.09138953685760498,0.09917740523815155,0.1043979674577713,0.053174298256635666,0.06222071498632431
university,0.20256435871124268,0.07493893057107925,0.30646374821662903,1.0,0.20346471667289734,0.263973206281662,0.2980538606643677,0.5763126611709595,0.30646374821662903,0.384223997592926,0.11887256056070328
of,0.33290785551071167,0.2285657674074173,1.0,0.30646374821662903,0.4854315221309662,0.733189046382904,0.24929828941822052,0.2977932393550873,1.0,0.25238582491874695,0.1826142966747284
california,0.1811584085226059,0.14210517704486847,0.24929828941822052,0.2980538606643677,0.20727038383483887,0.2750805914402008,1.0,0.27198994159698486,0.24929828941822052,0.20699074864387512,0.1409905105829239
campuses,0.09493694454431534,0.007959756068885326,0.2573612928390503,0.5903001427650452,0.20346811413764954,0.19650089740753174,0.23668748140335083,0.3933389484882355,0.2573612928390503,0.35692259669303894,0.08666198700666428
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.20313534140586853,0.35393038392066956,0.33289089798927307,0.16755922138690948,0.17226308584213257,0.35032153129577637,0.15493881702423096,0.40561532974243164
irvine,0.16735705733299255,0.11717814952135086,0.2484847754240036,0.3363587558269501,0.19597867131233215,0.24075265228748322,0.45087122917175293,0.22690872848033905,0.2484847754240036,0.15545538067817688,0.12018196284770966
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3017033040523529,0.4691906273365021,0.4933079481124878,0.2704589068889618,0.25896888971328735,0.4946078956127167,0.2817870080471039,0.31091248989105225
los,0.12322991341352463,0.06680147349834442,0.17343297600746155,0.19573059678077698,0.17008589208126068,0.2502395510673523,0.641045331954956,0.16639435291290283,0.17343297600746155,0.14112935960292816,0.15495611727237701
angeles,0.10702074319124222,0.06594812870025635,0.16643567383289337,0.21483512222766876,0.1558004766702652,0.24588194489479065,0.6717669367790222,0.20460571348667145,0.16643567383289337,0.16278484463691711,0.16139166057109833
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3017033040523529,0.4691906273365021,0.4933079481124878,0.2704589068889618,0.25896888971328735,0.4946078956127167,0.2817870080471039,0.31091248989105225
riverside,0.1112799271941185,0.12823820114135742,0.2871353030204773,0.43151989579200745,0.19612395763397217,0.27102717757225037,0.4531821310520172,0.2906637191772461,0.2871353030204773,0.12109403312206268,0.10042606294155121
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3017033040523529,0.4691906273365021,0.4933079481124878,0.2704589068889618,0.25896888971328735,0.4946078956127167,0.2817870080471039,0.31091248989105225
santa,0.23841293156147003,0.11152978241443634,0.2417823076248169,0.176166832447052,0.1796122044324875,0.23511074483394623,0.4592178761959076,0.17983019351959229,0.2417823076248169,0.15647247433662415,0.17321589589118958
barbara,0.23599056899547577,0.13383950293064117,0.17332223057746887,0.20893439650535583,0.15243640542030334,0.17965389788150787,0.41829583048820496,0.23831194639205933,0.17332223057746887,0.1607024073600769,0.15980994701385498
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3017033040523529,0.4691906273365021,0.4933079481124878,0.2704589068889618,0.25896888971328735,0.4946078956127167,0.2817870080471039,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2665814459323883,0.3859752118587494,0.5171257257461548,0.2441616654396057,0.24076776206493378,0.5116966962814331,0.2333960235118866,0.20544172823429108
san,0.19375550746917725,0.0681106299161911,0.25237205624580383,0.235455721616745,0.1594623327255249,0.2858080565929413,0.5170050263404846,0.18130211532115936,0.25237205624580383,0.16823601722717285,0.10952327400445938
diego,0.16958405077457428,0.11045236140489578,0.1941702961921692,0.19632387161254883,0.1608497053384781,0.20885010063648224,0.5714370608329773,0.188791885972023,0.1941702961921692,0.13060222566127777,0.11438121646642685
),0.26259949803352356,0.17504733800888062,0.3680361211299896,0.20796938240528107,0.37732169032096863,0.3456730246543884,0.19286775588989258,0.18211983144283295,0.3680361211299896,0.16959454119205475,0.42300865054130554
;,0.10986888408660889,0.024945750832557678,0.054534342139959335,-0.012021088972687721,0.05324986204504967,0.09152708947658539,0.08404627442359924,0.0035214528907090425,0.054534342139959335,0.02251608669757843,0.10349778085947037
12,0.1696145385503769,0.22303983569145203,0.2886716425418854,-0.017764680087566376,0.33493560552597046,0.28907760977745056,0.013599052093923092,-0.10411082953214645,0.2886716425418854,-0.0334392748773098,0.10021790862083435
california,0.1811584085226059,0.14210517704486847,0.24929828941822052,0.2980538606643677,0.20727038383483887,0.2750805914402008,1.0,0.27198994159698486,0.24929828941822052,0.20699074864387512,0.1409905105829239
state,0.24273863434791565,0.16659919917583466,0.34253445267677307,0.3891100585460663,0.2627358138561249,0.3097178041934967,0.3314559757709503,0.2645721435546875,0.34253445267677307,0.22469481825828552,0.1160883978009224
university,0.20256435871124268,0.07493893057107925,0.30646374821662903,1.0,0.20346471667289734,0.263973206281662,0.2980538606643677,0.5763126611709595,0.30646374821662903,0.384223997592926,0.11887256056070328
campuses,0.09493694454431534,0.007959756068885326,0.2573612928390503,0.5903001427650452,0.20346811413764954,0.19650089740753174,0.23668748140335083,0.3933389484882355,0.2573612928390503,0.35692259669303894,0.08666198700666428
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.20313534140586853,0.35393038392066956,0.33289089798927307,0.16755922138690948,0.17226308584213257,0.35032153129577637,0.15493881702423096,0.40561532974243164
bakersfield,0.1487322598695755,0.09048570692539215,0.2373267412185669,0.3373892903327942,0.19348205626010895,0.25596779584884644,0.4580737054347992,0.20744633674621582,0.2373267412185669,0.17677035927772522,0.14907705783843994
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3017033040523529,0.4691906273365021,0.4933079481124878,0.2704589068889618,0.25896888971328735,0.4946078956127167,0.2817870080471039,0.31091248989105225
