,who,has,the,islamic,liberation,party,attempted,to,assassinate,?
other,0.3612329661846161,0.3162766396999359,0.44152235984802246,0.1833248734474182,0.17914828658103943,0.16512663662433624,0.16377799212932587,0.4193183183670044,0.0838785395026207,0.24682199954986572
lesser,0.13477520644664764,0.15718430280685425,0.27918535470962524,0.18249155580997467,0.1262015402317047,0.05628814920783043,0.1774030178785324,0.20995968580245972,0.13492795825004578,0.17708076536655426
known,0.24757125973701477,0.2451976239681244,0.3624623417854309,0.14582102000713348,0.1641090363264084,0.11751952767372131,0.14338845014572144,0.14337651431560516,0.10706128925085068,0.18314571678638458
groups,0.25027307868003845,0.21874025464057922,0.27790749073028564,0.19505317509174347,0.23581275343894958,0.246140718460083,0.13851425051689148,0.24181967973709106,0.10704738646745682,0.14349548518657684
include,0.15078489482402802,0.2623153328895569,0.2951717972755432,0.12207984924316406,0.07970370352268219,0.12390594929456711,0.09364664554595947,0.1820748895406723,0.08116837590932846,0.14925788342952728
the,0.3733934462070465,0.4177538752555847,1.0,0.27231070399284363,0.3369840681552887,0.23779736459255219,0.2688039243221283,0.535392165184021,0.15595418214797974,0.22068053483963013
islamic,0.20530520379543304,0.14078153669834137,0.27231070399284363,0.9999999403953552,0.34596604108810425,0.265333354473114,0.19994284212589264,0.1969100832939148,0.24437011778354645,0.1692383587360382
liberation,0.2430754452943802,0.1460757702589035,0.3369840681552887,0.34596604108810425,0.9999998807907104,0.4051911532878876,0.1964583545923233,0.24375462532043457,0.2828506827354431,0.14679493010044098
party,0.2427869290113449,0.18555130064487457,0.23779736459255219,0.265333354473114,0.4051911532878876,0.9999999403953552,0.21138577163219452,0.1893671154975891,0.3206760883331299,0.19031576812267303
",",0.3365725874900818,0.3734780251979828,0.4933079481124878,0.20175659656524658,0.26558172702789307,0.21963930130004883,0.24146170914173126,0.44245919585227966,0.20502597093582153,0.31091248989105225
salvation,0.3019530177116394,0.13872656226158142,0.30236515402793884,0.3263483941555023,0.44928494095802307,0.27705079317092896,0.19039462506771088,0.2701711356639862,0.2528306245803833,0.2133665680885315
from,0.27839982509613037,0.2621968984603882,0.40150508284568787,0.17753800749778748,0.20124192535877228,0.2064429521560669,0.1930176019668579,0.4069952368736267,0.1286601573228836,0.19969791173934937
hell,0.21564818918704987,0.08210181444883347,0.20403626561164856,0.14966091513633728,0.1882045716047287,0.0822756364941597,0.12014403939247131,0.21763044595718384,0.1274222880601883,0.26004594564437866
and,0.41279885172843933,0.43716782331466675,0.5171257257461548,0.2192772477865219,0.281952828168869,0.20650289952754974,0.25629109144210815,0.48971283435821533,0.13436099886894226,0.20544172823429108
takfir,0.2652708888053894,0.19596350193023682,0.3128744661808014,0.4668531119823456,0.3688657879829407,0.21164275705814362,0.1684872806072235,0.23446086049079895,0.32005542516708374,0.2405908852815628
wal-hijra,0.2990170419216156,0.17330345511436462,0.32014092803001404,0.5509171485900879,0.39369291067123413,0.25611889362335205,0.17201851308345795,0.2582944929599762,0.2618618607521057,0.2404547780752182
",",0.3365725874900818,0.3734780251979828,0.4933079481124878,0.20175659656524658,0.26558172702789307,0.21963930130004883,0.24146170914173126,0.44245919585227966,0.20502597093582153,0.31091248989105225
and,0.41279885172843933,0.43716782331466675,0.5171257257461548,0.2192772477865219,0.281952828168869,0.20650289952754974,0.25629109144210815,0.48971283435821533,0.13436099886894226,0.20544172823429108
these,0.34544891119003296,0.32906898856163025,0.49086877703666687,0.22786195576190948,0.20668603479862213,0.1348876655101776,0.20630522072315216,0.46852558851242065,0.1149955615401268,0.2571668326854706
groups,0.25027307868003845,0.21874025464057922,0.27790749073028564,0.19505317509174347,0.23581275343894958,0.246140718460083,0.13851425051689148,0.24181967973709106,0.10704738646745682,0.14349548518657684
