,what,was,a,happy,days,spinoff,that,debuted,in,the,1980s,on,abc,?
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.2117847055196762,0.2574930489063263,0.27353307604789734,0.5473989248275757,0.28418588638305664,0.6662389636039734,1.0,0.07890266180038452,0.5107308030128479,0.2068762183189392,0.22068053483963013
network,0.16917307674884796,0.1994880586862564,0.17299489676952362,0.10181747376918793,0.14129981398582458,0.27600306272506714,0.2984007000923157,0.28641700744628906,0.19496823847293854,0.27187061309814453,0.14011655747890472,0.30190837383270264,0.4295894205570221,0.17853789031505585
was,0.22111038863658905,1.0000001192092896,0.4508470594882965,0.1448298990726471,0.2985812723636627,0.31281495094299316,0.33670201897621155,0.3357197344303131,0.45514053106307983,0.48711544275283813,-0.0172738004475832,0.3909217119216919,0.21565799415111542,0.18412111699581146
also,0.42747777700424194,0.4032125174999237,0.5149940252304077,0.24715259671211243,0.24093933403491974,0.29154691100120544,0.6005857586860657,0.22665639221668243,0.5073733329772949,0.6021018624305725,0.08647964149713516,0.3762153089046478,0.2030053734779358,0.21848613023757935
propelled,0.15243510901927948,0.24492120742797852,0.329372376203537,0.10551032423973083,0.16297690570354462,0.10462746024131775,0.24224013090133667,0.2571963369846344,0.2050265222787857,0.2436559498310089,0.230101078748703,0.19838565587997437,0.07234325259923935,0.10945235937833786
during,0.24137552082538605,0.4470829963684082,0.30341604351997375,0.12125188112258911,0.3143676519393921,0.22547367215156555,0.31487685441970825,0.2861698865890503,0.4627237319946289,0.4838213622570038,-0.011739222332835197,0.3347817361354828,0.18870772421360016,0.1325719803571701
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.2117847055196762,0.2574930489063263,0.27353307604789734,0.5473989248275757,0.28418588638305664,0.6662389636039734,1.0,0.07890266180038452,0.5107308030128479,0.2068762183189392,0.22068053483963013
early,0.2454567849636078,0.4148794412612915,0.2710886299610138,0.07804138213396072,0.27008917927742004,0.22247064113616943,0.29580917954444885,0.18875885009765625,0.34672921895980835,0.34442198276519775,0.03928886726498604,0.2426261156797409,0.17947594821453094,0.15272949635982513
1980s,-0.06585196405649185,-0.0172738004475832,0.1030743196606636,-0.11298518627882004,-0.08368803560733795,0.055451650172472,-0.025683050975203514,0.0033097518607974052,0.03401865437626839,0.07890266180038452,1.0,-0.018106091767549515,0.07557179033756256,-0.0718669518828392
by,0.2455483376979828,0.4752357602119446,0.32094135880470276,0.13385434448719025,0.17279444634914398,0.25997963547706604,0.37496164441108704,0.20822018384933472,0.370934396982193,0.4408751428127289,-0.010664036497473717,0.33887791633605957,0.17600902915000916,0.17966607213020325
