,today,",",which,church,is,generally,considered,one,of,the,more,moderate,and,tolerant,denominations,?
today,1.0000001192092896,0.3282252550125122,0.3886263072490692,0.24520598351955414,0.3404538929462433,0.40489986538887024,0.34208548069000244,0.3432668447494507,0.3291318118572235,0.35740926861763,0.28398892283439636,0.12744557857513428,0.37503334879875183,0.2178783416748047,0.2517396807670593,0.17338968813419342
",",0.3282252550125122,1.0000001192092896,0.3658004403114319,0.2707274258136749,0.4691906273365021,0.29679131507873535,0.32932984828948975,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.3696524500846863,0.19914491474628448,0.6633074283599854,0.25311949849128723,0.26991698145866394,0.31091248989105225
the,0.35740926861763,0.4933079481124878,0.6521818041801453,0.23846197128295898,0.5823672413825989,0.41466525197029114,0.4028765559196472,0.5514441132545471,0.733189046382904,1.0,0.39758381247520447,0.20949949324131012,0.5171257257461548,0.24514147639274597,0.2641148269176483,0.22068053483963013
umc,0.28416013717651367,0.1953766793012619,0.22190320491790771,0.20494024455547333,0.21909049153327942,0.2898326516151428,0.22117842733860016,0.2278352677822113,0.18128293752670288,0.21262750029563904,0.12600736320018768,0.1349610984325409,0.21982228755950928,0.14051826298236847,0.35130107402801514,0.2609967589378357
is,0.3404538929462433,0.4691906273365021,0.4457404911518097,0.203276589512825,1.0,0.4094115197658539,0.4096149802207947,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.2946030795574188,0.22282376885414124,0.3859752118587494,0.22557812929153442,0.20644134283065796,0.22961433231830597
generally,0.40489986538887024,0.29679131507873535,0.5185179114341736,0.1768280267715454,0.4094115197658539,1.0,0.45004865527153015,0.4019462764263153,0.3127037584781647,0.41466525197029114,0.4564860463142395,0.416504442691803,0.4087323546409607,0.4092579782009125,0.2740165591239929,0.23411904275417328
considered,0.34208548069000244,0.32932984828948975,0.32509535551071167,0.15520626306533813,0.4096149802207947,0.45004865527153015,1.0,0.4084182679653168,0.4190242290496826,0.4028765559196472,0.34512007236480713,0.24042880535125732,0.3359341621398926,0.3185952305793762,0.22563397884368896,0.19909770786762238
one,0.3432668447494507,0.3696635365486145,0.510688066482544,0.15520724654197693,0.4544198513031006,0.4019462764263153,0.4084182679653168,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.42017561197280884,0.17553281784057617,0.42438167333602905,0.16325663030147552,0.22474947571754456,0.2673267424106598
of,0.3291318118572235,0.4946078956127167,0.5011631846427917,0.3079429268836975,0.4854315221309662,0.3127037584781647,0.4190242290496826,0.4999135136604309,1.0,0.733189046382904,0.30478984117507935,0.22534674406051636,0.5116966962814331,0.22762838006019592,0.27064603567123413,0.1826142966747284
the,0.35740926861763,0.4933079481124878,0.6521818041801453,0.23846197128295898,0.5823672413825989,0.41466525197029114,0.4028765559196472,0.5514441132545471,0.733189046382904,1.0,0.39758381247520447,0.20949949324131012,0.5171257257461548,0.24514147639274597,0.2641148269176483,0.22068053483963013
more,0.28398892283439636,0.3696524500846863,0.4639437198638916,0.15074557065963745,0.2946030795574188,0.4564860463142395,0.34512007236480713,0.42017561197280884,0.30478984117507935,0.39758381247520447,1.0,0.2644557058811188,0.39880692958831787,0.27899107336997986,0.2722146809101105,0.27894994616508484
moderate,0.12744557857513428,0.19914491474628448,0.2702071964740753,0.22284600138664246,0.22282376885414124,0.416504442691803,0.24042880535125732,0.17553281784057617,0.22534674406051636,0.20949949324131012,0.2644557058811188,0.9999998807907104,0.2701476216316223,0.3916884660720825,0.22662515938282013,0.14408792555332184
and,0.37503334879875183,0.6633074283599854,0.506277859210968,0.1976170688867569,0.3859752118587494,0.4087323546409607,0.3359341621398926,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.39880692958831787,0.2701476216316223,1.0,0.3120706081390381,0.23364228010177612,0.20544172823429108
tolerant,0.2178783416748047,0.25311949849128723,0.2903911769390106,0.21149428188800812,0.22557812929153442,0.4092579782009125,0.3185952305793762,0.16325663030147552,0.22762838006019592,0.24514147639274597,0.27899107336997986,0.3916884660720825,0.3120706081390381,0.9999998807907104,0.3133220076560974,0.247783824801445
denominations,0.2517396807670593,0.26991698145866394,0.2812642455101013,0.5043687224388123,0.20644134283065796,0.2740165591239929,0.22563397884368896,0.22474947571754456,0.27064603567123413,0.2641148269176483,0.2722146809101105,0.22662515938282013,0.23364228010177612,0.3133220076560974,0.9999998807907104,0.2765534520149231
with,0.22647687792778015,0.4120737314224243,0.46403205394744873,0.17961077392101288,0.3250955045223236,0.33641812205314636,0.24176937341690063,0.3855307400226593,0.41827285289764404,0.4223487675189972,0.3535402715206146,0.22922538220882416,0.5477725267410278,0.2494637817144394,0.20292353630065918,0.2433311939239502
respect,0.18535026907920837,0.31207460165023804,0.25662121176719666,0.19407080113887787,0.20416083931922913,0.2844848930835724,0.3113076388835907,0.270612895488739,0.2707009017467499,0.2571326196193695,0.2636958062648773,0.21584904193878174,0.30358022451400757,0.36874017119407654,0.2887747287750244,0.2402682900428772
to,0.3122048079967499,0.44245919585227966,0.5345056653022766,0.24439501762390137,0.42745086550712585,0.3871513605117798,0.2954166829586029,0.4025384783744812,0.41548454761505127,0.535392165184021,0.47084665298461914,0.2507837414741516,0.48971283435821533,0.21584677696228027,0.2170456200838089,0.29463258385658264
race,0.13511323928833008,0.28230950236320496,0.1563221514225006,0.12930083274841309,0.18486739695072174,0.16683326661586761,0.19713149964809418,0.20953308045864105,0.22476476430892944,0.2584857642650604,0.10666925460100174,0.1654302477836609,0.18919794261455536,0.163705974817276,0.14147429168224335,0.1390368491411209
",",0.3282252550125122,1.0000001192092896,0.3658004403114319,0.2707274258136749,0.4691906273365021,0.29679131507873535,0.32932984828948975,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.3696524500846863,0.19914491474628448,0.6633074283599854,0.25311949849128723,0.26991698145866394,0.31091248989105225
gender,0.1545434445142746,0.21584902703762054,0.22452589869499207,0.15901273488998413,0.17580533027648926,0.30890175700187683,0.19586610794067383,0.24983303248882294,0.20023681223392487,0.24119289219379425,0.24686665832996368,0.17438116669654846,0.2679629623889923,0.2686574161052704,0.2768953740596771,0.22791960835456848
",",0.3282252550125122,1.0000001192092896,0.3658004403114319,0.2707274258136749,0.4691906273365021,0.29679131507873535,0.32932984828948975,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.3696524500846863,0.19914491474628448,0.6633074283599854,0.25311949849128723,0.26991698145866394,0.31091248989105225
