,who,lost,to,the,broncos,in,the,divisional,round,?
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.25985947251319885,0.6662389636039734,1.0,0.29866886138916016,0.19933617115020752,0.22068053483963013
broncos,0.1763724684715271,0.19186308979988098,0.23674264550209045,0.25985947251319885,1.0000001192092896,0.20316283404827118,0.25985947251319885,0.32206958532333374,0.2565499246120453,0.18377114832401276
defeated,0.24426424503326416,0.5409082174301147,0.22105613350868225,0.2833898365497589,0.3003196120262146,0.24813973903656006,0.2833898365497589,0.26896175742149353,0.23165248334407806,0.1413237303495407
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.25985947251319885,0.6662389636039734,1.0,0.29866886138916016,0.19933617115020752,0.22068053483963013
pittsburgh,0.19273275136947632,0.2143789827823639,0.16627483069896698,0.22728557884693146,0.46763214468955994,0.1921023428440094,0.22728557884693146,0.1418951451778412,0.22934922575950623,0.17622371017932892
steelers,0.2024606466293335,0.25719577074050903,0.20648124814033508,0.24458691477775574,0.6163044571876526,0.16642944514751434,0.24458691477775574,0.29003608226776123,0.2820480763912201,0.2030561864376068
in,0.2792111933231354,0.3167656362056732,0.45010748505592346,0.6662389636039734,0.20316283404827118,1.0,0.6662389636039734,0.27742800116539,0.17063008248806,0.20430970191955566
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.25985947251319885,0.6662389636039734,1.0,0.29866886138916016,0.19933617115020752,0.22068053483963013
divisional,0.12287947535514832,0.21822777390480042,0.19002176821231842,0.29866886138916016,0.32206958532333374,0.27742800116539,0.29866886138916016,1.0,0.23850208520889282,0.08093056827783585
round,0.14290806651115417,0.24792149662971497,0.22003763914108276,0.19933617115020752,0.2565499246120453,0.17063008248806,0.19933617115020752,0.23850208520889282,1.0,0.17003268003463745
",",0.3365725874900818,0.26788443326950073,0.44245919585227966,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.4933079481124878,0.26088419556617737,0.2113574892282486,0.31091248989105225
23–16,0.030127037316560745,0.13000118732452393,0.003799776779487729,0.0726022943854332,0.4549325406551361,0.15335093438625336,0.0726022943854332,0.24598544836044312,0.2165345698595047,-0.04613818600773811
",",0.3365725874900818,0.26788443326950073,0.44245919585227966,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.4933079481124878,0.26088419556617737,0.2113574892282486,0.31091248989105225
by,0.39727845788002014,0.2040068507194519,0.33534231781959534,0.4408751428127289,0.11333504319190979,0.370934396982193,0.4408751428127289,0.21055227518081665,0.16654327511787415,0.17966607213020325
scoring,0.1477721482515335,0.21005043387413025,0.2221129685640335,0.2582377791404724,0.3381083905696869,0.19487565755844116,0.2582377791404724,0.19379757344722748,0.23247142136096954,0.0971682071685791
11,0.11859084665775299,0.058137934654951096,0.010993496514856815,-0.0219515822827816,-0.0632704421877861,0.03469983860850334,-0.0219515822827816,-0.1140165627002716,-0.11405230313539505,-0.04295448586344719
points,0.16272501647472382,0.1700965315103531,0.2551480233669281,0.2560983896255493,0.22998562455177307,0.1616203784942627,0.2560983896255493,0.1835746020078659,0.22859230637550354,0.11006313562393188
in,0.2792111933231354,0.3167656362056732,0.45010748505592346,0.6662389636039734,0.20316283404827118,1.0,0.6662389636039734,0.27742800116539,0.17063008248806,0.20430970191955566
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.25985947251319885,0.6662389636039734,1.0,0.29866886138916016,0.19933617115020752,0.22068053483963013
final,0.16870783269405365,0.3485095500946045,0.26099109649658203,0.3543182611465454,0.2183726727962494,0.25512343645095825,0.3543182611465454,0.23647022247314453,0.3328535258769989,0.17315025627613068
three,0.2491552233695984,0.203522190451622,0.3043823838233948,0.43452659249305725,0.23654358088970184,0.34828072786331177,0.43452659249305725,0.26496973633766174,0.16050855815410614,0.20928427577018738
minutes,0.153090700507164,0.20248030126094818,0.2305816262960434,0.20313966274261475,0.17653882503509521,0.18828919529914856,0.20313966274261475,0.11845880001783371,0.20646609365940094,0.14419560134410858
of,0.2827862501144409,0.2878951132297516,0.41548454761505127,0.733189046382904,0.19310332834720612,0.5696388483047485,0.733189046382904,0.3047286868095398,0.15754494071006775,0.1826142966747284
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.25985947251319885,0.6662389636039734,1.0,0.29866886138916016,0.19933617115020752,0.22068053483963013
game,0.2523840069770813,0.18611027300357819,0.2540906071662903,0.285271555185318,0.32325026392936707,0.23986028134822845,0.285271555185318,0.1927962601184845,0.24281927943229675,0.1829071193933487
.,0.3541337847709656,0.2800092399120331,0.4645031690597534,0.5934505462646484,0.2612393796443939,0.5591574311256409,0.5934505462646484,0.25612205266952515,0.218585804104805,0.4130953550338745
