,how,long,ago,was,it,when,the,water,broke,through,the,purus,arch,?
as,0.33782753348350525,0.23432248830795288,0.21287672221660614,0.3677520453929901,0.4461488723754883,0.4437963366508484,0.48381632566452026,0.21305090188980103,0.161157488822937,0.24602261185646057,0.48381632566452026,0.12947987020015717,0.21935902535915375,0.27043893933296204
the,0.33890387415885925,0.3075225353240967,0.23063679039478302,0.48711544275283813,0.6251175999641418,0.5091903209686279,1.0,0.297396719455719,0.3315005600452423,0.44071322679519653,1.0,0.12622052431106567,0.26320189237594604,0.22068053483963013
andes,0.15101009607315063,0.21043333411216736,0.26699256896972656,0.1443025916814804,0.24066290259361267,0.18607516586780548,0.3295658826828003,0.21101872622966766,0.11151352524757385,0.2998133897781372,0.3295658826828003,0.28375545144081116,0.141798734664917,0.11163628101348877
mountains,0.11935112625360489,0.16647200286388397,0.2201005220413208,0.15521857142448425,0.2037101536989212,0.1710444837808609,0.27269288897514343,0.28134337067604065,0.12211998552083969,0.273818701505661,0.27269288897514343,0.22625386714935303,0.17111308872699738,0.08633821457624435
rose,0.1042250394821167,0.07691119611263275,0.0955139622092247,0.2609468102455139,0.17944282293319702,0.17627869546413422,0.28326278924942017,0.14054431021213531,0.2357330322265625,0.16344544291496277,0.28326278924942017,0.14811979234218597,0.1258559226989746,0.11847885698080063
",",0.22659391164779663,0.3431144952774048,0.26431804895401,0.45456063747406006,0.48329564929008484,0.36674630641937256,0.4933079481124878,0.26706066727638245,0.2557729482650757,0.3060276508331299,0.4933079481124878,0.2024708390235901,0.19328507781028748,0.31091248989105225
however,0.45072782039642334,0.2989967465400696,0.2684766948223114,0.37327632308006287,0.467002272605896,0.5574322938919067,0.49814513325691223,0.2585415542125702,0.31344595551490784,0.30663204193115234,0.49814513325691223,0.11250602453947067,0.16570426523685455,0.2152075469493866
",",0.22659391164779663,0.3431144952774048,0.26431804895401,0.45456063747406006,0.48329564929008484,0.36674630641937256,0.4933079481124878,0.26706066727638245,0.2557729482650757,0.3060276508331299,0.4933079481124878,0.2024708390235901,0.19328507781028748,0.31091248989105225
a,0.29312583804130554,0.3795371353626251,0.2420414835214615,0.4508470594882965,0.5452592968940735,0.44397395849227905,0.5829201340675354,0.2979097068309784,0.20742449164390564,0.3399752974510193,0.5829201340675354,0.16305725276470184,0.15384788811206818,0.23916715383529663
large,0.21342547237873077,0.366609662771225,0.20883359014987946,0.21717436611652374,0.2843167781829834,0.2779814898967743,0.3828733265399933,0.3049947917461395,0.21255819499492645,0.23474091291427612,0.3828733265399933,0.1986457109451294,0.17245469987392426,0.1355665624141693
