,how,many,earthquakes,does,southern,california,experience,in,a,year,?
each,0.4183253347873688,0.35348209738731384,0.19706334173679352,0.31699198484420776,0.13601958751678467,0.15688635408878326,0.20470470190048218,0.30816060304641724,0.434999018907547,0.286208838224411,0.21173812448978424
year,0.19631797075271606,0.21933086216449738,0.1579281985759735,0.16000528633594513,0.18763160705566406,0.14150623977184296,0.16810964047908783,0.3359307050704956,0.29350247979164124,1.0,0.18315006792545319
",",0.22659391164779663,0.40610817074775696,0.26924440264701843,0.28617382049560547,0.2795628309249878,0.2704589068889618,0.22459560632705688,0.5201468467712402,0.427140474319458,0.28560417890548706,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.2725606858730316,0.35928019881248474,0.3282862603664398,0.2750805914402008,0.21682339906692505,0.6662389636039734,0.5829201340675354,0.3609684407711029,0.22068053483963013
southern,0.11308442056179047,0.18025599420070648,0.19549311697483063,0.0482201874256134,1.0,0.2983402609825134,0.07524926215410233,0.3190481662750244,0.25843560695648193,0.18763160705566406,0.11225555837154388
california,0.15981262922286987,0.24571245908737183,0.2600187659263611,0.10136774927377701,0.2983402609825134,1.0,0.15550529956817627,0.2772824168205261,0.2426064908504486,0.14150623977184296,0.1409905105829239
area,0.17030490934848785,0.2414858043193817,0.2206539660692215,0.13779224455356598,0.3466261029243469,0.18134087324142456,0.16028130054473877,0.33632898330688477,0.2782127559185028,0.1947406381368637,0.12640461325645447
has,0.26820555329322815,0.4266262650489807,0.16899847984313965,0.42885294556617737,0.16921117901802063,0.1442752480506897,0.21613524854183197,0.4173259735107422,0.4670248031616211,0.2526876926422119,0.15994466841220856
about,0.44264400005340576,0.3800397515296936,0.19753919541835785,0.26877498626708984,0.1672418713569641,0.13923342525959015,0.2793927490711212,0.39797019958496094,0.34171196818351746,0.2995435297489166,0.302409827709198
"10,000",-0.08011393249034882,-0.13516037166118622,-0.21574874222278595,-0.0472201369702816,-0.027269143611192703,0.07370675355195999,-0.08081187307834625,-0.056806739419698715,-0.006958124227821827,0.003317740047350526,0.10342991352081299
earthquakes,0.21152426302433014,0.2529422640800476,1.0000001192092896,0.14176876842975616,0.19549311697483063,0.2600187659263611,0.2087647169828415,0.2531299591064453,0.2523905634880066,0.1579281985759735,0.18716849386692047
.,0.3287222981452942,0.3974229395389557,0.266614705324173,0.3022993505001068,0.26629969477653503,0.2870451807975769,0.22749435901641846,0.5591574311256409,0.50484299659729,0.32538118958473206,0.4130953550338745
