,if,one,computer,model,turns,out,correct,",",by,what,year,would,there,be,a,nearly,complete,loss,of,rainforest,in,the,amazon,basin,?
one,0.37931159138679504,1.0000001192092896,0.2500084340572357,0.22844824194908142,0.2499760389328003,0.3521561622619629,0.28642192482948303,0.3696635365486145,0.29445651173591614,0.376489520072937,0.346388578414917,0.38529840111732483,0.43285492062568665,0.4154875874519348,0.4910551905632019,0.3389627933502197,0.34202226996421814,0.23399928212165833,0.4999135136604309,0.2546979784965515,0.4129433035850525,0.5514441132545471,0.17098593711853027,0.18860585987567902,0.2673267424106598
computer,0.2754898965358734,0.2500084340572357,0.9999999403953552,0.2324717789888382,0.20673254132270813,0.2568846046924591,0.28601524233818054,0.24379804730415344,0.20605696737766266,0.26911869645118713,0.14010916650295258,0.1908283233642578,0.16791345179080963,0.25427141785621643,0.2548043727874756,0.12456062436103821,0.2211722433567047,0.13907134532928467,0.18559479713439941,0.16432307660579681,0.18321871757507324,0.19781450927257538,0.22540855407714844,0.18038293719291687,0.20203553140163422
model,0.14476566016674042,0.22844824194908142,0.2324717789888382,1.0000001192092896,0.13349352777004242,0.10740632563829422,0.20245151221752167,0.244965597987175,0.12459231913089752,0.2303347885608673,0.1623365879058838,0.19583818316459656,0.08019284904003143,0.1368791162967682,0.29218459129333496,0.1377388834953308,0.09682995080947876,0.08480889350175858,0.18271391093730927,0.15805865824222565,0.2267826348543167,0.14028635621070862,0.17325818538665771,0.1699039191007614,0.14843042194843292
of,0.2557544410228729,0.4999135136604309,0.18559479713439941,0.18271391093730927,0.2735316753387451,0.34176841378211975,0.22131142020225525,0.4946078956127167,0.3646814823150635,0.33290785551071167,0.2578314542770386,0.3353942930698395,0.44397735595703125,0.33904364705085754,0.5052502155303955,0.3455437123775482,0.3009350895881653,0.26357072591781616,1.0,0.22522282600402832,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2557278275489807,0.1826142966747284
future,0.26627117395401,0.20890909433364868,0.21293683350086212,0.12030915170907974,0.22391349077224731,0.1621859073638916,0.2210332453250885,0.2609160840511322,0.17252910137176514,0.29700374603271484,0.23687829077243805,0.3937055170536041,0.2176135629415512,0.32757890224456787,0.16284751892089844,0.0836733803153038,0.192653089761734,0.19802342355251312,0.25455814599990845,0.09010060876607895,0.15554536879062653,0.2337762415409088,0.12834583222866058,0.09180718660354614,0.3367180824279785
climate,0.14490261673927307,0.19367924332618713,0.16053633391857147,0.1674860715866089,0.16827933490276337,0.11076339334249496,0.16749687492847443,0.224740669131279,0.13604430854320526,0.2854173183441162,0.2137959748506546,0.17750467360019684,0.2473110556602478,0.17534734308719635,0.1805623322725296,0.13164490461349487,0.12785585224628448,0.21694818139076233,0.25840428471565247,0.4462570548057556,0.24209141731262207,0.2693597674369812,0.21384435892105103,0.3512958586215973,0.19998492300510406
change,0.3947671949863434,0.281233549118042,0.21972237527370453,0.14520089328289032,0.2356407344341278,0.2723105251789093,0.41035017371177673,0.2752361297607422,0.2329561412334442,0.3690716028213501,0.21512968838214874,0.34290385246276855,0.2861633896827698,0.4429277777671814,0.3047741651535034,0.20334075391292572,0.21964994072914124,0.2671118974685669,0.2569013833999634,0.1487647444009781,0.2510564923286438,0.3641999065876007,0.08936157077550888,0.10718081146478653,0.24115969240665436
caused,0.22690849006175995,0.22115907073020935,0.1446658968925476,0.10176186263561249,0.16745290160179138,0.255919873714447,0.1482323706150055,0.2600580155849457,0.30491310358047485,0.22264783084392548,0.14900340139865875,0.3232015073299408,0.32593846321105957,0.22316482663154602,0.22472180426120758,0.25479361414909363,0.09028663486242294,0.3778317868709564,0.29665443301200867,0.2313433289527893,0.2494886964559555,0.24990202486515045,0.09666959196329117,0.19061477482318878,0.20679491758346558
by,0.2429230511188507,0.29445651173591614,0.20605696737766266,0.12459231913089752,0.24148117005825043,0.29497629404067993,0.19553889334201813,0.3680937886238098,1.0000001192092896,0.2455483376979828,0.28805047273635864,0.28394925594329834,0.20383623242378235,0.43158695101737976,0.32094135880470276,0.2504696547985077,0.16281484067440033,0.19461268186569214,0.3646814823150635,0.16387821733951569,0.370934396982193,0.4408751428127289,0.16320857405662537,0.19840280711650848,0.17966607213020325
greenhouse,0.2027561366558075,0.2240229845046997,0.18597902357578278,0.1544368416070938,0.19059917330741882,0.19600209593772888,0.1240493655204773,0.24487458169460297,0.16174159944057465,0.18998095393180847,0.23622632026672363,0.21728871762752533,0.2394561916589737,0.26106154918670654,0.2077552080154419,0.1911211460828781,0.12794546782970428,0.21158698201179504,0.2204664796590805,0.3517635464668274,0.18596510589122772,0.24104130268096924,0.19569648802280426,0.2186516374349594,0.17256315052509308
