,when,did,holden,announce,that,it,will,close,its,victoria,plant,?
holden,0.12894228100776672,0.08875536173582077,1.0,0.10805723071098328,0.12169396877288818,0.1608559787273407,0.16108843684196472,0.09206274896860123,0.09092945605516434,0.3110849857330322,0.13661843538284302,0.16267192363739014
's,-0.03368149697780609,0.05069678649306297,0.05979344993829727,-0.10360974818468094,0.04397977516055107,0.06608816236257553,0.00371179124340415,0.07968296110630035,0.03202139586210251,0.06206126511096954,-0.049959149211645126,-0.023395681753754616
announcement,0.18412145972251892,0.26421767473220825,0.12229956686496735,0.7927435636520386,0.29843249917030334,0.20858824253082275,0.29175838828086853,0.1044113039970398,0.21356512606143951,0.17567655444145203,0.1066553145647049,0.24608203768730164
occurred,0.221700981259346,0.2772168517112732,0.11698432266712189,0.24551276862621307,0.2822191119194031,0.20880642533302307,0.21192185580730438,0.19557921588420868,0.223518505692482,0.15987488627433777,0.17338110506534576,0.15880417823791504
in,0.4431333839893341,0.2593238651752472,0.2851129174232483,0.20262889564037323,0.435920387506485,0.5130809545516968,0.2580665349960327,0.23149028420448303,0.3793783485889435,0.20823122560977936,0.2597269117832184,0.20430970191955566
may,0.3167054355144501,0.3038632869720459,0.16445153951644897,0.17584843933582306,0.4234136641025543,0.30672433972358704,0.4277452528476715,0.24389785528182983,0.17664512991905212,0.14454835653305054,0.17341649532318115,0.2768254578113556
2013,-0.3901043236255646,-0.264662504196167,-0.02083536982536316,-0.1020713746547699,-0.49828678369522095,-0.4662441313266754,-0.38646581768989563,-0.2629952132701874,-0.3646434545516968,-0.16137002408504486,-0.21937915682792664,-0.2969330847263336
",",0.36674630641937256,0.3015086054801941,0.35342878103256226,0.19437241554260254,0.4137537479400635,0.48329564929008484,0.29706671833992004,0.34483593702316284,0.33157986402511597,0.2279360294342041,0.25194862484931946,0.31091248989105225
followed,0.2927686870098114,0.2675115466117859,0.0919882208108902,0.18674114346504211,0.27784204483032227,0.24461886286735535,0.25271838903427124,0.15070810914039612,0.20418477058410645,0.15845099091529846,0.11432275176048279,0.20567169785499573
by,0.4376842677593231,0.18574509024620056,0.15467911958694458,0.208219975233078,0.37496164441108704,0.40926623344421387,0.2520078420639038,0.17142534255981445,0.24398943781852722,0.17471559345722198,0.20213352143764496,0.17966607213020325
ford,0.20342567563056946,0.2008439004421234,0.3778465986251831,0.16709230840206146,0.17829474806785583,0.15887437760829926,0.19746237993240356,0.15441714227199554,0.13814926147460938,0.21436110138893127,0.13019907474517822,0.19164219498634338
's,-0.03368149697780609,0.05069678649306297,0.05979344993829727,-0.10360974818468094,0.04397977516055107,0.06608816236257553,0.00371179124340415,0.07968296110630035,0.03202139586210251,0.06206126511096954,-0.049959149211645126,-0.023395681753754616
decision,0.2485322803258896,0.285696417093277,0.11358629912137985,0.34142762422561646,0.35045957565307617,0.3083229064941406,0.28960487246513367,0.22646044194698334,0.20980705320835114,0.11205273121595383,0.14003796875476837,0.2796577215194702
in,0.4431333839893341,0.2593238651752472,0.2851129174232483,0.20262889564037323,0.435920387506485,0.5130809545516968,0.2580665349960327,0.23149028420448303,0.3793783485889435,0.20823122560977936,0.2597269117832184,0.20430970191955566
december,0.28435230255126953,0.2542226016521454,0.25500598549842834,0.2496168464422226,0.19844987988471985,0.260568231344223,0.19912801682949066,0.19172275066375732,0.1437748521566391,0.19753791391849518,0.037699487060308456,0.2480352818965912
of,0.3757161796092987,0.2513895630836487,0.18827825784683228,0.23663374781608582,0.41498205065727234,0.38761502504348755,0.2473582625389099,0.24178770184516907,0.48690423369407654,0.2505437433719635,0.26645857095718384,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.2033054679632187,0.2190934419631958,0.5473989248275757,0.6251175999641418,0.3635469079017639,0.2625353932380676,0.559237003326416,0.2204313427209854,0.28395459055900574,0.22068053483963013
same,0.37020012736320496,0.3097444474697113,0.19553925096988678,0.15860414505004883,0.47339269518852234,0.3616943955421448,0.374918669462204,0.21933086216449738,0.34730350971221924,0.1283215582370758,0.17556478083133698,0.22649677097797394
year,0.3014719784259796,0.21422851085662842,0.1014748141169548,0.2434287816286087,0.2826407253742218,0.2363913208246231,0.26286253333091736,0.1478501409292221,0.15338382124900818,0.15436214208602905,0.15555982291698456,0.18315006792545319
(,0.2459595799446106,0.18979617953300476,0.2554820477962494,0.11758454889059067,0.2264307141304016,0.2745298147201538,0.26469120383262634,0.27720344066619873,0.1924784928560257,0.14948904514312744,0.18168765306472778,0.40561532974243164
ford,0.20342567563056946,0.2008439004421234,0.3778465986251831,0.16709230840206146,0.17829474806785583,0.15887437760829926,0.19746237993240356,0.15441714227199554,0.13814926147460938,0.21436110138893127,0.13019907474517822,0.19164219498634338
's,-0.03368149697780609,0.05069678649306297,0.05979344993829727,-0.10360974818468094,0.04397977516055107,0.06608816236257553,0.00371179124340415,0.07968296110630035,0.03202139586210251,0.06206126511096954,-0.049959149211645126,-0.023395681753754616
victorian,0.19932222366333008,0.21329370141029358,0.23265106976032257,0.1167653277516365,0.24561864137649536,0.21009929478168488,0.12193996459245682,0.14971894025802612,0.20901918411254883,0.7158359885215759,0.18745799362659454,0.07572567462921143
