,which,entity,developed,the,principles,of,european,union,law,?
the,0.6521818041801453,0.2403784692287445,0.24490751326084137,1.0,0.21452596783638,0.733189046382904,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
principles,0.29144638776779175,0.21832071244716644,0.3137640655040741,0.21452596783638,1.0000001192092896,0.25854504108428955,0.2124764770269394,0.20839111506938934,0.37726420164108276,0.19203636050224304
of,0.5011631846427917,0.21258564293384552,0.21960023045539856,0.733189046382904,0.25854504108428955,1.0,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
european,0.2234036773443222,0.07706774026155472,0.25989091396331787,0.3423081040382385,0.2124764770269394,0.2507138252258301,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.14560863375663757
union,0.23846890032291412,0.16860073804855347,0.15686382353305817,0.24421639740467072,0.20839111506938934,0.2642118036746979,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.07797172665596008
law,0.20205146074295044,0.2180808186531067,0.1711473912000656,0.24548950791358948,0.37726420164108276,0.2816956341266632,0.17164482176303864,0.19371826946735382,1.0000001192092896,0.1528988480567932
are,0.42922598123550415,0.2005564421415329,0.217958003282547,0.40399202704429626,0.24335607886314392,0.39081433415412903,0.15548661351203918,0.15829040110111237,0.13009320199489594,0.24591213464736938
rules,0.30419498682022095,0.1945028454065323,0.21887575089931488,0.27022838592529297,0.4116843640804291,0.18197891116142273,0.14646150171756744,0.20935659110546112,0.35222867131233215,0.22111085057258606
of,0.5011631846427917,0.21258564293384552,0.21960023045539856,0.733189046382904,0.25854504108428955,1.0,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
law,0.20205146074295044,0.2180808186531067,0.1711473912000656,0.24548950791358948,0.37726420164108276,0.2816956341266632,0.17164482176303864,0.19371826946735382,1.0000001192092896,0.1528988480567932
which,1.0,0.2909833490848541,0.2803538739681244,0.6521818041801453,0.29144638776779175,0.5011631846427917,0.2234036773443222,0.23846890032291412,0.20205146074295044,0.25814583897590637
have,0.49652695655822754,0.24544057250022888,0.27746251225471497,0.40389683842658997,0.21499435603618622,0.3802283704280853,0.19048169255256653,0.16471676528453827,0.18623127043247223,0.32991164922714233
