,what,conviction,did,many,poles,have,regarding,how,the,varsovians,thought,of,themselves,?
it,0.45803478360176086,0.17011944949626923,0.2993364930152893,0.39615920186042786,0.18093343079090118,0.40974161028862,0.21965941786766052,0.36714982986450195,0.6251175999641418,0.26237717270851135,0.3732614517211914,0.38761502504348755,0.28135186433792114,0.25732165575027466
also,0.42747777700424194,0.16353988647460938,0.39334940910339355,0.6258217096328735,0.18739593029022217,0.5252172946929932,0.25133106112480164,0.43506327271461487,0.6021018624305725,0.25729861855506897,0.40063726902008057,0.4924938678741455,0.33484020829200745,0.21848613023757935
bolstered,0.18239931762218475,0.16791805624961853,0.23861265182495117,0.21607913076877594,0.30227720737457275,0.167408287525177,0.17725054919719696,0.16297082602977753,0.2920021414756775,0.39197099208831787,0.21625739336013794,0.2354014366865158,0.3075185716152191,0.16831153631210327
some,0.4491020441055298,0.17051394283771515,0.42553430795669556,0.7976660132408142,0.22953373193740845,0.6421269774436951,0.34220799803733826,0.4180530905723572,0.4566698372364044,0.3666914701461792,0.42793530225753784,0.4300730526447296,0.4968397915363312,0.2562315762042999
kind,0.39947736263275146,0.16349093616008759,0.2636054456233978,0.3219348192214966,0.21075186133384705,0.31829583644866943,0.2573491632938385,0.3819389343261719,0.2516445517539978,0.148850217461586,0.37235593795776367,0.2285657674074173,0.2005486786365509,0.2628666162490845
of,0.33290785551071167,0.1975906789302826,0.2513895630836487,0.37253960967063904,0.15186354517936707,0.3802283704280853,0.2715161442756653,0.2480744868516922,0.733189046382904,0.2849012613296509,0.34673458337783813,1.0,0.2638634443283081,0.1826142966747284
conviction,0.23150503635406494,1.0,0.25686344504356384,0.1659403145313263,0.1129731759428978,0.2137700617313385,0.39143237471580505,0.20379506051540375,0.19831709563732147,0.15702630579471588,0.23215991258621216,0.1975906789302826,0.15777093172073364,0.2248723953962326
among,0.21154822409152985,0.14572091400623322,0.2415449470281601,0.4631800651550293,0.24740268290042877,0.3610895574092865,0.3363632559776306,0.24921207129955292,0.3507058024406433,0.28111615777015686,0.3529931604862213,0.3679063022136688,0.31208091974258423,0.14343059062957764
poles,0.12107034027576447,0.1129731759428978,0.20563508570194244,0.26454800367355347,0.9999999403953552,0.24361415207386017,0.1323542445898056,0.19699639081954956,0.21806979179382324,0.4911081790924072,0.14904597401618958,0.15186354517936707,0.26559072732925415,0.06705328822135925
that,0.6297725439071655,0.26300927996635437,0.47518548369407654,0.5391656160354614,0.24584241211414337,0.6182622313499451,0.40174636244773865,0.557814359664917,0.5473989248275757,0.314380019903183,0.520185112953186,0.41498205065727234,0.3640199303627014,0.32716336846351624
varsovians,0.26824212074279785,0.15702630579471588,0.2514950931072235,0.34314319491386414,0.4911081790924072,0.3073454797267914,0.15709884464740753,0.22000804543495178,0.3396042287349701,1.0,0.26783016324043274,0.2849012613296509,0.39052459597587585,0.16712608933448792
thought,0.4469435214996338,0.23215991258621216,0.482954740524292,0.39938586950302124,0.14904597401618958,0.45581644773483276,0.28940755128860474,0.3918285071849823,0.3509289622306824,0.26783016324043274,1.0000001192092896,0.34673458337783813,0.3264438807964325,0.2600135803222656
of,0.33290785551071167,0.1975906789302826,0.2513895630836487,0.37253960967063904,0.15186354517936707,0.3802283704280853,0.2715161442756653,0.2480744868516922,0.733189046382904,0.2849012613296509,0.34673458337783813,1.0,0.2638634443283081,0.1826142966747284
themselves,0.34807315468788147,0.15777093172073364,0.32371795177459717,0.4086265563964844,0.26559072732925415,0.42624372243881226,0.1346975862979889,0.2988695800304413,0.3444426357746124,0.39052459597587585,0.3264438807964325,0.2638634443283081,1.0,0.20170879364013672
as,0.31749409437179565,0.23959612846374512,0.3596470057964325,0.4070141911506653,0.16456378996372223,0.37788212299346924,0.2799603343009949,0.33782753348350525,0.48381632566452026,0.19844108819961548,0.3461970388889313,0.3886612355709076,0.28746727108955383,0.27043893933296204
