,a,molecular,phylogeny,analysis,confirmed,that,cydippid,are,not,what,?
a,1.0,0.2225467711687088,0.13830524682998657,0.26785340905189514,0.21397903561592102,0.47537946701049805,0.30327486991882324,0.265255331993103,0.3791346549987793,0.3320399522781372,0.23916715383529663
molecular,0.2225467711687088,0.9999999403953552,0.5651638507843018,0.44257915019989014,0.20019495487213135,0.2576657831668854,0.30587226152420044,0.2298266738653183,0.20018215477466583,0.20577901601791382,0.1327144205570221
phylogeny,0.13830524682998657,0.5651638507843018,1.0,0.4287545680999756,0.2159806489944458,0.24001021683216095,0.374485582113266,0.225007101893425,0.19872905313968658,0.22119246423244476,0.22004404664039612
analysis,0.26785340905189514,0.44257915019989014,0.4287545680999756,1.0000001192092896,0.17511378228664398,0.34139660000801086,0.2986840307712555,0.232616126537323,0.19924885034561157,0.2842639982700348,0.15352053940296173
in,0.539380669593811,0.23809398710727692,0.11026889085769653,0.19403725862503052,0.2745530903339386,0.435920387506485,0.23286697268486023,0.3841303884983063,0.3403114080429077,0.30808621644973755,0.20430970191955566
2001,-0.14780431985855103,0.06325390934944153,0.029588714241981506,-0.011529039591550827,-0.07033322006464005,-0.17465241253376007,0.005378680303692818,-0.16456030309200287,-0.1803981065750122,-0.11417052894830704,-0.08740651607513428
",",0.427140474319458,0.22274190187454224,0.20970962941646576,0.25410884618759155,0.18906112015247345,0.4137537479400635,0.24592694640159607,0.4062570035457611,0.3769696354866028,0.3087472915649414,0.31091248989105225
using,0.32226553559303284,0.20087790489196777,0.12157507240772247,0.2362208068370819,0.13148397207260132,0.4372335970401764,0.25961214303970337,0.3385874032974243,0.38508203625679016,0.27984681725502014,0.2804589569568634
26,0.08247978985309601,0.05298099294304848,-0.03457510098814964,0.017397144809365273,0.0343516506254673,0.05723176896572113,0.10173045843839645,0.055079761892557144,0.0026816311292350292,0.052160754799842834,-0.05200668424367905
species,0.22986134886741638,0.35830065608024597,0.4744035303592682,0.2107149064540863,0.18581579625606537,0.22146284580230713,0.4080977737903595,0.3297041952610016,0.24377579987049103,0.14617158472537994,0.1957087516784668
",",0.427140474319458,0.22274190187454224,0.20970962941646576,0.25410884618759155,0.18906112015247345,0.4137537479400635,0.24592694640159607,0.4062570035457611,0.3769696354866028,0.3087472915649414,0.31091248989105225
including,0.21045410633087158,0.13275007903575897,0.18130579590797424,0.20317810773849487,0.1310509443283081,0.31577053666114807,0.1631721407175064,0.45025435090065,0.22746461629867554,0.18328791856765747,0.1633303165435791
