,what,kind,of,marriage,was,this,?
some,0.4491020441055298,0.42079171538352966,0.4300730526447296,0.14738750457763672,0.21528802812099457,0.5247883796691895,0.2562315762042999
priests,0.24774585664272308,0.18390458822250366,0.20454101264476776,0.26656976342201233,0.24816220998764038,0.24568741023540497,0.1791282594203949
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.25600728392601013,0.3740963041782379,0.42353692650794983,0.20544172823429108
former,0.13598288595676422,0.10540305078029633,0.30415382981300354,0.13142894208431244,0.2544213533401489,0.08466557413339615,0.10570605844259262
religious,0.26794421672821045,0.19009792804718018,0.2958606779575348,0.3239409327507019,0.20851445198059082,0.2454339861869812,0.15727058053016663
had,0.23849567770957947,0.1710449457168579,0.37755560874938965,0.2996480464935303,0.5927209258079529,0.3222610056400299,0.20728366076946259
already,0.4530037045478821,0.20184151828289032,0.27917540073394775,0.2275599241256714,0.35964685678482056,0.4586205780506134,0.3477933406829834
married,0.13977670669555664,0.06628946214914322,0.1619977355003357,0.6196155548095703,0.3079395592212677,0.09908413887023926,0.18062160909175873
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.25912216305732727,0.45456063747406006,0.4316047728061676,0.31091248989105225
including,0.18328791856765747,0.20866802334785461,0.44195112586021423,0.11261162906885147,0.21884717047214508,0.27006515860557556,0.1633303165435791
andreas,0.1377047747373581,0.14534159004688263,0.14636510610580444,0.14460232853889465,0.26392862200737,0.08018653839826584,0.06663193553686142
karlstadt,0.1975174844264984,0.1748354285955429,0.2580949664115906,0.18778996169567108,0.25324276089668274,0.21624043583869934,0.19235840439796448
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.25600728392601013,0.3740963041782379,0.42353692650794983,0.20544172823429108
justus,0.14444193243980408,0.16514863073825836,0.2224368453025818,0.16142810881137848,0.21701841056346893,0.15905815362930298,0.18760563433170319
jonas,0.20355047285556793,0.17602293193340302,0.06958305835723877,0.12354281544685364,0.18823912739753723,0.185401052236557,0.2537094056606293
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.25912216305732727,0.45456063747406006,0.4316047728061676,0.31091248989105225
but,0.5029441118240356,0.3482404947280884,0.39942997694015503,0.2636440694332123,0.36023372411727905,0.6141145825386047,0.27921953797340393
luther,0.2134782373905182,0.0905032530426979,0.1719115972518921,0.23981435596942902,0.19185513257980347,0.17328955233097076,0.1732746809720993
's,0.02692362666130066,0.046514540910720825,-0.03817026689648628,-0.04451000317931175,0.008974763564765453,0.02106832154095173,-0.023395681753754616
wedding,0.17059311270713806,0.15637972950935364,0.2033441811800003,0.5259987711906433,0.18746258318424225,0.2068195641040802,0.13745874166488647
set,0.28954121470451355,0.15891633927822113,0.20671486854553223,0.13926903903484344,0.22985222935676575,0.2594413459300995,0.1698019951581955
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.17375090718269348,0.48711544275283813,0.6274310946464539,0.22068053483963013
seal,0.08656835556030273,0.11738696694374084,0.23927870392799377,0.20750154554843903,0.14339573681354523,0.1410071849822998,0.1086806133389473
of,0.33290785551071167,0.2285657674074173,1.0,0.1860882043838501,0.4069072902202606,0.45148900151252747,0.1826142966747284
approval,0.26881885528564453,0.16067083179950714,0.2675723433494568,0.2558181881904602,0.2365655153989792,0.3451094627380371,0.23795439302921295
on,0.34226128458976746,0.1850661337375641,0.3966929316520691,0.1322319060564041,0.3909217119216919,0.4193967580795288,0.2714994251728058
clerical,0.23011668026447296,0.17758049070835114,0.2952462136745453,0.2857988774776459,0.262544721364975,0.2314552366733551,0.15405778586864471
marriage,0.1536911427974701,0.12444309145212173,0.1860882043838501,0.9999999403953552,0.23779970407485962,0.2317737638950348,0.13543564081192017
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2275817096233368,0.40146201848983765,0.500583827495575,0.4130953550338745
