,what,type,of,turing,machine,can,be,characterized,by,checking,multiple,possibilities,at,the,same,time,?
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.2892029285430908,0.25323837995529175,0.35690054297447205,0.3801851272583008,0.21406006813049316,0.3248702883720398,0.30263975262641907,0.25015708804130554,0.31353241205215454,0.34237727522850037,0.4739971458911896,0.31941699981689453,0.3992156386375427,0.264628142118454
example,0.3456268310546875,0.2937546968460083,0.3570667505264282,0.27532958984375,0.2579236924648285,0.5023694038391113,0.4382762610912323,0.2752375304698944,0.29030951857566833,0.31558895111083984,0.23092052340507507,0.38364651799201965,0.21853865683078766,0.3755223751068115,0.40539807081222534,0.31812599301338196,0.30374911427497864
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2807261645793915,0.21841607987880707,0.3139454126358032,0.39254459738731384,0.23185861110687256,0.3680937886238098,0.24131183326244354,0.2533658742904663,0.2756141126155853,0.38314947485923767,0.4933079481124878,0.3207721710205078,0.3029961884021759,0.31091248989105225
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25234705209732056,0.24983544647693634,0.3915780484676361,0.39883795380592346,0.3205097019672394,0.32094135880470276,0.270152747631073,0.23904410004615784,0.2603641450405121,0.3095070421695709,0.5829201340675354,0.4048157036304474,0.3292340338230133,0.23916715383529663
non-deterministic,0.4249761998653412,0.2389969676733017,0.37207725644111633,0.41113001108169556,0.2774420380592346,0.34615111351013184,0.3743959367275238,0.41251036524772644,0.2168860137462616,0.3651852607727051,0.27449411153793335,0.4388875961303711,0.1669544279575348,0.35790613293647766,0.3591296076774597,0.3118092119693756,0.284718781709671
turing,0.2806522250175476,0.044547878205776215,0.2670239806175232,1.0000001192092896,0.4048772156238556,0.224638432264328,0.2587292492389679,0.11931823194026947,0.21632690727710724,0.3049924671649933,0.2789539694786072,0.26771119236946106,0.15729951858520508,0.2644472122192383,0.21322903037071228,0.3296571373939514,0.1460462063550949
machine,0.23075932264328003,0.21776969730854034,0.15468473732471466,0.4048772156238556,1.0,0.26097333431243896,0.24763767421245575,0.09319985657930374,0.2526017427444458,0.2573080360889435,0.23844586312770844,0.23836089670658112,0.13893967866897583,0.22788187861442566,0.1664196103811264,0.25790056586265564,0.17587624490261078
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.18364353477954865,0.18938691914081573,0.44256699085235596,0.4819129705429077,0.26732131838798523,0.3899846076965332,0.20780561864376068,0.12635007500648499,0.15240435302257538,0.25906258821487427,0.5823672413825989,0.31152886152267456,0.25187405943870544,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25234705209732056,0.24983544647693634,0.3915780484676361,0.39883795380592346,0.3205097019672394,0.32094135880470276,0.270152747631073,0.23904410004615784,0.2603641450405121,0.3095070421695709,0.5829201340675354,0.4048157036304474,0.3292340338230133,0.23916715383529663
computational,0.29464593529701233,0.23533707857131958,0.2832651138305664,0.500740647315979,0.3237122893333435,0.35406097769737244,0.2993409335613251,0.314226359128952,0.2209896296262741,0.3910118639469147,0.2897588908672333,0.408997505903244,0.18096324801445007,0.18477948009967804,0.26674097776412964,0.25503867864608765,0.21617397665977478
model,0.2303347885608673,0.19148899614810944,0.18271391093730927,0.20603887736797333,0.18472762405872345,0.13417871296405792,0.1368791162967682,0.1513052135705948,0.12459231913089752,0.16450515389442444,0.1963624358177185,0.1733415275812149,0.15189559757709503,0.14028635621070862,0.21815288066864014,0.1744140237569809,0.14843042194843292
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3136295974254608,0.2756650745868683,0.4522190988063812,0.6036020517349243,0.295734703540802,0.37496164441108704,0.3871781826019287,0.25217002630233765,0.4443131685256958,0.3183255195617676,0.5473989248275757,0.47339269518852234,0.388528436422348,0.32716336846351624
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.18364353477954865,0.18938691914081573,0.44256699085235596,0.4819129705429077,0.26732131838798523,0.3899846076965332,0.20780561864376068,0.12635007500648499,0.15240435302257538,0.25906258821487427,0.5823672413825989,0.31152886152267456,0.25187405943870544,0.22961433231830597
allowed,0.2693612575531006,0.15518268942832947,0.2699741721153259,0.17856337130069733,0.12235766649246216,0.397124707698822,0.33143940567970276,0.19441893696784973,0.24764572083950043,0.23568196594715118,0.16661004722118378,0.32767874002456665,0.25512567162513733,0.2985120713710785,0.3237404227256775,0.3342318832874298,0.2309964895248413
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.22095461189746857,0.1634126603603363,0.4979398250579834,0.4972836375236511,0.2198610156774521,0.33534231781959534,0.2554117441177368,0.2663446366786957,0.33828020095825195,0.36524343490600586,0.535392165184021,0.3205692768096924,0.3679993152618408,0.29463258385658264
