,what,is,a,typical,configuration
however,0.4480680823326111,0.33769986033439636,0.38150349259376526,0.29920193552970886,0.2844182848930359
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2310890257358551,0.20822730660438538
x.25,0.16212259232997894,0.12484429031610489,0.1218629851937294,0.06138129159808159,0.11017785221338272
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.28220996260643005,0.22516879439353943
well,0.4154493808746338,0.33406564593315125,0.320642352104187,0.2712666392326355,0.23869003355503082
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.24787501990795135,0.26530325412750244
frame,0.21280157566070557,0.14981712400913239,0.20500081777572632,0.1924465447664261,0.4365074336528778
relay,0.16829247772693634,0.19099025428295135,0.21075297892093658,0.14486344158649445,0.3228582739830017
have,0.39808809757232666,0.3613572418689728,0.338716596364975,0.25614145398139954,0.29804980754852295
been,0.2567804455757141,0.39566612243652344,0.3315402865409851,0.19074484705924988,0.23395048081874847
supplanted,0.2062598019838333,0.23825255036354065,0.2632056474685669,0.24739409983158112,0.1891241818666458
by,0.2455483376979828,0.3899846076965332,0.32094135880470276,0.10447146743535995,0.1687103807926178
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.28039172291755676,0.23673003911972046
internet,0.1770392656326294,0.19803281128406525,0.2250564843416214,0.12011652439832687,0.2976725101470947
protocol,0.1694250851869583,0.18303687870502472,0.16854363679885864,0.11787715554237366,0.4464821219444275
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.16092805564403534,0.21199625730514526
ip,0.31860238313674927,0.21174383163452148,0.21357449889183044,0.10420597344636917,0.3478362560272217
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.18832460045814514,0.2105797976255417
at,0.2838611304759979,0.25906258821487427,0.3095070421695709,0.1389501541852951,0.1858178824186325
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.28039172291755676,0.23673003911972046
network,0.16917307674884796,0.2196272611618042,0.17299489676952362,0.12643812596797943,0.246881365776062
layer,0.20606225728988647,0.27099713683128357,0.2366863191127777,0.21685990691184998,0.32082274556159973
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2310890257358551,0.20822730660438538
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.28220996260643005,0.22516879439353943
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.28039172291755676,0.23673003911972046
asynchronous,0.20629289746284485,0.2152811735868454,0.27688729763031006,0.32763826847076416,0.49452778697013855
transfer,0.16232657432556152,0.22183071076869965,0.27985772490501404,0.16351579129695892,0.383982390165329
mode,0.22054550051689148,0.1950864940881729,0.30306506156921387,0.250424325466156,0.37740880250930786
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.16092805564403534,0.21199625730514526
atm,0.3224411904811859,0.22115617990493774,0.21235114336013794,0.1805003583431244,0.2738931179046631
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.18832460045814514,0.2105797976255417
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.28220996260643005,0.22516879439353943
or,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.36180630326271057,0.33769574761390686
versions,0.22019806504249573,0.19668248295783997,0.2150656133890152,0.18664304912090302,0.370592325925827
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.33413293957710266,0.2122134566307068
multi-protocol,0.1887604147195816,0.21919627487659454,0.2270161211490631,0.16434647142887115,0.5051074028015137
