,which,of,temüjin,'s,childhood,friends,did,toghrul,suggest,he,also,enlist,?
temüjin,0.37199702858924866,0.378805011510849,1.0,-0.010023289360105991,0.33414527773857117,0.2832240164279938,0.3476600646972656,0.3945753872394562,0.28672555088996887,0.44463157653808594,0.4113709032535553,0.30786341428756714,0.21090233325958252
turned,0.31035420298576355,0.27018553018569946,0.3279288411140442,-0.009065007790923119,0.16892457008361816,0.17472326755523682,0.3006841838359833,0.10580815374851227,0.1371927261352539,0.3508295714855194,0.32090631127357483,0.1532527208328247,0.130948007106781
to,0.5345056653022766,0.41548454761505127,0.36858871579170227,0.03782717138528824,0.19221721589565277,0.2984139919281006,0.4452643394470215,0.29692113399505615,0.3512662351131439,0.385390967130661,0.5348826050758362,0.22955861687660217,0.29463258385658264
toghrul,0.3100932538509369,0.32596123218536377,0.3945753872394562,0.1209915354847908,0.18710696697235107,0.19800369441509247,0.1954176276922226,0.9999998807907104,0.19912780821323395,0.2693522870540619,0.3532174527645111,0.22122937440872192,0.24630779027938843
for,0.44095608592033386,0.4185989499092102,0.2671065032482147,-0.07241261005401611,0.17534886300563812,0.2669185996055603,0.318512886762619,0.28215083479881287,0.3103427588939667,0.4540175199508667,0.5373267531394958,0.1740964651107788,0.264628142118454
support,0.21665282547473907,0.2307697981595993,0.2898428738117218,-0.013377348892390728,0.10349567979574203,0.21923740208148956,0.2911772131919861,0.24077683687210083,0.33240097761154175,0.22269798815250397,0.26317518949508667,0.27609768509864807,0.22626608610153198
",",0.3658004403114319,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.20669730007648468,0.24699902534484863,0.3015086054801941,0.38870057463645935,0.2924377918243408,0.40251094102859497,0.4717654287815094,0.2125173658132553,0.31091248989105225
and,0.506277859210968,0.5116966962814331,0.3789469599723816,0.06895173341035843,0.2242661565542221,0.3389349579811096,0.34479495882987976,0.3432293236255646,0.30183184146881104,0.45427167415618896,0.5755972862243652,0.1986185610294342,0.20544172823429108
in,0.4840516746044159,0.5696388483047485,0.3433155417442322,-0.037580832839012146,0.2416183203458786,0.15388092398643494,0.2593238651752472,0.31668028235435486,0.21134044229984283,0.41690486669540405,0.5073733329772949,0.1595083326101303,0.20430970191955566
response,0.33102378249168396,0.21864040195941925,0.20714229345321655,-0.01666334457695484,0.15036888420581818,0.0809904932975769,0.23455248773097992,0.18024030327796936,0.2701461613178253,0.1881110966205597,0.2597503960132599,0.14581120014190674,0.2007838636636734
