,what,is,the,most,commonplace,model,utilized,in,complexity,theory,?
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.3224619925022125,0.3299011290073395,0.20602092146873474,0.17945779860019684,0.4325680434703827,0.2024936079978943,0.15682072937488556,0.2876587212085724
turing,0.2806522250175476,0.18364353477954865,0.2644472122192383,0.23340554535388947,0.21782195568084717,0.20603887736797333,0.25263136625289917,0.26572495698928833,0.41919052600860596,0.3567848801612854,0.1460462063550949
machines,0.25512105226516724,0.1786929816007614,0.22618883848190308,0.28568926453590393,0.4419323205947876,0.2245144546031952,0.33712220191955566,0.2209317833185196,0.3310573697090149,0.2509005069732666,0.17646311223506927
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.48698675632476807,0.2783588469028473,0.07012248039245605,0.2547377943992615,0.3841303884983063,0.27680158615112305,0.1918308287858963,0.24591213464736938
easy,0.3396271765232086,0.3062591850757599,0.23633639514446259,0.3258417248725891,0.41122063994407654,0.16095714271068573,0.28222015500068665,0.19810330867767334,0.38806572556495667,0.26413148641586304,0.26741427183151245
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.321603000164032,0.29164379835128784,0.187554731965065,0.24184632301330566,0.45010748505592346,0.28336837887763977,0.21947365999221802,0.29463258385658264
analyze,0.2935202717781067,0.2287852019071579,0.2610788345336914,0.17046426236629486,0.23080399632453918,0.24927030503749847,0.30827611684799194,0.232345312833786,0.4042257070541382,0.37787556648254395,0.19188500940799713
mathematically,0.2758539617061615,0.24886777997016907,0.2578703463077545,0.25985509157180786,0.23385241627693176,0.25214847922325134,0.27282214164733887,0.20175990462303162,0.46997904777526855,0.48126888275146484,0.1741253137588501
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2502589523792267,0.244965597987175,0.17491072416305542,0.5201468467712402,0.27822354435920715,0.18095813691616058,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.4309377074241638,0.2988521456718445,0.22216768562793732,0.24055632948875427,0.4954058527946472,0.2520415782928467,0.1765792816877365,0.20544172823429108
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.48698675632476807,0.2783588469028473,0.07012248039245605,0.2547377943992615,0.3841303884983063,0.27680158615112305,0.1918308287858963,0.24591213464736938
believed,0.32626157999038696,0.25439924001693726,0.324635773897171,0.28333598375320435,0.16253073513507843,0.13670577108860016,0.20751957595348358,0.2605416774749756,0.13603289425373077,0.30550113320350647,0.17606885731220245
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.321603000164032,0.29164379835128784,0.187554731965065,0.24184632301330566,0.45010748505592346,0.28336837887763977,0.21947365999221802,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.3381733000278473,0.29908487200737,0.1368791162967682,0.315951406955719,0.3481820821762085,0.34982410073280334,0.2076098620891571,0.3324260413646698
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3548237979412079,0.2407051920890808,0.21406425535678864,0.3066048324108124,0.3887844979763031,0.22960948944091797,0.18675357103347778,0.27043893933296204
powerful,0.20215895771980286,0.22661225497722626,0.3115491271018982,0.41146597266197205,0.34183546900749207,0.09629730135202408,0.30861759185791016,0.17873525619506836,0.14704284071922302,0.15219669044017792,0.12160622328519821
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3548237979412079,0.2407051920890808,0.21406425535678864,0.3066048324108124,0.3887844979763031,0.22960948944091797,0.18675357103347778,0.27043893933296204
any,0.43670421838760376,0.35691767930984497,0.4525727927684784,0.3733811676502228,0.2818187475204468,0.12371537834405899,0.2748764157295227,0.3135753571987152,0.3716617226600647,0.24841320514678955,0.4113408327102661
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.4585079252719879,0.3229689598083496,0.12364553660154343,0.2581993043422699,0.39989137649536133,0.25132685899734497,0.22177660465240479,0.24682199954986572
model,0.2303347885608673,0.21612800657749176,0.14028635621070862,0.17620712518692017,0.242298424243927,1.0000001192092896,0.2106599509716034,0.2267826348543167,0.26172709465026855,0.2609904706478119,0.14843042194843292
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.25746771693229675,0.18271391093730927,0.22926494479179382,0.5696388483047485,0.23338180780410767,0.23506702482700348,0.1826142966747284
computation,0.31098654866218567,0.2451949268579483,0.20380710065364838,0.24869424104690552,0.2821381986141205,0.30226951837539673,0.3104749917984009,0.19618529081344604,0.6341383457183838,0.4655899703502655,0.2260068953037262
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2502589523792267,0.244965597987175,0.17491072416305542,0.5201468467712402,0.27822354435920715,0.18095813691616058,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.29836738109588623,0.14028635621070862,0.21133577823638916,0.6662389636039734,0.21171598136425018,0.2277156263589859,0.22068053483963013
turing,0.2806522250175476,0.18364353477954865,0.2644472122192383,0.23340554535388947,0.21782195568084717,0.20603887736797333,0.25263136625289917,0.26572495698928833,0.41919052600860596,0.3567848801612854,0.1460462063550949
machine,0.23075932264328003,0.18938691914081573,0.22788187861442566,0.17841923236846924,0.3167671263217926,0.18472762405872345,0.2519937753677368,0.16716814041137695,0.26296544075012207,0.22431370615959167,0.17587624490261078
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.22932273149490356,0.21612800657749176,0.15972350537776947,0.5394441485404968,0.2541271150112152,0.19279582798480988,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.29836738109588623,0.14028635621070862,0.21133577823638916,0.6662389636039734,0.21171598136425018,0.2277156263589859,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,1.0,0.4473368227481842,0.17620712518692017,0.2715805172920227,0.41416558623313904,0.22505328059196472,0.232156440615654,0.2107497900724411
commonly,0.18122613430023193,0.3994327187538147,0.2974449694156647,0.3921279311180115,0.4162343442440033,0.14351430535316467,0.24371150135993958,0.2769457697868347,0.22764980792999268,0.1913415640592575,0.13546277582645416
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.306323766708374,0.4951860010623932,0.21889255940914154,0.3838517367839813,0.3090210556983948,0.2618294954299927,0.17207488417625427,0.22430120408535004
model,0.2303347885608673,0.21612800657749176,0.14028635621070862,0.17620712518692017,0.242298424243927,1.0000001192092896,0.2106599509716034,0.2267826348543167,0.26172709465026855,0.2609904706478119,0.14843042194843292
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.2957818806171417,0.2267826348543167,0.21513785421848297,1.0,0.20012179017066956,0.16955126821994781,0.20430970191955566
complexity,0.33747240900993347,0.2541271150112152,0.21171598136425018,0.22505328059196472,0.2720138728618622,0.26172709465026855,0.32721006870269775,0.20012179017066956,1.0,0.42510488629341125,0.23062916100025177
theory,0.297923743724823,0.19279582798480988,0.2277156263589859,0.232156440615654,0.16843372583389282,0.2609904706478119,0.25449585914611816,0.16955126821994781,0.42510488629341125,0.9999999403953552,0.1387292891740799
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.2670307457447052,0.1938832700252533,0.2132994383573532,0.5591574311256409,0.21340465545654297,0.18047811090946198,0.4130953550338745
