,what,did,he,light,at,his,laboratories,to,demonstrate,his,wireless,power,transmission,?
he,0.3114890456199646,0.3292143940925598,1.0000001192092896,0.17606978118419647,0.3280475437641144,0.7171558737754822,0.20205190777778625,0.385390967130661,0.23489920794963837,0.7171558737754822,0.14222893118858337,0.20515447854995728,0.13404834270477295,0.2089974731206894
lit,0.06459251046180725,0.08462865650653839,0.10532654076814651,0.285535603761673,0.17336438596248627,0.1553673893213272,0.16011576354503632,0.07580047100782394,0.1865283101797104,0.1553673893213272,0.1145649179816246,0.1479213535785675,0.1267734169960022,0.14552001655101776
electric,0.15451551973819733,0.12459144741296768,0.19912536442279816,0.35745757818222046,0.17301374673843384,0.1696784496307373,0.2655777931213379,0.2115597426891327,0.1876400113105774,0.1696784496307373,0.33566734194755554,0.34122735261917114,0.43617764115333557,0.15674720704555511
lamps,0.18050068616867065,0.1224735677242279,0.13253958523273468,0.4429168701171875,0.1928337663412094,0.17892688512802124,0.40300291776657104,0.28581735491752625,0.14853496849536896,0.17892688512802124,0.2510353922843933,0.24585136771202087,0.33821821212768555,0.1474502831697464
wirelessly,0.25771990418434143,0.18294741213321686,0.18981140851974487,0.22840671241283417,0.23770831525325775,0.17257638275623322,0.2921413779258728,0.33997294306755066,0.288909375667572,0.17257638275623322,0.8763442039489746,0.28520503640174866,0.3753606975078583,0.12182939052581787
at,0.2838611304759979,0.28390252590179443,0.3280475437641144,0.19909699261188507,1.0,0.27659502625465393,0.23815055191516876,0.36524343490600586,0.2285737246274948,0.27659502625465393,0.2328609824180603,0.06751500070095062,0.12126077711582184,0.21978627145290375
both,0.3361809551715851,0.34255191683769226,0.2462911456823349,0.2503246068954468,0.3071100115776062,0.3092226982116699,0.18255096673965454,0.3897709250450134,0.21369342505931854,0.3092226982116699,0.25817251205444336,0.18986308574676514,0.18371182680130005,0.19455738365650177
locations,0.21363390982151031,0.16494716703891754,0.15248440206050873,0.15695242583751678,0.2798677086830139,0.17916354537010193,0.27642327547073364,0.29775765538215637,0.12964265048503876,0.17916354537010193,0.28192421793937683,0.0992746502161026,0.18389840424060822,0.14570996165275574
",",0.3087472915649414,0.3015086054801941,0.40251094102859497,0.22209852933883667,0.38314947485923767,0.3378419280052185,0.2212064564228058,0.44245919585227966,0.2733919620513916,0.3378419280052185,0.2685069143772125,0.2231994867324829,0.1605086624622345,0.31091248989105225
demonstrating,0.2377135157585144,0.1721779853105545,0.205698624253273,0.14120687544345856,0.2649690508842468,0.22990648448467255,0.29817214608192444,0.24820521473884583,0.865731418132782,0.22990648448467255,0.2438087910413742,0.24390512704849243,0.2758496105670929,0.16282391548156738
the,0.42745697498321533,0.34736719727516174,0.4571082592010498,0.2649136185646057,0.457212895154953,0.4394008219242096,0.21171316504478455,0.535392165184021,0.2374596893787384,0.4394008219242096,0.2474355399608612,0.2647338807582855,0.26124435663223267,0.22068053483963013
potential,0.27308183908462524,0.18635404109954834,0.1787434220314026,0.2190566509962082,0.13550615310668945,0.1836252361536026,0.20080389082431793,0.3595958650112152,0.32963618636131287,0.1836252361536026,0.217674121260643,0.3137066662311554,0.2763921916484833,0.20122039318084717
of,0.33290785551071167,0.2513895630836487,0.38706058263778687,0.18257063627243042,0.42558613419532776,0.38364991545677185,0.25289833545684814,0.41548454761505127,0.2098890244960785,0.38364991545677185,0.16934619843959808,0.25273123383522034,0.2246399074792862,0.1826142966747284
wireless,0.18138271570205688,0.11166471242904663,0.14222893118858337,0.1792478859424591,0.2328609824180603,0.10785644501447678,0.29255858063697815,0.26774564385414124,0.23884928226470947,0.10785644501447678,1.0,0.2357572466135025,0.45028021931648254,0.08461163192987442
power,0.22216427326202393,0.2120266556739807,0.20515447854995728,0.17893682420253754,0.06751500070095062,0.20314614474773407,0.2216137796640396,0.27001675963401794,0.21776564419269562,0.20314614474773407,0.2357572466135025,1.0000001192092896,0.3849864900112152,0.15304024517536163
transmission,0.21502315998077393,0.09576284140348434,0.13404834270477295,0.2805338203907013,0.12126077711582184,0.15175944566726685,0.2931308150291443,0.22681647539138794,0.24991877377033234,0.15175944566726685,0.45028021931648254,0.3849864900112152,1.0000001192092896,0.16372337937355042
.,0.3567904531955719,0.35288307070732117,0.38061028718948364,0.2497042715549469,0.4549728035926819,0.3119256794452667,0.23001351952552795,0.4645031690597534,0.18065162003040314,0.3119256794452667,0.21385128796100616,0.2141435295343399,0.22357705235481262,0.4130953550338745
