,who,challenges,the,notion,of,the,kuznets,curve,hypothesis,?
economist,0.21729455888271332,0.22304359078407288,0.1439521312713623,0.25237855315208435,0.1498451977968216,0.1439521312713623,0.3176610469818115,0.14587879180908203,0.2885170578956604,0.15311987698078156
thomas,0.26103657484054565,0.12617933750152588,0.23505409061908722,0.16067394614219666,0.18699592351913452,0.23505409061908722,0.17854337394237518,0.11135954409837723,0.20744843780994415,0.16133050620555878
piketty,0.3139789402484894,0.1604970246553421,0.27088600397109985,0.16491013765335083,0.23029565811157227,0.27088600397109985,0.33250996470451355,0.30655142664909363,0.12098927050828934,0.200417622923851
challenges,0.30703091621398926,1.0000001192092896,0.30580970644950867,0.32600530982017517,0.24345360696315765,0.30580970644950867,0.20684069395065308,0.15299437940120697,0.3174213171005249,0.16748188436031342
this,0.3345087468624115,0.21953032910823822,0.6274310946464539,0.34401649236679077,0.45148900151252747,0.6274310946464539,0.15371811389923096,0.2650786340236664,0.30499178171157837,0.3155723512172699
notion,0.23250055313110352,0.32600530982017517,0.23529204726219177,1.0,0.23985852301120758,0.23529204726219177,0.09318635612726212,0.3254264295101166,0.4520251154899597,0.20487375557422638
",",0.3365725874900818,0.22878636419773102,0.4933079481124878,0.1813203990459442,0.4946078956127167,0.4933079481124878,0.3423115313053131,0.1843925416469574,0.15448060631752014,0.31091248989105225
claiming,0.37082991003990173,0.3599700331687927,0.3210364878177643,0.2926051616668701,0.2922937572002411,0.3210364878177643,0.18365716934204102,0.14040082693099976,0.23751088976860046,0.2698664963245392
that,0.45444270968437195,0.28935369849205017,0.5473989248275757,0.393069326877594,0.41498205065727234,0.5473989248275757,0.19955454766750336,0.30360865592956543,0.3562784492969513,0.32716336846351624
from,0.27839982509613037,0.13555294275283813,0.40150508284568787,0.12878461182117462,0.4249346852302551,0.40150508284568787,0.1814202070236206,0.1528264880180359,0.08770541846752167,0.19969791173934937
1914,-0.017725996673107147,0.027170836925506592,0.04474614933133125,0.13421407341957092,0.08154571056365967,0.04474614933133125,0.1046338751912117,0.20673833787441254,0.21757018566131592,0.14893388748168945
to,0.42656609416007996,0.32444867491722107,0.535392165184021,0.2296772450208664,0.41548454761505127,0.535392165184021,0.16331002116203308,0.19943951070308685,0.22394606471061707,0.29463258385658264
1945,0.11654316633939743,-0.04196283221244812,-0.12090112268924713,-0.08461001515388489,-0.1348620504140854,-0.12090112268924713,0.21571853756904602,-0.03954727575182915,-0.0747450515627861,-0.03421006724238396
wars,0.254686176776886,0.2040490359067917,0.310673326253891,0.13347189128398895,0.25379252433776855,0.310673326253891,0.21971191465854645,0.042762547731399536,0.16134142875671387,0.1526605486869812
and,0.41279885172843933,0.2552013695240021,0.5171257257461548,0.198011115193367,0.5116966962814331,0.5171257257461548,0.30466631054878235,0.20769961178302765,0.11077649891376495,0.20544172823429108
``,0.02397952415049076,0.012748096138238907,0.029072100296616554,0.09839580953121185,0.06780257821083069,0.029072100296616554,0.10383246839046478,0.10855474323034286,0.12362702935934067,0.0685480609536171
violent,0.2474050372838974,0.256801575422287,0.24589063227176666,0.22579173743724823,0.23184357583522797,0.24589063227176666,0.0790744200348854,0.16926197707653046,0.09875467419624329,0.1652229279279709
economic,0.13431337475776672,0.31412726640701294,0.282455176115036,0.31089746952056885,0.3030148148536682,0.282455176115036,0.19276274740695953,0.14225448668003082,0.2912777364253998,0.1206481084227562
and,0.41279885172843933,0.2552013695240021,0.5171257257461548,0.198011115193367,0.5116966962814331,0.5171257257461548,0.30466631054878235,0.20769961178302765,0.11077649891376495,0.20544172823429108
political,0.24357503652572632,0.21662886440753937,0.20477235317230225,0.25017133355140686,0.27319738268852234,0.20477235317230225,0.1535995751619339,0.07910355925559998,0.1385112851858139,0.17130474746227264
shocks,0.2662798762321472,0.2939995527267456,0.2049379199743271,0.24246841669082642,0.14094451069831848,0.2049379199743271,0.22201648354530334,0.2433960884809494,0.18527357280254364,0.20506036281585693
'',0.024401003494858742,-0.0063957395032048225,0.041273195296525955,0.011955952271819115,0.13035868108272552,0.041273195296525955,-0.028922930359840393,0.036597054451704025,0.027366086840629578,0.018684765323996544
reduced,0.07765808701515198,0.20078396797180176,0.2897622883319855,0.19697266817092896,0.30275818705558777,0.2897622883319855,0.12735459208488464,0.20948000252246857,0.20990237593650818,0.10234767943620682
inequality,0.1735192984342575,0.37607651948928833,0.23508106172084808,0.43260452151298523,0.27910974621772766,0.23508106172084808,0.14391092956066132,0.3580670952796936,0.3431401252746582,0.23619021475315094
.,0.3541337847709656,0.19663307070732117,0.5934505462646484,0.18386082351207733,0.5352458953857422,0.5934505462646484,0.29673638939857483,0.2089635133743286,0.16023044288158417,0.4130953550338745
