,who,was,given,land,by,british,goovernment,for,development,of,ohio,country,?
in,0.2792111933231354,0.45514053106307983,0.2528568208217621,0.22871792316436768,0.370934396982193,0.23084034025669098,0.3206756114959717,0.4322226941585541,0.2550492286682129,0.5696388483047485,0.2508675754070282,0.3040012717247009,0.20430970191955566
1749,0.17944851517677307,0.17248062789440155,0.12278849631547928,0.1017090231180191,0.19475063681602478,0.0968446433544159,0.3012172281742096,0.13623002171516418,0.25974780321121216,0.2117093801498413,0.17619794607162476,0.26409631967544556,0.20547500252723694
the,0.3733934462070465,0.48711544275283813,0.37508252263069153,0.28587454557418823,0.4408751428127289,0.28973397612571716,0.33001306653022766,0.4739971458911896,0.3362044394016266,0.733189046382904,0.24653035402297974,0.30432501435279846,0.22068053483963013
british,0.2666113078594208,0.31934812664985657,0.24086716771125793,0.16519016027450562,0.26707085967063904,1.0,0.30744460225105286,0.1970057189464569,0.1436256319284439,0.23701532185077667,0.2192528396844864,0.2571737766265869,0.09711728990077972
government,0.27194860577583313,0.2995857298374176,0.2538663446903229,0.28320056200027466,0.24235671758651733,0.29284414649009705,0.8708540797233582,0.23902073502540588,0.229208305478096,0.3475167155265808,0.12934496998786926,0.384080171585083,0.18851417303085327
gave,0.22712452709674835,0.42201077938079834,0.5501787066459656,0.2299938052892685,0.20645932853221893,0.19416284561157227,0.22698330879211426,0.3676709234714508,0.14180372655391693,0.3650403320789337,0.12927913665771484,0.13163252174854279,0.1910865753889084
land,0.2111203372478485,0.23751215636730194,0.1763576716184616,1.0000001192092896,0.2530721127986908,0.16519016027450562,0.27562811970710754,0.19845563173294067,0.1926106959581375,0.3057127296924591,0.18425393104553223,0.25981757044792175,0.1432059109210968
to,0.42656609416007996,0.3636345863342285,0.3428947925567627,0.2885280251502991,0.33534231781959534,0.22690963745117188,0.30077651143074036,0.4451248347759247,0.27639102935791016,0.41548454761505127,0.1818198561668396,0.31281599402427673,0.29463258385658264
the,0.3733934462070465,0.48711544275283813,0.37508252263069153,0.28587454557418823,0.4408751428127289,0.28973397612571716,0.33001306653022766,0.4739971458911896,0.3362044394016266,0.733189046382904,0.24653035402297974,0.30432501435279846,0.22068053483963013
ohio,0.13413026928901672,0.207236185669899,0.1413670778274536,0.18425393104553223,0.1997014433145523,0.2192528396844864,0.20233231782913208,0.19870628416538239,0.1861904114484787,0.1960361748933792,0.9999999403953552,0.1654648780822754,0.10064033418893814
company,0.2383776307106018,0.2293137013912201,0.13174636662006378,0.18134024739265442,0.22328482568264008,0.23512013256549835,0.28161731362342834,0.25874319672584534,0.23337338864803314,0.20467796921730042,0.19065408408641815,0.1993149369955063,0.12195809185504913
of,0.2827862501144409,0.4069072902202606,0.39388060569763184,0.3057127296924591,0.3646814823150635,0.23701532185077667,0.3112153708934784,0.4185989499092102,0.28700894117355347,1.0,0.1960361748933792,0.28866857290267944,0.1826142966747284
virginia,0.1459708958864212,0.23862197995185852,0.09896174818277359,0.19478802382946014,0.15520401298999786,0.20323075354099274,0.23706983029842377,0.16586531698703766,0.1432015299797058,0.2102794647216797,0.43450677394866943,0.20564234256744385,0.18036006391048431
for,0.37110671401023865,0.3863949179649353,0.44294488430023193,0.19845563173294067,0.3248702883720398,0.1970057189464569,0.304066926240921,0.9999999403953552,0.28623178601264954,0.4185989499092102,0.19870628416538239,0.2644098401069641,0.264628142118454
the,0.3733934462070465,0.48711544275283813,0.37508252263069153,0.28587454557418823,0.4408751428127289,0.28973397612571716,0.33001306653022766,0.4739971458911896,0.3362044394016266,0.733189046382904,0.24653035402297974,0.30432501435279846,0.22068053483963013
purpose,0.27054038643836975,0.23185795545578003,0.17734068632125854,0.16305768489837646,0.2327440232038498,0.149917870759964,0.24091190099716187,0.3468001186847687,0.22142533957958221,0.23855330049991608,0.1760825216770172,0.1753542572259903,0.21892647445201874
