,what,type,of,item,is,the,mostly,likely,to,show,in,the,v,&,a,computer,system,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24508722126483917,0.5823672413825989,1.0,0.3490641117095947,0.28129076957702637,0.535392165184021,0.319829523563385,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.19781450927257538,0.3233085572719574,0.22068053483963013
victoria,0.1194850504398346,0.1476583331823349,0.2505437433719635,0.11046797037124634,0.1633591204881668,0.2204313427209854,0.10919518768787384,0.10535969585180283,0.18328198790550232,0.13419212400913239,0.20823122560977936,0.2204313427209854,0.14771920442581177,0.18559011816978455,0.15216270089149475,0.11479327082633972,0.08323035389184952,0.12246892601251602
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.18348689377307892,0.3859752118587494,0.5171257257461548,0.45551156997680664,0.3069725036621094,0.48971283435821533,0.3455478549003601,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2362591028213501,0.231138214468956,0.20544172823429108
albert,0.16012011468410492,0.07950137555599213,0.19890549778938293,0.03888488560914993,0.14875668287277222,0.17599669098854065,0.13904176652431488,0.09982036799192429,0.14890073239803314,0.12700462341308594,0.20386730134487152,0.17599669098854065,0.17494136095046997,0.18736180663108826,0.13642995059490204,0.12912911176681519,0.048026349395513535,0.15350762009620667
museum,0.1771627515554428,0.14714546501636505,0.23314370214939117,0.17209160327911377,0.18299639225006104,0.24861779808998108,0.09732174128293991,0.10826771706342697,0.1640389859676361,0.14038757979869843,0.2407650351524353,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.2134832888841629,0.12156912684440613,0.14128351211547852
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.21351277828216553,0.5668748617172241,0.4177538752555847,0.3283861577510834,0.24862097203731537,0.3619994819164276,0.2685723900794983,0.4173259735107422,0.4177538752555847,0.07488378137350082,0.1216270700097084,0.4670248031616211,0.17011559009552002,0.17706717550754547,0.15994466841220856
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.332552045583725,0.658733606338501,0.5829201340675354,0.29069283604621887,0.3132456839084625,0.45503583550453186,0.24886544048786163,0.539380669593811,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.2548043727874756,0.2589043080806732,0.23916715383529663
computer,0.26911869645118713,0.21081416308879852,0.18559479713439941,0.25454428791999817,0.2406304031610489,0.19781450927257538,0.1711813062429428,0.20683880150318146,0.2594811022281647,0.20270919799804688,0.18321871757507324,0.19781450927257538,0.12359963357448578,0.11229608952999115,0.2548043727874756,0.9999999403953552,0.3221023678779602,0.20203553140163422
system,0.23557309806346893,0.24706636369228363,0.25597915053367615,0.2028927206993103,0.2282046526670456,0.3233085572719574,0.18486039340496063,0.1847076565027237,0.26662686467170715,0.13979850709438324,0.21978288888931274,0.3233085572719574,0.15289254486560822,0.04105290770530701,0.2589043080806732,0.3221023678779602,1.0000001192092896,0.15556083619594574
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.2814844250679016,0.4106791317462921,0.4859698414802551,0.3775698244571686,0.4303461015224457,0.5542377829551697,0.2724117040634155,0.48674455285072327,0.4859698414802551,0.09668958187103271,0.12256074696779251,0.44750767946243286,0.2343439757823944,0.2440522015094757,0.27921953797340393
