,in,what,episode,did,doctor,who,acknowledge,having,had,a,brother,?
in,1.0,0.30808621644973755,0.19184806942939758,0.2593238651752472,0.25567495822906494,0.2792111933231354,0.16945981979370117,0.32022708654403687,0.385026752948761,0.539380669593811,0.21517863869667053,0.20430970191955566
``,0.04765888676047325,0.008517155423760414,-0.035673100501298904,-0.029888948425650597,0.03718610852956772,0.02397952415049076,0.017939504235982895,0.07802174240350723,0.0518546998500824,0.07272057235240936,0.029069624841213226,0.0685480609536171
smith,0.20223411917686462,0.2301866114139557,0.2203637957572937,0.1837799847126007,0.2512682378292084,0.3096564710140228,0.15591372549533844,0.21626923978328705,0.2604779005050659,0.20341160893440247,0.24735063314437866,0.21930724382400513
and,0.4954058527946472,0.31309178471565247,0.2091434895992279,0.34479495882987976,0.21673844754695892,0.41279885172843933,0.2700662314891815,0.36825746297836304,0.3872550129890442,0.3739250600337982,0.2818823754787445,0.20544172823429108
jones,0.1750783771276474,0.18502666056156158,0.23007728159427643,0.15087854862213135,0.20512264966964722,0.265706866979599,0.13190951943397522,0.0970124676823616,0.2152775526046753,0.20566236972808838,0.18200279772281647,0.1838836669921875
'',0.07432962208986282,0.08143015950918198,-0.014759616926312447,0.01978493109345436,0.06782495975494385,0.024401003494858742,0.027692299336194992,0.030195889994502068,0.024004416540265083,0.04890415817499161,0.012363623827695847,0.018684765323996544
(,0.3087427020072937,0.2411840260028839,0.19250941276550293,0.18979617953300476,0.1570640504360199,0.2443375140428543,0.19487036764621735,0.14485155045986176,0.16223937273025513,0.3206180930137634,0.16559599339962006,0.40561532974243164
2007,-0.2201838344335556,-0.15549811720848083,-0.05869944766163826,-0.2447822093963623,-0.010231979191303253,-0.29352980852127075,-0.20083759725093842,-0.1604231297969818,-0.3019011318683624,-0.06548836827278137,-0.1829010546207428,-0.1664225310087204
),0.3326910734176636,0.26259949803352356,0.1890215277671814,0.18584993481636047,0.1509941965341568,0.2457384318113327,0.20270848274230957,0.1732136756181717,0.17014533281326294,0.3640355169773102,0.1733214259147644,0.42300865054130554
",",0.5201468467712402,0.3087472915649414,0.18198037147521973,0.3015086054801941,0.20407600700855255,0.3365725874900818,0.2611771821975708,0.3154076039791107,0.35487717390060425,0.427140474319458,0.25189656019210815,0.31091248989105225
when,0.4431333839893341,0.4700249433517456,0.2618144154548645,0.3228907287120819,0.16867952048778534,0.48282691836357117,0.22796472907066345,0.4296937882900238,0.37526828050613403,0.44397395849227905,0.2808358073234558,0.22841128706932068
asked,0.1718822419643402,0.3468177318572998,0.11037839204072952,0.5203380584716797,0.15606816112995148,0.38866153359413147,0.33424341678619385,0.23272617161273956,0.4539221227169037,0.2164880931377411,0.24726232886314392,0.28475281596183777
if,0.2589588761329651,0.5277165174484253,0.19834235310554504,0.3197491765022278,0.19982358813285828,0.3758285641670227,0.2949131429195404,0.40795931220054626,0.2436254769563675,0.41272827982902527,0.15418554842472076,0.4441644251346588
he,0.41690486669540405,0.3114890456199646,0.20637604594230652,0.3292143940925598,0.3197924494743347,0.5500732064247131,0.24464912712574005,0.354722797870636,0.43657350540161133,0.4393508732318878,0.3574063777923584,0.2089974731206894
had,0.385026752948761,0.23849567770957947,0.21882744133472443,0.540525496006012,0.19423192739486694,0.36173108220100403,0.25644010305404663,0.5545873641967773,0.9999999403953552,0.34897568821907043,0.2542606592178345,0.20728366076946259
a,0.539380669593811,0.3320399522781372,0.211050882935524,0.2552328109741211,0.22883038222789764,0.36608949303627014,0.16485175490379333,0.3929923176765442,0.34897568821907043,1.0,0.21524782478809357,0.23916715383529663
brother,0.21517863869667053,0.14914146065711975,0.17324520647525787,0.1939975470304489,0.21060140430927277,0.39596912264823914,0.198163703083992,0.2408352643251419,0.2542606592178345,0.21524782478809357,1.0000001192092896,0.14267398416996002
",",0.5201468467712402,0.3087472915649414,0.18198037147521973,0.3015086054801941,0.20407600700855255,0.3365725874900818,0.2611771821975708,0.3154076039791107,0.35487717390060425,0.427140474319458,0.25189656019210815,0.31091248989105225
he,0.41690486669540405,0.3114890456199646,0.20637604594230652,0.3292143940925598,0.3197924494743347,0.5500732064247131,0.24464912712574005,0.354722797870636,0.43657350540161133,0.4393508732318878,0.3574063777923584,0.2089974731206894
replied,0.1368218958377838,0.3829500675201416,0.15706001222133636,0.414022296667099,0.16559694707393646,0.3373289108276367,0.37654364109039307,0.2709640562534332,0.3566019535064697,0.17539934813976288,0.31176573038101196,0.349639892578125
